Date,Open,High,Low,Close,Adj Close,Volume
2016-03-10,1.77,1.77,1.6,1.64,1.64,4100
2016-03-11,1.74,1.74,1.71,1.71,1.71,900
2016-03-14,1.71,1.71,1.71,1.71,1.71,200
2016-03-15,1.7,1.7,1.46,1.66,1.66,1500
2016-03-16,1.67,1.69,1.63,1.63,1.63,36500
2016-03-17,1.62,1.63,1.56,1.63,1.63,700
2016-03-18,1.63,1.63,1.63,1.63,1.63,0
2016-03-21,1.51,1.57,1.51,1.57,1.57,1800
2016-03-22,1.53,1.55,1.53,1.53,1.53,2100
2016-03-23,1.57,1.57,1.5,1.5,1.5,800
2016-03-24,1.52,1.52,1.47,1.47,1.47,48200
2016-03-28,1.46,1.52,1.46,1.52,1.52,3600
2016-03-29,1.48,1.49,1.45,1.49,1.49,20800
2016-03-30,1.5,1.51,1.46,1.51,1.51,3400
2016-03-31,1.45,1.55,1.42,1.52,1.52,9600
2016-04-01,1.52,1.52,1.5,1.5,1.5,3800
2016-04-04,1.5,1.51,1.47,1.47,1.47,4800
2016-04-05,1.44,1.48,1.44,1.44,1.44,300
2016-04-06,1.49,1.49,1.43,1.47,1.47,1100
2016-04-07,1.43,1.43,1.35,1.39,1.39,4100
2016-04-08,1.41,1.42,1.35,1.41,1.41,2200
2016-04-11,1.35,1.39,1.35,1.39,1.39,400
2016-04-12,1.39,1.47,1.36,1.47,1.47,9500
2016-04-13,1.4,1.4,1.37,1.37,1.37,300
2016-04-14,1.37,1.42,1.37,1.42,1.42,1100
2016-04-15,1.43,1.43,1.35,1.35,1.35,3100
2016-04-18,1.36,1.44,1.35,1.44,1.44,1600
2016-04-19,1.38,1.45,1.38,1.43,1.43,2300
2016-04-20,1.4,1.48,1.4,1.42,1.42,1200
2016-04-21,1.43,1.45,1.41,1.45,1.45,1800
2016-04-22,1.45,1.45,1.45,1.45,1.45,0
2016-04-25,1.38,1.39,1.3,1.39,1.39,5900
2016-04-26,1.4,1.4,1.4,1.4,1.4,100
2016-04-27,1.39,1.42,1.36,1.36,1.36,11200
2016-04-28,1.37,1.45,1.37,1.44,1.44,2900
2016-04-29,1.32,1.41,1.32,1.41,1.41,1600
2016-05-02,1.41,1.41,1.41,1.41,1.41,0
2016-05-03,1.41,1.43,1.32,1.33,1.33,7900
2016-05-04,1.33,1.35,1.33,1.35,1.35,1900
2016-05-05,1.34,1.37,1.34,1.35,1.35,4700
2016-05-06,1.32,1.36,1.32,1.34,1.34,1000
2016-05-09,1.36,1.36,1.3,1.35,1.35,4500
2016-05-10,1.2,1.33,1.2,1.22,1.22,4800
2016-05-11,1.2,1.21,1.2,1.21,1.21,200
2016-05-12,1.2,1.28,1.2,1.28,1.28,1600
2016-05-13,1.27,1.37,1.25,1.35,1.35,97700
2016-05-16,1.28,1.45,1.28,1.38,1.38,7000
2016-05-17,1.39,1.39,1.31,1.33,1.33,2900
2016-05-18,1.38,1.4,1.38,1.39,1.39,1700
2016-05-19,1.31,1.31,1.3,1.3,1.3,1000
2016-05-20,1.34,1.34,1.26,1.29,1.29,1900
2016-05-23,1.35,1.41,1.35,1.35,1.35,3900
2016-05-24,1.34,1.45,1.29,1.41,1.41,27700
2016-05-25,1.43,1.67,1.43,1.67,1.67,13000
2016-05-26,1.42,1.49,1.41,1.49,1.49,800
2016-05-27,1.49,1.5,1.49,1.5,1.5,400
2016-05-31,1.53,1.63,1.5,1.5,1.5,8900
2016-06-01,1.59,1.59,1.38,1.49,1.49,700
2016-06-02,1.49,1.5,1.4,1.47,1.47,2900
2016-06-03,1.44,1.44,1.35,1.41,1.41,2100
2016-06-06,1.4,1.4,1.36,1.36,1.36,500
2016-06-07,1.42,1.42,1.35,1.36,1.36,2200
2016-06-08,1.42,1.56,1.4,1.56,1.56,11500
2016-06-09,1.61,1.61,1.5,1.53,1.53,1000
2016-06-10,1.57,1.6,1.5,1.53,1.53,2500
2016-06-13,1.53,1.53,1.53,1.53,1.53,0
2016-06-14,1.53,1.53,1.53,1.53,1.53,100
2016-06-15,1.47,1.47,1.46,1.47,1.47,4000
2016-06-16,1.5,1.5,1.5,1.5,1.5,100
2016-06-17,1.52,1.54,1.49,1.54,1.54,800
2016-06-20,1.52,1.52,1.5,1.51,1.51,900
2016-06-21,1.47,1.6,1.46,1.47,1.47,1900
2016-06-22,1.46,1.46,1.46,1.46,1.46,300
2016-06-23,1.46,1.46,1.46,1.46,1.46,0
2016-06-24,1.5,1.55,1.35,1.37,1.37,4000
2016-06-27,1.35,1.37,1.35,1.37,1.37,3000
2016-06-28,1.39,1.43,1.39,1.4,1.4,8900
2016-06-29,1.4,1.4,1.38,1.38,1.38,800
2016-06-30,1.38,1.38,1.38,1.38,1.38,0
2016-07-01,1.38,1.38,1.38,1.38,1.38,0
2016-07-05,1.35,1.37,1.35,1.37,1.37,1500
2016-07-06,1.35,1.35,1.21,1.33,1.33,10200
2016-07-07,1.29,1.32,1.29,1.32,1.32,1300
2016-07-08,1.32,1.32,1.28,1.3,1.3,1000
2016-07-11,1.3,1.3,1.3,1.3,1.3,0
2016-07-12,1.31,1.34,1.28,1.34,1.34,2900
2016-07-13,1.34,1.34,1.32,1.32,1.32,1700
2016-07-14,1.32,1.73,1.29,1.56,1.56,884600
2016-07-15,1.79,1.79,1.5,1.52,1.52,49100
2016-07-18,1.56,1.61,1.47,1.47,1.47,18300
2016-07-19,1.42,1.46,1.42,1.43,1.43,1800
2016-07-20,1.39,1.52,1.39,1.5,1.5,7900
2016-07-21,1.47,1.53,1.45,1.53,1.53,2000
2016-07-22,1.49,1.49,1.49,1.49,1.49,100
2016-07-25,1.48,1.64,1.35,1.55,1.55,47400
2016-07-26,1.55,1.58,1.47,1.54,1.54,5800
2016-07-27,1.55,1.7,1.43,1.57,1.57,121400
2016-07-28,1.49,1.55,1.44,1.5,1.5,18700
2016-07-29,1.6,1.6,1.4,1.55,1.55,18300
2016-08-01,1.42,1.55,1.39,1.55,1.55,81700
2016-08-02,1.6,1.61,1.5,1.52,1.52,44900
2016-08-03,1.55,1.59,1.5,1.56,1.56,6300
2016-08-04,1.55,1.59,1.45,1.45,1.45,24600
2016-08-05,1.57,1.57,1.51,1.55,1.55,10100
2016-08-08,1.57,1.57,1.57,1.57,1.57,100
2016-08-09,1.52,1.56,1.45,1.46,1.46,9200
2016-08-10,1.46,1.46,1.45,1.45,1.45,1200
2016-08-11,1.42,1.49,1.42,1.49,1.49,2500
2016-08-12,1.41,1.47,1.41,1.42,1.42,3900
2016-08-15,1.43,1.45,1.4,1.42,1.42,105500
2016-08-16,1.48,1.48,1.41,1.42,1.42,44700
2016-08-17,1.37,1.45,1.35,1.35,1.35,8600
2016-08-18,1.35,1.43,1.35,1.36,1.36,9400
2016-08-19,1.35,1.41,1.35,1.38,1.38,14500
2016-08-22,1.4,1.4,1.35,1.36,1.36,2500
2016-08-23,1.33,1.37,1.33,1.37,1.37,15700
2016-08-24,1.37,1.4,1.31,1.31,1.31,6400
2016-08-25,1.31,1.36,1.31,1.32,1.32,2800
2016-08-26,1.33,1.36,1.33,1.36,1.36,6600
2016-08-29,1.38,1.38,1.36,1.36,1.36,4100
2016-08-30,1.32,1.37,1.32,1.33,1.33,1000
2016-08-31,1.34,1.36,1.31,1.33,1.33,4600
2016-09-01,1.34,1.35,1.33,1.33,1.33,5100
2016-09-02,1.34,1.35,1.34,1.35,1.35,400
2016-09-06,1.34,1.35,1.34,1.34,1.34,2900
2016-09-07,1.35,1.35,1.33,1.33,1.33,6800
2016-09-08,1.3,1.34,1.29,1.34,1.34,2000
2016-09-09,1.3,1.31,1.3,1.31,1.31,600
2016-09-12,1.27,1.32,1.2,1.32,1.32,7600
2016-09-13,1.25,1.25,1.25,1.25,1.25,400
2016-09-14,1.41,3.09,1.38,2.81,2.81,5334900
2016-09-15,2.53,2.87,2.12,2.23,2.23,1901400
2016-09-16,2.12,2.26,1.96,2.0,2.0,393200
2016-09-19,1.92,2.16,1.92,2.01,2.01,222000
2016-09-20,2.46,2.46,1.98,2.07,2.07,92600
2016-09-21,2.09,2.09,1.89,1.93,1.93,105600
2016-09-22,1.9,1.98,1.85,1.88,1.88,57800
2016-09-23,1.89,1.99,1.88,1.89,1.89,47900
2016-09-26,1.93,1.96,1.85,1.86,1.86,25700
2016-09-27,1.84,2.09,1.84,1.94,1.94,154600
2016-09-28,1.92,1.96,1.88,1.89,1.89,26500
2016-09-29,1.87,1.96,1.83,1.83,1.83,27900
2016-09-30,1.86,1.91,1.75,1.79,1.79,43700
2016-10-03,1.89,1.89,1.8,1.8,1.8,19700
2016-10-04,1.76,1.79,1.76,1.76,1.76,23300
2016-10-05,1.7,1.85,1.7,1.71,1.71,18200
2016-10-06,1.77,1.78,1.71,1.72,1.72,21800
2016-10-07,1.72,1.72,1.67,1.67,1.67,43600
2016-10-10,1.67,1.68,1.65,1.65,1.65,22400
2016-10-11,1.65,1.73,1.65,1.68,1.68,21600
2016-10-12,1.68,1.73,1.64,1.69,1.69,37500
2016-10-13,1.64,1.69,1.63,1.64,1.64,30000
2016-10-14,1.65,1.66,1.61,1.66,1.66,16900
2016-10-17,1.65,1.67,1.6,1.62,1.62,7200
2016-10-18,1.65,1.65,1.55,1.56,1.56,25300
2016-10-19,1.57,1.6,1.55,1.55,1.55,2400
2016-10-20,1.55,1.59,1.51,1.54,1.54,16900
2016-10-21,1.51,1.56,1.46,1.49,1.49,30000
2016-10-24,1.46,1.5,1.41,1.41,1.41,12500
2016-10-25,1.44,1.44,1.41,1.41,1.41,8600
2016-10-26,1.48,1.49,1.4,1.43,1.43,26700
2016-10-27,1.42,1.42,1.4,1.4,1.4,3800
2016-10-28,1.4,1.42,1.32,1.36,1.36,6800
2016-10-31,1.33,1.35,1.33,1.34,1.34,4800
2016-11-01,1.35,1.35,1.26,1.28,1.28,18500
2016-11-02,1.25,1.36,1.24,1.31,1.31,57800
2016-11-03,1.33,1.33,1.27,1.32,1.32,4700
2016-11-04,1.31,1.32,1.26,1.26,1.26,55800
2016-11-07,1.34,1.34,1.28,1.28,1.28,13300
2016-11-08,1.3,1.31,1.28,1.29,1.29,1400
2016-11-09,1.27,1.32,1.26,1.31,1.31,6400
2016-11-10,1.31,1.38,1.28,1.29,1.29,12900
2016-11-11,1.33,1.44,1.26,1.38,1.38,64900
2016-11-14,1.42,1.45,1.28,1.39,1.39,65900
2016-11-15,1.42,1.42,1.3,1.3,1.3,24400
2016-11-16,1.36,1.36,1.31,1.34,1.34,4800
2016-11-17,1.35,1.35,1.31,1.32,1.32,4800
2016-11-18,1.31,1.32,1.3,1.31,1.31,6700
2016-11-21,1.34,1.34,1.31,1.31,1.31,3900
2016-11-22,1.34,1.34,1.28,1.31,1.31,6900
2016-11-23,1.27,1.28,1.2,1.22,1.22,34000
2016-11-25,1.22,1.33,1.22,1.24,1.24,6500
2016-11-28,1.25,1.45,1.22,1.38,1.38,103200
2016-11-29,1.51,2.46,1.51,1.8,1.8,2598100
2016-11-30,1.6,1.72,1.38,1.4,1.4,434700
2016-12-01,1.4,1.49,1.22,1.37,1.37,91300
2016-12-02,1.33,1.44,1.33,1.34,1.34,96900
2016-12-05,1.35,1.46,1.35,1.39,1.39,84500
2016-12-06,1.4,1.44,1.35,1.37,1.37,55100
2016-12-07,1.37,1.38,1.3,1.36,1.36,30200
2016-12-08,1.37,1.37,1.32,1.32,1.32,27900
2016-12-09,1.32,1.36,1.27,1.27,1.27,43900
2016-12-12,1.27,1.31,1.27,1.3,1.3,20600
2016-12-13,1.27,1.29,1.26,1.27,1.27,27800
2016-12-14,1.26,1.27,1.17,1.17,1.17,80200
2016-12-15,1.18,1.24,1.11,1.2,1.2,87100
2016-12-16,1.19,1.19,1.12,1.13,1.13,59000
2016-12-19,1.13,1.23,1.12,1.17,1.17,43100
2016-12-20,1.16,1.2,1.16,1.17,1.17,32700
2016-12-21,1.18,1.25,1.11,1.23,1.23,251000
2016-12-22,1.23,1.23,1.15,1.16,1.16,47000
2016-12-23,1.35,2.03,1.33,1.33,1.33,4972800
2016-12-27,1.33,1.5,1.33,1.48,1.48,311500
2016-12-28,1.48,1.51,1.35,1.35,1.35,190100
2016-12-29,1.3,1.43,1.3,1.38,1.38,57700
2016-12-30,1.39,1.39,1.25,1.25,1.25,91400
2017-01-03,1.26,1.31,1.25,1.29,1.29,16500
2017-01-04,1.3,1.39,1.26,1.32,1.32,73200
2017-01-05,1.34,1.34,1.28,1.3,1.3,35200
2017-01-06,1.3,1.33,1.26,1.27,1.27,27200
2017-01-09,1.25,1.27,1.2,1.24,1.24,55600
2017-01-10,1.22,1.31,1.21,1.24,1.24,67600
2017-01-11,1.25,1.66,1.25,1.38,1.38,814500
2017-01-12,1.35,1.37,1.22,1.28,1.28,153600
2017-01-13,1.29,1.3,1.25,1.26,1.26,60300
2017-01-17,1.27,1.28,1.23,1.23,1.23,30400
2017-01-18,1.25,1.43,1.2,1.28,1.28,140900
2017-01-19,1.28,1.28,1.25,1.26,1.26,58500
2017-01-20,1.26,1.3,1.2,1.26,1.26,165600
2017-01-23,1.43,1.75,1.37,1.45,1.45,1653900
2017-01-24,1.56,1.6,1.41,1.44,1.44,409900
2017-01-25,1.44,1.44,1.32,1.39,1.39,122300
2017-01-26,1.39,1.39,1.3,1.35,1.35,175000
2017-01-27,1.35,1.4,1.3,1.34,1.34,69300
2017-01-30,1.34,1.35,1.28,1.29,1.29,84300
2017-01-31,1.28,1.32,1.27,1.27,1.27,63400
2017-02-01,1.27,1.34,1.26,1.28,1.28,58500
2017-02-02,1.29,1.33,1.27,1.28,1.28,100000
2017-02-03,1.29,1.33,1.28,1.31,1.31,69000
2017-02-06,1.32,1.4,1.27,1.3,1.3,221400
2017-02-07,1.29,1.29,1.22,1.26,1.26,93800
2017-02-08,1.25,1.28,1.24,1.28,1.28,48000
2017-02-09,1.26,1.31,1.25,1.29,1.29,65500
2017-02-10,1.33,1.33,1.27,1.31,1.31,35700
2017-02-13,1.3,1.35,1.25,1.28,1.28,68500
2017-02-14,1.26,1.32,1.26,1.29,1.29,39000
2017-02-15,1.27,1.3,1.26,1.27,1.27,19000
2017-02-16,1.28,1.28,1.26,1.27,1.27,46700
2017-02-17,1.27,1.33,1.26,1.33,1.33,211000
2017-02-21,1.31,1.48,1.28,1.28,1.28,587800
2017-02-22,1.28,1.35,1.28,1.28,1.28,134000
2017-02-23,1.28,1.31,1.23,1.23,1.23,99300
2017-02-24,1.24,1.24,1.16,1.2,1.2,88100
2017-02-27,1.18,1.2,1.16,1.19,1.19,67000
2017-02-28,1.19,1.28,1.19,1.25,1.25,61200
2017-03-01,1.26,1.27,1.16,1.19,1.19,96700
2017-03-02,1.22,1.23,1.16,1.16,1.16,133300
2017-03-03,1.17,1.2,1.16,1.18,1.18,27100
2017-03-06,1.19,1.22,1.16,1.19,1.19,62200
2017-03-07,1.16,1.18,1.14,1.15,1.15,45800
2017-03-08,1.14,1.2,1.14,1.18,1.18,33700
2017-03-09,1.19,1.23,1.19,1.22,1.22,141500
2017-03-10,1.22,1.22,1.19,1.22,1.22,13300
2017-03-13,1.2,1.24,1.2,1.21,1.21,21600
2017-03-14,1.21,1.3,1.2,1.3,1.3,83700
2017-03-15,1.32,1.34,1.27,1.3,1.3,96900
2017-03-16,1.3,1.36,1.29,1.34,1.34,69800
2017-03-17,1.3,1.37,1.29,1.35,1.35,94200
2017-03-20,1.35,1.44,1.33,1.4,1.4,331900
2017-03-21,1.42,1.44,1.34,1.35,1.35,170400
2017-03-22,1.34,1.34,1.25,1.27,1.27,43500
2017-03-23,1.28,1.42,1.25,1.26,1.26,30000
2017-03-24,1.25,1.34,1.25,1.28,1.28,27300
2017-03-27,1.26,1.3,1.25,1.26,1.26,4700
2017-03-28,1.3,1.3,1.25,1.26,1.26,14500
2017-03-29,1.26,1.28,1.25,1.26,1.26,18600
2017-03-30,1.36,1.65,1.31,1.32,1.32,1102100
2017-03-31,1.3,1.49,1.3,1.36,1.36,94300
2017-04-03,1.35,1.44,1.35,1.39,1.39,59300
2017-04-04,1.39,1.41,1.35,1.36,1.36,23800
2017-04-05,1.39,1.4,1.35,1.37,1.37,25500
2017-04-06,1.35,1.37,1.33,1.33,1.33,29000
2017-04-07,1.34,1.36,1.33,1.33,1.33,18300
2017-04-10,1.33,1.35,1.32,1.35,1.35,23900
2017-04-11,1.31,1.38,1.28,1.32,1.32,14700
2017-04-12,1.37,1.38,1.34,1.34,1.34,5000
