Date,Open,High,Low,Close,Adj Close,Volume
2015-07-14,15.14,15.14,15.1,12.786364,15.14,7800
2015-07-15,15.14,18.16,15.13,15.336882000000001,18.16,6300
2015-07-16,15.22,15.29,15.17,12.913046000000001,15.29,1700
2015-07-17,15.38,15.38,15.13,12.803255,15.16,10100
2015-07-20,15.11,15.11,15.06,12.718798,15.06,6600
2015-07-21,15.02,15.02,14.98,12.651237,14.98,3700
2015-07-22,14.98,14.98,14.98,12.651237,14.98,0
2015-07-23,15.09,15.09,14.8,12.499217999999999,14.8,3900
2015-07-24,14.67,14.69,14.6,12.406321,14.69,1100
2015-07-27,14.616,14.616,14.608,12.337067999999999,14.608,1300
2015-07-28,14.63,14.63,14.63,12.355649,14.63,300
2015-07-29,14.78,14.87,14.4,12.161402,14.4,25100
2015-07-30,14.4,14.4,14.4,12.161402,14.4,0
2015-07-31,14.87,14.882,14.84,12.568474,14.882,1900
2015-08-03,15.06,15.06,14.88,12.566784,14.88,900
2015-08-04,14.88,14.88,14.88,12.566784,14.88,0
2015-08-05,14.81,14.81,14.81,12.507666,14.81,100
2015-08-06,14.79,14.79,14.65,12.473883,14.77,1500
2015-08-07,14.77,14.77,14.71,12.423214,14.71,1800
2015-08-10,14.76,14.89,14.71,12.57523,14.89,3100
2015-08-11,14.86,14.86,14.86,12.549891,14.86,200
2015-08-12,14.86,14.86,14.86,12.549891,14.86,0
2015-08-13,14.91,14.91,14.905,12.587894,14.905,600
2015-08-14,14.91,14.91,14.91,12.592119,14.91,300
2015-08-17,14.91,14.91,14.91,12.592119,14.91,0
2015-08-18,14.91,14.91,14.91,12.592119,14.91,0
2015-08-19,14.91,14.91,14.91,12.592119,14.91,0
2015-08-20,14.91,14.91,14.91,12.592119,14.91,0
2015-08-21,14.66,14.66,14.56,12.319333,14.587,1300
2015-08-24,14.64,14.64,13.39,11.933377,14.13,6500
2015-08-25,14.17,14.17,14.17,11.967158999999999,14.17,100
2015-08-26,14.218,14.218,14.218,12.007696000000001,14.218,200
2015-08-27,14.35,14.388,14.35,12.151268,14.388,500
2015-08-28,14.437,14.45,14.437,12.195185,14.44,600
2015-08-31,14.41,14.45,14.18,12.169847,14.41,4500
2015-09-01,14.31,14.31,14.06,11.957239,14.06,1300
2015-09-02,14.112,14.112,14.04,11.940227,14.04,400
2015-09-03,14.04,14.04,14.04,11.940227,14.04,0
2015-09-04,14.04,14.04,14.04,11.940227,14.04,0
