Date,Open,High,Low,Close,Adj Close,Volume
2017-05-12,7.45,7.91,7.25,7.85,7.85,632000
2017-05-15,7.85,7.98,7.58,7.76,7.76,63100
2017-05-16,7.75,7.89,7.7,7.75,7.75,34800
2017-05-17,7.8,7.85,7.722,7.8,7.8,55100
2017-05-18,7.84,7.95,7.75,7.78,7.78,32100
2017-05-19,7.8,7.899,7.57,7.57,7.57,25100
2017-05-22,7.75,8.0,7.68,7.91,7.91,61700
2017-05-23,7.99,8.05,7.9,7.9,7.9,22900
2017-05-24,8.06,8.1,7.945,8.04,8.04,24200
2017-05-25,8.05,8.14,8.0,8.14,8.14,10900
2017-05-26,8.14,8.19,8.0,8.07,8.07,12400
2017-05-30,8.09,8.12,8.0,8.04,8.04,8300
2017-05-31,7.96,8.11,7.85,7.92,7.92,22700
2017-06-01,7.86,8.07,7.86,8.06,8.06,7700
2017-06-02,7.96,8.19,7.7,8.19,8.19,66600
2017-06-05,8.2,8.2,8.1,8.14,8.14,15100
2017-06-06,8.19,8.25,8.0,8.14,8.14,33600
2017-06-07,8.2,8.2,7.96,8.15,8.15,5300
2017-06-08,8.05,8.25,7.95,8.15,8.15,5700
2017-06-09,8.2,8.25,8.0,8.15,8.15,24700
2017-06-12,8.25,8.38,8.2,8.38,8.38,20800
2017-06-13,8.26,8.5,8.169,8.4,8.4,21600
2017-06-14,8.42,8.5,8.21,8.39,8.39,17100
2017-06-15,7.74,8.39,7.73,8.38,8.38,11400
2017-06-16,8.35,9.56,7.94,8.08,8.08,93400
2017-06-19,8.09,8.44,8.09,8.36,8.36,11100
2017-06-20,8.28,8.46,8.025,8.34,8.34,21400
2017-06-21,8.32,8.51,8.2,8.32,8.32,33000
2017-06-22,8.44,8.45,8.2,8.2,8.2,9600
2017-06-23,8.19,8.39,7.915,8.35,8.35,34000
2017-06-26,8.38,8.38,8.12,8.28,8.28,20200
2017-06-27,8.16,8.25,8.16,8.2,8.2,7600
2017-06-28,8.33,8.33,8.03,8.18,8.18,2700
2017-06-29,8.11,8.18,8.01,8.12,8.12,2100
2017-06-30,8.29,8.29,8.09,8.15,8.15,5000
2017-07-03,8.08,8.23,8.08,8.23,8.23,600
2017-07-05,8.14,8.35,8.14,8.35,8.35,6700
2017-07-06,8.0,8.35,8.0,8.29,8.29,2000
2017-07-07,8.01,8.2,8.01,8.2,8.2,2500
2017-07-10,8.03,8.247,8.01,8.01,8.01,3900
2017-07-11,8.02,8.14,8.0,8.0,8.0,5600
