Date,Open,High,Low,Close,Adj Close,Volume
2015-01-30,13.15,13.75,13.0,13.5,13.5,2698800
2015-02-02,13.5,14.42,13.11,13.32,13.32,89900
2015-02-03,13.38,13.55,13.0,13.05,13.05,146200
2015-02-04,13.06,13.17,13.0,13.0,13.0,292000
2015-02-05,13.0,13.19,12.92,13.14,13.14,427600
2015-02-06,13.39,13.798,13.0,13.05,13.05,162800
2015-02-09,13.1,13.15,13.01,13.1,13.1,41800
2015-02-10,13.14,13.23,13.02,13.05,13.05,15200
2015-02-11,13.11,13.26,13.09,13.15,13.15,45900
2015-02-12,13.11,13.43,13.11,13.17,13.17,46000
2015-02-13,13.2,13.27,12.31,12.89,12.89,219900
2015-02-17,12.75,13.15,11.79,13.05,13.05,259800
2015-02-18,12.97,12.97,11.16,11.9,11.9,171200
2015-02-19,11.93,12.14,9.85,10.25,10.25,138900
2015-02-20,10.25,10.6,10.24,10.41,10.41,36500
2015-02-23,10.62,10.88,10.25,10.66,10.66,28500
2015-02-24,10.55,11.63,10.28,11.49,11.49,82500
2015-02-25,11.7,12.85,11.7,12.21,12.21,60600
2015-02-26,11.95,12.0,11.75,11.86,11.86,24900
2015-02-27,11.9,11.9,11.214,11.4,11.4,17500
2015-03-02,11.4,11.42,10.78,11.19,11.19,61200
2015-03-03,11.04,11.2,10.8,11.08,11.08,19000
2015-03-04,10.81,11.2,10.81,10.81,10.81,17100
2015-03-05,11.14,11.18,10.88,10.91,10.91,8300
2015-03-06,10.83,11.05,10.38,10.5,10.5,17400
2015-03-09,10.32,10.7,10.09,10.15,10.15,65500
2015-03-10,10.2,10.44,9.35,10.0,10.0,42200
2015-03-11,10.5,10.7,9.99,10.0,10.0,78100
2015-03-12,10.49,10.65,10.0,10.45,10.45,47100
2015-03-13,10.22,10.6,10.22,10.48,10.48,49600
2015-03-16,10.57,10.7,10.31,10.63,10.63,66900
2015-03-17,10.51,11.27,10.5,10.69,10.69,44800
2015-03-18,10.98,11.9,10.67,11.41,11.41,32900
2015-03-19,11.43,11.99,10.81,11.0,11.0,82100
2015-03-20,11.08,11.6,10.13,10.13,10.13,166300
2015-03-23,10.28,10.66,10.28,10.3,10.3,142300
2015-03-24,10.43,10.85,10.3,10.85,10.85,145400
2015-03-25,10.82,11.1,10.501,10.78,10.78,36400
2015-03-26,10.79,11.19,10.7,11.02,11.02,27000
2015-03-27,11.01,11.25,10.38,10.98,10.98,55300
2015-03-30,11.0,11.4,10.787,11.39,11.39,37100
2015-03-31,11.32,11.6,10.7,11.09,11.09,27800
2015-04-01,11.13,11.29,10.56,11.22,11.22,44100
2015-04-02,11.25,11.6,11.23,11.54,11.54,10400
2015-04-06,11.53,11.53,11.055,11.5,11.5,12200
2015-04-07,11.52,11.86,11.07,11.65,11.65,36700
2015-04-08,11.42,12.19,11.3,12.06,12.06,33500
2015-04-09,11.82,11.82,11.6,11.6,11.6,20900
2015-04-10,11.68,11.83,11.49,11.83,11.83,5500
2015-04-13,12.05,12.05,11.02,11.25,11.25,27800
2015-04-14,11.52,11.94,11.52,11.69,11.69,20100
2015-04-15,11.8,11.96,11.61,11.9,11.9,55600
2015-04-16,11.69,12.54,11.69,12.164,12.164,22700
2015-04-17,12.29,12.37,12.002,12.27,12.27,15300
2015-04-20,12.012,12.55,11.51,11.55,11.55,17800
2015-04-21,11.65,11.76,11.01,11.425,11.425,25600
2015-04-22,11.75,11.75,11.45,11.66,11.66,10600
2015-04-23,11.6,11.86,11.6,11.62,11.62,14300
2015-04-24,11.65,11.85,11.59,11.82,11.82,13200
2015-04-27,11.0,11.95,11.0,11.91,11.91,21700
2015-04-28,11.53,11.91,11.22,11.26,11.26,8200
2015-04-29,11.19,11.86,11.0,11.44,11.44,68100
2015-04-30,11.4,11.55,10.75,10.98,10.98,158000
2015-05-01,11.04,11.32,10.23,10.91,10.91,26800
2015-05-04,11.0,11.0,10.65,10.66,10.66,15700
2015-05-05,10.512,10.98,10.5,10.71,10.71,20100
2015-05-06,10.72,10.73,10.2,10.5,10.5,46400
2015-05-07,10.48,11.44,10.26,11.44,11.44,19300
2015-05-08,11.36,11.774,11.02,11.15,11.15,10400
2015-05-11,11.2,11.66,11.16,11.4,11.4,15900
2015-05-12,10.9,11.4,10.9,11.385,11.385,14100
2015-05-13,11.4,11.4,11.25,11.35,11.35,24700
2015-05-14,11.5,11.68,11.2,11.24,11.24,9300
2015-05-15,11.3,11.4,11.15,11.305,11.305,24400
2015-05-18,11.31,11.58,11.3,11.36,11.36,81100
2015-05-19,11.65,11.75,11.317,11.47,11.47,17300
2015-05-20,11.71,12.48,11.13,11.35,11.35,80300
2015-05-21,11.55,11.6,11.06,11.49,11.49,10800
2015-05-22,11.41,11.74,11.41,11.47,11.47,50100
2015-05-26,11.59,11.69,11.4,11.54,11.54,10800
2015-05-27,11.67,11.67,11.25,11.42,11.42,18800
2015-05-28,11.54,11.8,11.49,11.73,11.73,52200
2015-05-29,11.61,11.98,11.59,11.68,11.68,7000
2015-06-01,11.79,12.52,11.67,12.38,12.38,30900
2015-06-02,12.28,12.31,12.01,12.01,12.01,9900
2015-06-03,12.01,12.37,11.97,12.02,12.02,29100
2015-06-04,12.06,12.8,12.0,12.25,12.25,64600
2015-06-05,12.23,12.35,12.0,12.035,12.035,138700
2015-06-08,12.11,12.6,12.11,12.325,12.325,42200
2015-06-09,12.35,12.5,12.25,12.38,12.38,28000
2015-06-10,12.33,12.74,12.33,12.5,12.5,46000
2015-06-11,12.48,12.74,12.48,12.74,12.74,54800
2015-06-12,12.735,12.92,12.09,12.27,12.27,35400
2015-06-15,12.27,12.9,12.27,12.7,12.7,19200
2015-06-16,12.62,12.68,12.12,12.19,12.19,100200
2015-06-17,12.42,12.45,12.1,12.32,12.32,28300
2015-06-18,12.36,12.64,12.33,12.38,12.38,18700
2015-06-19,12.4,12.73,12.06,12.06,12.06,61800
