Date,Open,High,Low,Close,Adj Close,Volume
2016-08-19,10.08,10.15,10.02,10.02,10.02,2700
2016-08-22,10.02,10.02,10.02,10.02,10.02,0
2016-08-23,10.02,10.02,10.02,10.02,10.02,0
2016-08-24,10.02,10.02,10.02,10.02,10.02,0
2016-08-25,10.15,10.16,9.97,10.13,10.13,13300
2016-08-26,10.13,10.13,10.13,10.13,10.13,0
2016-08-29,10.15,10.17,10.05,10.15,10.15,26200
2016-08-30,10.15,10.15,10.15,10.15,10.15,100
2016-08-31,10.17,10.25,10.17,10.19,10.19,3800
2016-09-01,10.15,12.05,9.94,10.2,10.2,14500
2016-09-02,10.261,10.261,10.25,10.25,10.25,4100
2016-09-06,10.23,10.27,10.21,10.21,10.21,5600
2016-09-07,10.21,10.21,10.21,10.21,10.21,600
2016-09-08,10.21,10.29,10.1,10.26,10.26,61400
2016-09-09,10.26,10.42,10.23,10.23,10.23,2500
2016-09-12,10.23,10.3,10.15,10.29,10.29,96500
2016-09-13,10.21,10.21,10.08,10.2,10.2,49900
2016-09-14,10.24,10.26,10.24,10.26,10.26,700
2016-09-15,10.243,10.31,10.175,10.31,10.31,21100
2016-09-16,10.29,10.29,10.26,10.26,10.26,1000
2016-09-19,10.25,10.25,10.2,10.24,10.24,13200
2016-09-20,10.215,10.34,10.196,10.27,10.27,17800
2016-09-21,10.27,10.28,10.2,10.2,10.2,11500
2016-09-22,10.2,10.21,10.09,10.2,10.2,10600
2016-09-23,10.31,10.32,10.2,10.23,10.23,1400
2016-09-26,10.2,10.21,10.2,10.2,10.2,1400
2016-09-27,10.25,10.25,10.14,10.18,10.18,36400
2016-09-28,10.28,10.29,10.18,10.18,10.18,50100
2016-09-29,10.23,10.24,10.23,10.24,10.24,200
2016-09-30,10.23,10.23,10.09,10.2,10.2,1600
2016-10-03,10.21,10.23,10.15,10.19,10.19,28800
2016-10-04,10.24,10.27,10.16,10.19,10.19,16100
2016-10-05,10.24,10.24,10.18,10.22,10.22,1200
2016-10-06,10.18,10.29,10.17,10.29,10.29,1900
2016-10-07,10.27,10.33,10.25,10.28,10.28,11900
2016-10-10,10.2,10.35,10.15,10.22,10.22,49200
2016-10-11,10.27,10.27,10.2,10.215,10.215,4600
2016-10-12,10.19,10.31,10.14,10.155,10.155,18200
2016-10-13,10.185,10.51,10.175,10.51,10.51,11600
2016-10-14,10.28,10.29,10.185,10.2,10.2,11800
2016-10-17,10.195,10.25,10.19,10.23,10.23,3500
2016-10-18,10.15,10.29,10.13,10.21,10.21,1800
2016-10-19,10.21,10.21,10.21,10.21,10.21,0
2016-10-20,10.35,10.35,10.16,10.23,10.23,24300
2016-10-21,10.27,10.27,10.19,10.247,10.247,900
2016-10-24,10.29,10.29,10.29,10.29,10.29,200
2016-10-25,10.15,10.31,10.15,10.25,10.25,36600
2016-10-26,10.25,10.25,10.24,10.25,10.25,1100
2016-10-27,10.28,10.29,10.2,10.27,10.27,10100
2016-10-28,10.29,10.3,10.25,10.25,10.25,2300
2016-10-31,10.25,10.48,10.16,10.27,10.27,2600
2016-11-01,10.27,10.27,10.27,10.27,10.27,100
2016-11-02,10.31,10.31,10.31,10.31,10.31,100
2016-11-03,10.32,10.34,10.18,10.29,10.29,10900
2016-11-04,10.3,10.3,10.3,10.3,10.3,100
2016-11-07,10.25,10.27,10.2,10.26,10.26,20900
2016-11-08,10.29,10.3,10.21,10.3,10.3,2100
2016-11-09,10.29,10.33,10.18,10.33,10.33,99000
2016-11-10,10.3,10.35,10.22,10.34,10.34,4000
2016-11-11,10.36,10.36,10.22,10.34,10.34,900
2016-11-14,10.31,10.35,10.25,10.35,10.35,15900
2016-11-15,10.34,10.35,10.28,10.35,10.35,2400
2016-11-16,10.36,10.395,10.3,10.34,10.34,1700
2016-11-17,10.35,10.385,10.31,10.31,10.31,13200
2016-11-18,10.34,10.34,10.34,10.34,10.34,100
2016-11-21,10.3,10.34,10.2,10.34,10.34,79600
