Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,7.88,7.99,7.87,3.9835190000000003,7.95,202500
2010-01-05,7.88,8.06,7.88,4.038638,8.06,231200
2010-01-06,8.0,8.06,8.0,4.038638,8.06,189300
2010-01-07,8.05,8.12,8.0,4.058681,8.1,276700
2010-01-08,8.15,8.15,8.03,4.073712,8.13,273700
2010-01-11,8.16,8.18,8.1,4.058681,8.1,198600
2010-01-12,8.03,8.08,8.03,4.028617,8.04,190500
2010-01-13,8.05,8.09,8.02,4.053669,8.09,224300
2010-01-14,8.1,8.15,8.08,4.073712,8.13,194300
2010-01-15,8.1,8.1,8.03,4.038638,8.06,169400
2010-01-19,8.05,8.15,8.04,4.078723,8.14,290900
2010-01-20,8.05,8.09,7.95,4.028617,8.04,381300
2010-01-21,8.01,8.07,7.9,3.9835190000000003,7.95,203200
2010-01-22,7.9,7.91,7.73,3.8732839999999995,7.73,223400
2010-01-25,7.78,7.84,7.73,3.8883160000000005,7.76,212700
2010-01-26,7.7,7.81,7.7,3.8833059999999997,7.75,190200
2010-01-27,7.78,7.78,7.6,3.8883160000000005,7.76,222600
2010-01-28,7.73,7.75,7.43,3.8382080000000003,7.66,301400
2010-01-29,7.68,7.7,7.46,3.778079,7.54,212200
2010-02-01,7.56,7.65,7.52,3.8331989999999996,7.65,145700
2010-02-02,7.64,7.77,7.64,3.893326,7.77,172200
2010-02-03,7.74,7.8,7.69,3.863263,7.71,177900
2010-02-04,7.63,7.64,7.36,3.6928970000000003,7.37,269900
2010-02-05,7.26,7.29,6.92,3.602089,7.14,577200
2010-02-08,7.15,7.25,7.07,3.6121779999999997,7.16,260300
2010-02-09,7.22,7.3,7.11,3.677764,7.29,249100
2010-02-10,7.26,7.33,7.23,3.6928970000000003,7.32,224700
2010-02-11,7.28,7.44,7.28,3.7534370000000004,7.44,169000
2010-02-12,7.41,7.45,7.35,3.748392,7.43,159500
2010-02-16,7.45,7.52,7.39,3.783707,7.5,226200
2010-02-17,7.5,7.55,7.47,3.793796,7.52,168100
2010-02-18,7.45,7.63,7.45,3.839203,7.61,304400
2010-02-19,7.59,7.65,7.52,3.859381,7.65,210900
2010-02-22,7.67,7.68,7.6,3.869469,7.67,223700
2010-02-23,7.65,7.7,7.56,3.859381,7.65,233900
2010-02-24,7.63,7.67,7.51,3.854336,7.64,306400
2010-02-25,7.58,7.65,7.45,3.844246,7.62,191400
2010-02-26,7.55,7.71,7.55,3.869469,7.67,263600
2010-03-01,7.71,7.74,7.66,3.89974,7.73,155200
2010-03-02,7.7,7.79,7.7,3.9148769999999997,7.76,205400
2010-03-03,7.76,7.8,7.68,3.874515,7.68,207000
2010-03-04,7.72,7.82,7.72,3.945147,7.82,253700
2010-03-05,7.86,7.94,7.85,4.005684,7.94,153600
2010-03-08,7.94,7.98,7.91,4.0157739999999995,7.96,165400
2010-03-09,7.89,7.96,7.87,4.0411589999999995,7.96,212400
2010-03-10,7.95,7.98,7.9,4.020851,7.92,146400
2010-03-11,7.93,7.95,7.87,4.036082,7.95,183300
2010-03-12,7.96,8.01,7.94,4.0462370000000005,7.97,121900
2010-03-15,7.96,8.0,7.9,4.061466,8.0,129300
2010-03-16,7.97,8.05,7.97,4.071619999999999,8.02,168800
2010-03-17,8.01,8.11,8.01,4.097005,8.07,262900
2010-03-18,8.09,8.13,8.05,4.122386,8.12,206900
2010-03-19,8.01,8.14,8.0,4.066543,8.01,133700
2010-03-22,8.0,8.08,7.93,4.066543,8.01,181300
2010-03-23,8.06,8.07,7.94,4.081774,8.04,295600
2010-03-24,7.99,8.06,7.96,4.081774,8.04,243300
2010-03-25,8.04,8.11,8.01,4.076695,8.03,248000
2010-03-26,8.02,8.11,8.02,4.076695,8.03,141800
2010-03-29,8.06,8.11,8.01,4.091927,8.06,186200
2010-03-30,8.06,8.12,8.04,4.091927,8.06,205400
2010-03-31,8.02,8.11,8.02,4.091927,8.06,221900
2010-04-01,8.09,8.14,8.06,4.122386,8.12,210200
2010-04-05,8.11,8.19,8.09,4.1579239999999995,8.19,198100
2010-04-06,8.1,8.22,8.1,4.163003,8.2,163400
2010-04-07,8.17,8.22,8.11,4.142696,8.16,188300
2010-04-08,8.13,8.23,8.09,4.173156,8.22,170800
2010-04-09,8.22,8.24,8.16,4.188479,8.2,165400
2010-04-12,8.21,8.25,8.16,4.183372,8.19,168800
2010-04-13,8.21,8.26,8.16,4.219129,8.26,148500
2010-04-14,8.28,8.3,8.24,4.229343,8.28,222100
2010-04-15,8.24,8.31,8.24,4.229343,8.28,187100
2010-04-16,8.28,8.3,8.1,4.178265000000001,8.18,234800
2010-04-19,8.09,8.2,8.08,4.132294,8.09,229100
2010-04-20,8.13,8.23,8.13,4.188479,8.2,218500
2010-04-21,8.24,8.26,8.14,4.162939,8.15,190000
2010-04-22,8.12,8.2,8.06,4.188479,8.2,234600
2010-04-23,8.17,8.24,8.16,4.208913,8.24,214300
2010-04-26,8.27,8.31,8.2,4.193589,8.21,192000
2010-04-27,8.19,8.24,8.08,4.127185,8.08,205000
2010-04-28,8.07,8.11,8.02,4.111863,8.05,264500
2010-04-29,8.15,8.18,8.09,4.147619000000001,8.12,197200
2010-04-30,8.09,8.14,8.08,4.1425089999999996,8.11,154900
2010-05-03,8.08,8.17,8.06,4.162939,8.15,178400
2010-05-04,8.08,8.08,7.86,4.076105999999999,7.98,314900
2010-05-05,7.92,7.92,7.56,3.9126529999999997,7.66,462400
2010-05-06,7.65,7.66,6.49,3.667474,7.18,681400
2010-05-07,7.3,7.41,6.95,3.7236599999999997,7.29,586900
2010-05-10,7.54,7.67,7.48,3.872815,7.53,235900
2010-05-11,7.42,7.65,7.4,3.872815,7.53,184800
2010-05-12,7.56,7.65,7.53,3.908815,7.6,276300
2010-05-13,7.66,7.67,7.51,3.8831,7.55,182800
2010-05-14,7.54,7.54,7.28,3.8059489999999996,7.4,229800
2010-05-17,7.38,7.4,7.13,3.795666,7.38,296800
2010-05-18,7.49,7.5,7.23,3.7288040000000002,7.25,197600
2010-05-19,7.25,7.29,7.09,3.697946,7.19,215700
2010-05-20,7.01,7.07,6.76,3.49736,6.8,358700
2010-05-21,6.66,6.99,6.58,3.564222,6.93,305700
2010-05-24,6.86,7.0,6.86,3.548793,6.9,205900
2010-05-25,6.6,6.84,6.55,3.507646,6.82,273300
2010-05-26,6.9,7.0,6.83,3.5179339999999995,6.84,185400
2010-05-27,6.98,7.12,6.98,3.661943,7.12,138000
2010-05-28,7.1,7.13,7.02,3.6516559999999996,7.1,150000
2010-06-01,7.0,7.09,6.94,3.5847949999999997,6.97,174800
2010-06-02,6.99,7.11,6.95,3.6568,7.11,122200
2010-06-03,7.1,7.21,6.95,3.641369,7.08,245500
2010-06-04,6.88,7.03,6.87,3.548793,6.9,153800
2010-06-07,6.92,6.92,6.78,3.5127900000000003,6.83,230000
2010-06-08,6.81,6.88,6.69,3.5231529999999998,6.8,175900
2010-06-09,6.85,6.92,6.7,3.47134,6.7,198100
2010-06-10,6.84,6.92,6.8,3.580143,6.91,220900
2010-06-11,6.85,6.97,6.85,3.5956879999999996,6.94,147200
2010-06-14,7.01,7.04,6.95,3.6215940000000004,6.99,192500
2010-06-15,7.05,7.12,7.02,3.6889489999999996,7.12,205700
2010-06-16,7.09,7.2,7.07,3.7200349999999998,7.18,249000
2010-06-17,7.24,7.24,7.1,3.714854,7.17,196200
2010-06-18,7.21,7.23,7.14,3.7044919999999997,7.15,153400
2010-06-21,7.23,7.26,7.12,3.6889489999999996,7.12,192000
2010-06-22,7.13,7.16,7.04,3.6682230000000002,7.08,175300
2010-06-23,7.09,7.18,7.03,3.7200349999999998,7.18,163600
2010-06-24,7.13,7.15,7.05,3.673406,7.09,134500
2010-06-25,7.11,7.15,7.03,3.6837660000000003,7.11,158600
2010-06-28,7.09,7.16,7.06,3.657862,7.06,179300
2010-06-29,7.0,7.0,6.82,3.538696,6.83,188700
2010-06-30,6.79,6.87,6.75,3.5076080000000003,6.77,218900
2010-07-01,6.72,6.75,6.61,3.4765230000000003,6.71,213500
2010-07-02,6.67,6.79,6.66,3.497247,6.75,167100
2010-07-06,6.87,6.92,6.8,3.5335160000000005,6.82,246000
2010-07-07,6.86,6.96,6.85,3.6060489999999996,6.96,240500
2010-07-08,6.95,6.98,6.89,3.6373620000000004,6.97,78800
2010-07-09,6.97,7.02,6.92,3.658236,7.01,173700
2010-07-12,6.98,7.04,6.97,3.658236,7.01,183400
2010-07-13,7.06,7.16,7.06,3.7104239999999997,7.11,249500
2010-07-14,7.1,7.19,7.1,3.7521720000000003,7.19,193200
2010-07-15,7.24,7.24,7.14,3.7678269999999996,7.22,236600
2010-07-16,7.23,7.23,7.17,3.762608,7.21,597200
2010-07-19,7.24,7.25,7.19,3.783482,7.25,203300
2010-07-20,7.19,7.24,7.14,3.7678269999999996,7.22,209800
2010-07-21,7.26,7.26,7.17,3.746953,7.18,241600
2010-07-22,7.27,7.38,7.26,3.835668,7.35,274200
2010-07-23,7.37,7.39,7.33,3.8408870000000004,7.36,230700
2010-07-26,7.39,7.45,7.37,3.8722,7.42,195700
2010-07-27,7.51,7.52,7.44,3.8878559999999998,7.45,197700
2010-07-28,7.49,7.51,7.45,3.9139480000000004,7.5,229400
2010-07-29,7.55,7.55,7.42,3.924386,7.52,237100
2010-07-30,7.43,7.54,7.43,3.9139480000000004,7.5,194300
2010-08-02,7.59,7.67,7.57,3.9922269999999997,7.65,201000
2010-08-03,7.67,7.71,7.52,3.976571,7.62,328900
2010-08-04,7.67,7.67,7.48,3.976571,7.62,359000
2010-08-05,7.6,7.65,7.58,3.9870080000000003,7.64,250100
2010-08-06,7.57,7.64,7.56,4.013273000000001,7.64,34200
2010-08-09,7.68,7.68,7.63,4.023778,7.66,158300
2010-08-10,7.66,7.68,7.58,4.034286,7.68,160300
2010-08-11,7.62,7.62,7.42,3.923972,7.47,264900
2010-08-12,7.23,7.46,7.23,3.918721,7.46,173400
2010-08-13,7.5,7.5,7.43,3.908213,7.44,201700
2010-08-16,7.42,7.48,7.36,3.8714419999999996,7.37,223500
2010-08-17,7.43,7.55,7.38,3.95549,7.53,192400
2010-08-18,7.56,7.58,7.49,3.9765019999999995,7.57,222400
2010-08-19,7.57,7.59,7.38,3.8819489999999996,7.39,194900
2010-08-20,7.39,7.39,7.28,3.866189,7.36,213700
2010-08-23,7.43,7.43,7.34,3.855685,7.34,172500
2010-08-24,7.29,7.29,7.2,3.7873940000000004,7.21,206700
2010-08-25,7.17,7.25,7.1,3.7979010000000004,7.23,245900
2010-08-26,7.22,7.28,7.12,3.7401190000000004,7.12,289800
2010-08-27,7.18,7.3,7.12,3.8346720000000003,7.3,144100
2010-08-30,7.31,7.31,7.2,3.7873940000000004,7.21,169900
2010-08-31,7.17,7.27,7.14,3.808408,7.25,165100
2010-09-01,7.24,7.44,7.24,3.876697,7.38,251100
2010-09-02,7.42,7.53,7.4,3.95549,7.53,234600
2010-09-03,7.62,7.63,7.54,3.9870080000000003,7.59,167900
2010-09-07,7.58,7.63,7.54,4.008018,7.63,184600
2010-09-08,7.62,7.65,7.54,4.023882,7.61,62200
2010-09-09,7.68,7.7,7.63,4.066184,7.69,198300
2010-09-10,7.7,7.71,7.66,4.076761,7.71,123500
2010-09-13,7.74,7.75,7.71,4.097908,7.75,214600
2010-09-14,7.74,7.82,7.73,4.129633999999999,7.81,226300
2010-09-15,7.8,7.88,7.73,4.134922,7.82,264600
2010-09-16,7.85,7.9,7.83,4.150785,7.85,210000
2010-09-17,7.9,7.92,7.82,4.134922,7.82,249800
2010-09-20,7.85,7.9,7.78,4.124348,7.8,230000
2010-09-21,7.84,7.89,7.81,4.129633999999999,7.81,222400
2010-09-22,7.85,7.88,7.82,4.134922,7.82,161300
2010-09-23,7.77,7.91,7.77,4.140209,7.83,140500
2010-09-24,7.9,7.98,7.9,4.208951,7.96,215700
2010-09-27,7.97,7.99,7.93,4.208951,7.96,222000
2010-09-28,7.99,8.0,7.92,4.219524,7.98,198300
2010-09-29,7.96,8.06,7.92,4.261826999999999,8.06,230400
2010-09-30,8.09,8.1,8.0,4.277689,8.09,262800
2010-10-01,8.14,8.14,8.08,4.288265,8.11,158800
2010-10-04,8.11,8.12,8.02,4.245964,8.03,120500
2010-10-05,8.1,8.15,8.09,4.288265,8.11,332200
2010-10-06,8.13,8.16,8.06,4.298838,8.13,230400
2010-10-07,8.15,8.17,8.09,4.341401,8.16,216900
2010-10-08,8.16,8.18,8.12,4.346724,8.17,194100
2010-10-11,8.16,8.19,8.14,4.352042,8.18,175900
2010-10-12,8.12,8.18,8.1,4.336082,8.15,166500
2010-10-13,8.16,8.23,8.13,4.352042,8.18,240000
2010-10-14,8.21,8.24,8.15,4.368002,8.21,196700
2010-10-15,8.23,8.25,8.18,4.368002,8.21,172100
2010-10-18,8.23,8.26,8.19,4.357362999999999,8.19,247300
2010-10-19,8.1,8.22,8.03,4.304158999999999,8.09,277000
2010-10-20,8.09,8.1,8.04,4.309480000000001,8.1,404100
2010-10-21,8.1,8.2,8.1,4.330764,8.14,299900
2010-10-22,8.19,8.2,8.15,4.341401,8.16,236400
2010-10-25,8.25,8.26,8.18,4.394608,8.26,391400
2010-10-26,8.2,8.3,8.17,4.399925,8.27,229400
2010-10-27,8.25,8.32,8.2,4.383965,8.24,336200
2010-10-28,8.31,8.31,8.19,4.368002,8.21,241500
2010-10-29,8.24,8.29,8.24,4.383965,8.24,168500
2010-11-01,8.32,8.33,8.15,4.383965,8.24,253600
2010-11-02,8.29,8.32,8.27,4.426528,8.32,172000
2010-11-03,8.34,8.37,8.27,4.442489,8.35,164500
2010-11-04,8.4,8.49,8.37,4.506332,8.47,166300
2010-11-05,8.49,8.56,8.46,4.548895,8.55,236800
2010-11-08,8.5,8.53,8.44,4.538192,8.48,237200
2010-11-09,8.5,8.55,8.39,4.49538,8.4,197100
2010-11-10,8.43,8.44,8.34,4.511435,8.43,164100
2010-11-11,8.38,8.39,8.27,4.431158,8.28,213400
2010-11-12,8.23,8.32,8.14,4.388347,8.2,223100
2010-11-15,8.25,8.28,8.17,4.388347,8.2,166300
2010-11-16,8.17,8.17,7.8,4.270611,7.98,403200
2010-11-17,8.02,8.09,8.01,4.30272,8.04,215100
2010-11-18,8.14,8.2,8.1,4.372291000000001,8.17,194400
2010-11-19,8.19,8.19,8.1,4.350885,8.13,249300
2010-11-22,8.08,8.18,8.08,4.356237,8.14,293900
2010-11-23,8.09,8.1,8.01,4.313425,8.06,253900
2010-11-24,8.11,8.18,8.1,4.3669400000000005,8.16,130100
2010-11-26,8.11,8.19,8.09,4.372291000000001,8.17,64100
