Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,2.33,2.33,2.21,2.31,2.31,24300
2010-01-05,2.26,2.49,2.23,2.33,2.33,23400
2010-01-06,2.29,2.4,2.27,2.37,2.37,43500
2010-01-07,2.37,2.47,2.25,2.47,2.47,133400
2010-01-08,2.45,2.45,2.29,2.33,2.33,95300
2010-01-11,2.35,2.44,2.28,2.44,2.44,41000
2010-01-12,2.42,2.42,2.32,2.33,2.33,20000
2010-01-13,2.34,2.44,2.31,2.39,2.39,48600
2010-01-14,2.35,2.44,2.31,2.39,2.39,21100
2010-01-15,2.32,2.47,2.3,2.47,2.47,34400
2010-01-19,2.43,2.58,2.43,2.57,2.57,70800
2010-01-20,2.51,2.69,2.51,2.64,2.64,100300
2010-01-21,2.64,2.64,2.49,2.54,2.54,69500
2010-01-22,2.5,2.6,2.47,2.58,2.58,58600
2010-01-25,2.51,2.55,2.48,2.5,2.5,15700
2010-01-26,2.5,2.63,2.5,2.58,2.58,38500
2010-01-27,2.62,2.69,2.51,2.52,2.52,23400
2010-01-28,2.51,2.51,2.47,2.47,2.47,43300
2010-01-29,2.52,2.52,2.42,2.45,2.45,8900
2010-02-01,2.34,2.44,2.32,2.41,2.41,22200
2010-02-02,2.39,2.52,2.38,2.52,2.52,8600
2010-02-03,2.52,2.52,2.52,2.52,2.52,0
2010-02-04,2.53,2.75,2.43,2.46,2.46,25800
2010-02-05,2.71,2.71,2.4,2.42,2.42,26900
2010-02-08,2.41,2.54,2.4,2.45,2.45,39600
2010-02-09,2.44,2.55,2.42,2.52,2.52,11900
2010-02-10,2.5,2.57,2.44,2.46,2.46,12000
2010-02-11,2.46,2.46,2.35,2.4,2.4,42900
2010-02-12,2.42,2.53,2.37,2.53,2.53,9800
2010-02-16,2.53,2.53,2.5,2.52,2.52,1800
2010-02-17,2.55,2.66,2.51,2.52,2.52,10000
2010-02-18,2.44,2.5,2.43,2.49,2.49,36100
2010-02-19,2.49,2.56,2.46,2.55,2.55,178700
2010-02-22,2.55,2.6,2.54,2.58,2.58,130300
2010-02-23,2.55,2.69,2.53,2.6,2.6,13000
2010-02-24,2.64,2.64,2.59,2.63,2.63,3200
2010-02-25,2.69,2.72,2.59,2.61,2.61,31100
2010-02-26,2.53,2.71,2.5,2.71,2.71,40600
2010-03-01,2.74,2.9,2.7,2.9,2.9,36400
2010-03-02,2.9,3.14,2.88,3.03,3.03,37900
2010-03-03,3.05,3.12,3.03,3.06,3.06,20000
2010-03-04,3.04,3.35,3.02,3.19,3.19,73100
2010-03-05,3.23,3.24,3.11,3.22,3.22,18600
2010-03-08,3.21,3.45,3.17,3.35,3.35,45100
2010-03-09,3.36,3.37,3.28,3.34,3.34,15600
2010-03-10,3.28,3.35,3.22,3.33,3.33,17400
2010-03-11,3.33,3.4,3.33,3.38,3.38,10400
2010-03-12,3.36,3.42,3.36,3.41,3.41,22200
2010-03-15,3.45,3.47,3.38,3.45,3.45,38000
2010-03-16,3.46,3.53,3.36,3.47,3.47,26800
2010-03-17,3.46,3.58,3.4,3.4,3.4,37800
2010-03-18,3.45,3.45,3.27,3.35,3.35,5300
2010-03-19,3.38,3.38,3.07,3.07,3.07,204900
2010-03-22,3.09,3.27,3.09,3.21,3.21,46100
2010-03-23,3.17,3.19,3.1,3.16,3.16,29600
2010-03-24,3.19,3.21,3.12,3.18,3.18,16500
2010-03-25,3.22,3.34,3.15,3.18,3.18,51400
2010-03-26,3.17,3.22,3.15,3.15,3.15,34600
2010-03-29,3.15,3.32,3.15,3.3,3.3,14700
2010-03-30,3.38,3.45,3.25,3.34,3.34,28400
2010-03-31,3.35,3.4,3.33,3.4,3.4,13600
2010-04-01,3.4,3.44,3.3,3.43,3.43,17400
2010-04-05,3.44,3.44,3.36,3.39,3.39,19300
2010-04-06,3.38,3.45,3.38,3.45,3.45,25000
2010-04-07,3.4,3.6,3.4,3.6,3.6,67600
2010-04-08,3.44,3.8,3.41,3.74,3.74,297100
2010-04-09,3.77,4.2,3.77,4.07,4.07,147600
2010-04-12,4.1,4.23,4.05,4.16,4.16,92100
2010-04-13,4.11,4.5,4.11,4.44,4.44,410000
2010-04-14,4.45,4.73,4.4,4.68,4.68,150400
2010-04-15,4.74,5.0,4.67,5.0,5.0,176400
2010-04-16,5.04,5.08,4.82,4.97,4.97,82800
2010-04-19,4.99,5.19,4.64,4.79,4.79,138600
2010-04-20,4.86,5.04,4.81,4.96,4.96,63800
2010-04-21,4.96,5.22,4.96,5.08,5.08,171500
2010-04-22,5.09,5.49,4.99,5.46,5.46,234200
2010-04-23,5.42,5.5,5.0,5.13,5.13,153000
2010-04-26,5.16,5.21,5.0,5.09,5.09,154700
2010-04-27,4.97,5.08,4.9,4.99,4.99,83400
2010-04-28,5.05,5.05,4.85,4.99,4.99,70800
2010-04-29,4.98,5.06,4.87,4.95,4.95,85500
2010-04-30,4.95,5.09,4.85,4.88,4.88,56600
2010-05-03,4.86,5.0,4.62,4.93,4.93,497700
2010-05-04,4.92,4.99,4.77,4.88,4.88,313600
2010-05-05,4.8,4.89,4.7,4.78,4.78,146100
2010-05-06,4.75,4.82,4.35,4.75,4.75,215400
2010-05-07,4.74,4.81,4.55,4.6,4.6,206200
2010-05-10,4.67,4.95,4.51,4.85,4.85,280500
2010-05-11,4.95,4.95,4.72,4.75,4.75,43500
2010-05-12,4.73,4.89,4.73,4.85,4.85,34500
2010-05-13,4.85,4.94,4.77,4.81,4.81,24000
2010-05-14,4.78,4.87,4.74,4.78,4.78,33500
2010-05-17,4.73,4.9,4.69,4.71,4.71,32700
2010-05-18,4.69,4.85,4.68,4.76,4.76,48800
2010-05-19,4.75,4.77,4.66,4.75,4.75,96500
2010-05-20,4.69,4.69,4.49,4.5,4.5,130100
2010-05-21,4.42,4.54,4.2,4.21,4.21,127800
2010-05-24,4.21,4.31,4.14,4.19,4.19,136700
2010-05-25,4.04,4.21,3.89,4.02,4.02,135900
2010-05-26,4.07,4.31,3.95,3.95,3.95,116100
2010-05-27,4.01,4.23,3.96,4.17,4.17,69800
2010-05-28,4.21,4.24,3.99,4.1,4.1,77900
2010-06-01,4.04,4.14,3.73,3.99,3.99,77300
2010-06-02,4.05,4.05,3.95,4.0,4.0,37600
2010-06-03,3.98,4.25,3.97,4.18,4.18,76500
2010-06-04,4.05,4.19,3.98,4.05,4.05,28700
2010-06-07,4.08,4.17,3.92,3.97,3.97,56400
2010-06-08,4.02,4.02,3.77,3.86,3.86,75600
2010-06-09,3.83,4.09,3.66,3.7,3.7,163400
2010-06-10,3.8,4.0,3.66,3.99,3.99,39700
2010-06-11,3.99,4.05,3.85,3.92,3.92,37200
2010-06-14,3.92,3.96,3.71,3.89,3.89,44700
2010-06-15,3.87,3.9,3.74,3.87,3.87,61100
2010-06-16,3.81,3.89,3.75,3.8,3.8,34400
2010-06-17,3.86,3.87,3.67,3.87,3.87,51800
2010-06-18,3.93,3.94,3.73,3.89,3.89,36500
2010-06-21,3.89,3.93,3.81,3.88,3.88,51200
2010-06-22,3.87,3.92,3.77,3.82,3.82,154900
2010-06-23,3.84,3.85,3.65,3.8,3.8,624300
2010-06-24,3.74,3.76,3.69,3.7,3.7,192400
2010-06-25,3.74,3.75,3.34,3.39,3.39,2710400
2010-06-28,3.46,3.46,3.17,3.18,3.18,228600
2010-06-29,3.13,3.16,2.91,2.93,2.93,217600
2010-06-30,2.9,2.9,2.61,2.67,2.67,504500
2010-07-01,2.69,2.85,2.53,2.79,2.79,319900
2010-07-02,2.8,2.82,2.71,2.8,2.8,190700
2010-07-06,2.81,2.89,2.65,2.7,2.7,146200
2010-07-07,2.7,2.82,2.7,2.77,2.77,97900
2010-07-08,2.79,2.88,2.7,2.75,2.75,94400
2010-07-09,2.75,2.81,2.71,2.75,2.75,54100
2010-07-12,2.75,2.79,2.58,2.62,2.62,45800
2010-07-13,2.65,2.89,2.65,2.75,2.75,136800
2010-07-14,2.77,2.82,2.7,2.78,2.78,87000
2010-07-15,2.8,2.87,2.6,2.67,2.67,83700
2010-07-16,2.65,2.69,2.48,2.5,2.5,181900
2010-07-19,2.5,2.58,2.47,2.54,2.54,139700
2010-07-20,2.51,2.59,2.47,2.58,2.58,50600
2010-07-21,2.6,2.63,2.49,2.49,2.49,58600
2010-07-22,2.52,2.75,2.44,2.7,2.7,136800
2010-07-23,2.68,2.83,2.67,2.83,2.83,30500
2010-07-26,2.83,2.94,2.76,2.88,2.88,60600
2010-07-27,2.9,3.1,2.83,3.1,3.1,97200
2010-07-28,3.09,3.22,2.97,3.15,3.15,66400
2010-07-29,3.18,3.19,2.75,2.89,2.89,68300
2010-07-30,2.85,3.07,2.8,3.03,3.03,56600
2010-08-02,3.07,3.14,3.02,3.12,3.12,30200
2010-08-03,3.11,3.11,2.86,3.03,3.03,38400
2010-08-04,3.04,3.18,2.99,3.16,3.16,40500
2010-08-05,3.15,3.16,2.86,2.98,2.98,112900
2010-08-06,2.94,2.97,2.8,2.88,2.88,31800
2010-08-09,2.9,2.95,2.85,2.93,2.93,31000
2010-08-10,2.92,2.92,2.75,2.78,2.78,49100
2010-08-11,2.73,2.73,2.52,2.54,2.54,78200
2010-08-12,2.52,2.54,2.41,2.42,2.42,52500
2010-08-13,2.41,2.5,2.4,2.41,2.41,48000
2010-08-16,2.39,2.41,2.3,2.35,2.35,40800
2010-08-17,2.38,2.49,2.34,2.43,2.43,45200
2010-08-18,2.42,2.43,2.33,2.34,2.34,21600
2010-08-19,2.33,2.39,2.11,2.11,2.11,66600
2010-08-20,2.11,2.21,2.11,2.2,2.2,50600
2010-08-23,2.22,2.24,2.15,2.19,2.19,84400
2010-08-24,2.21,2.22,2.09,2.15,2.15,57100
2010-08-25,2.16,2.2,2.08,2.14,2.14,27000
2010-08-26,2.14,2.21,2.12,2.14,2.14,22600
2010-08-27,2.16,2.35,2.12,2.31,2.31,50900
2010-08-30,2.3,2.35,2.03,2.05,2.05,48000
2010-08-31,2.06,2.15,2.05,2.11,2.11,57900
2010-09-01,2.15,2.31,2.07,2.28,2.28,91500
2010-09-02,2.28,2.64,2.28,2.49,2.49,86700
2010-09-03,2.5,2.55,2.28,2.55,2.55,63500
2010-09-07,2.57,2.58,2.3,2.32,2.32,61900
2010-09-08,2.34,2.57,2.29,2.3,2.3,19900
2010-09-09,2.33,2.4,2.24,2.24,2.24,32000
2010-09-10,2.27,2.27,2.22,2.25,2.25,38200
2010-09-13,2.27,2.4,2.26,2.32,2.32,86700
2010-09-14,2.32,2.41,2.28,2.38,2.38,44600
2010-09-15,2.38,2.43,2.34,2.42,2.42,26100
2010-09-16,2.41,2.45,2.32,2.36,2.36,126300
2010-09-17,2.38,2.42,2.31,2.35,2.35,194400
2010-09-20,2.35,2.58,2.33,2.58,2.58,62400
2010-09-21,2.59,2.6,2.51,2.58,2.58,33100
2010-09-22,2.56,2.56,2.39,2.42,2.42,26900
2010-09-23,2.4,2.45,2.35,2.4,2.4,44900
2010-09-24,2.43,2.56,2.38,2.56,2.56,136000
2010-09-27,2.56,2.68,2.5,2.68,2.68,24300
2010-09-28,2.69,2.73,2.6,2.7,2.7,23500
2010-09-29,2.7,2.81,2.67,2.81,2.81,38800
2010-09-30,2.82,2.84,2.77,2.81,2.81,25800
2010-10-01,2.85,2.85,2.75,2.75,2.75,31700
2010-10-04,2.77,2.85,2.63,2.65,2.65,31300
2010-10-05,2.69,2.85,2.67,2.83,2.83,29300
2010-10-06,2.83,2.84,2.7,2.83,2.83,32200
2010-10-07,2.84,2.98,2.79,2.96,2.96,51800
2010-10-08,2.95,3.07,2.87,3.02,3.02,52700
2010-10-11,3.03,3.08,2.94,3.06,3.06,15100
2010-10-12,3.04,3.08,2.98,3.06,3.06,16200
2010-10-13,3.09,3.27,3.02,3.21,3.21,28900
2010-10-14,3.22,3.22,3.11,3.21,3.21,24100
2010-10-15,3.26,3.4,3.14,3.38,3.38,68400
2010-10-18,3.4,3.65,3.35,3.65,3.65,74800
2010-10-19,3.59,3.67,3.26,3.47,3.47,83300
2010-10-20,3.47,3.47,3.37,3.43,3.43,42400
2010-10-21,3.52,3.55,3.21,3.34,3.34,143500
2010-10-22,3.34,3.34,3.12,3.26,3.26,37300
2010-10-25,3.3,3.36,3.17,3.32,3.32,36200
2010-10-26,3.29,3.36,3.24,3.27,3.27,21800
2010-10-27,3.23,3.26,3.12,3.12,3.12,43300
2010-10-28,3.1,3.16,2.97,3.02,3.02,55400
2010-10-29,3.02,3.07,3.02,3.06,3.06,26600
2010-11-01,3.08,3.45,3.03,3.14,3.14,109400
2010-11-02,3.2,3.48,3.15,3.47,3.47,106800
2010-11-03,3.47,3.54,3.24,3.49,3.49,92200
2010-11-04,3.57,3.85,3.46,3.85,3.85,100800
2010-11-05,3.84,3.93,3.71,3.91,3.91,68100
2010-11-08,3.9,3.9,3.6,3.71,3.71,64000
2010-11-09,3.71,3.71,3.48,3.53,3.53,103500
2010-11-10,3.55,3.7,3.48,3.64,3.64,46200
2010-11-11,3.6,3.65,3.5,3.63,3.63,30300
2010-11-12,3.61,3.71,3.58,3.59,3.59,71200
2010-11-15,3.63,3.63,3.46,3.56,3.56,133700
2010-11-16,3.51,3.52,3.41,3.49,3.49,42200
2010-11-17,3.48,3.54,3.39,3.45,3.45,24000
2010-11-18,3.49,3.56,3.43,3.47,3.47,94500
2010-11-19,3.48,3.48,3.4,3.47,3.47,91500
2010-11-22,3.43,3.61,3.3,3.55,3.55,85700
2010-11-23,3.49,3.49,3.38,3.44,3.44,174000
2010-11-24,3.47,3.64,3.43,3.62,3.62,32500
2010-11-26,3.61,3.68,3.54,3.64,3.64,20700
2010-11-29,3.6,3.72,3.55,3.66,3.66,88300
2010-11-30,3.62,3.68,3.53,3.55,3.55,73400
2010-12-01,3.64,3.64,3.51,3.55,3.55,95300
2010-12-02,3.5,3.58,3.46,3.57,3.57,20000
2010-12-03,3.55,3.55,3.47,3.5,3.5,21300
2010-12-06,3.48,3.61,3.38,3.6,3.6,24000
2010-12-07,3.66,3.76,3.61,3.76,3.76,40300
2010-12-08,3.75,3.89,3.74,3.84,3.84,30700
2010-12-09,3.87,3.89,3.82,3.85,3.85,57300
2010-12-10,3.87,3.89,3.77,3.8,3.8,27900
2010-12-13,3.8,3.87,3.32,3.45,3.45,180800
2010-12-14,3.45,3.59,3.4,3.58,3.58,58400
2010-12-15,3.58,3.8,3.51,3.7,3.7,76400
2010-12-16,3.68,3.8,3.65,3.78,3.78,92300
2010-12-17,3.8,4.1,3.78,4.07,4.07,139400
2010-12-20,4.11,4.11,3.9,4.03,4.03,76400
2010-12-21,4.05,4.3,3.94,4.26,4.26,62500
2010-12-22,4.26,4.53,4.15,4.5,4.5,80200
2010-12-23,4.49,4.57,4.41,4.54,4.54,79500
2010-12-27,4.53,4.6,4.47,4.56,4.56,22200
2010-12-28,4.58,4.6,4.44,4.55,4.55,40700
2010-12-29,4.55,4.55,4.4,4.42,4.42,27200
2010-12-30,4.42,4.53,4.36,4.36,4.36,39600
2010-12-31,4.36,4.41,4.23,4.31,4.31,43500
2011-01-03,4.35,4.57,4.33,4.55,4.55,35700
2011-01-04,4.57,4.7,4.53,4.56,4.56,51800
2011-01-05,4.55,4.55,4.4,4.52,4.52,36800
2011-01-06,4.5,4.5,4.22,4.42,4.42,86600
2011-01-07,4.42,4.42,4.16,4.26,4.26,55400
2011-01-10,4.22,4.27,4.13,4.19,4.19,52900
2011-01-11,4.2,4.25,4.1,4.19,4.19,28700
2011-01-12,4.23,4.23,4.07,4.14,4.14,47300
2011-01-13,4.12,4.19,4.08,4.13,4.13,22500
2011-01-14,4.15,4.25,4.07,4.18,4.18,27400
2011-01-18,4.16,4.19,4.04,4.08,4.08,21300
2011-01-19,4.09,4.13,3.87,3.92,3.92,84000
2011-01-20,3.88,4.04,3.75,3.83,3.83,35200
2011-01-21,3.86,3.93,3.63,3.74,3.74,102400
2011-01-24,3.75,3.86,3.71,3.78,3.78,30700
2011-01-25,3.75,3.87,3.68,3.87,3.87,77100
2011-01-26,3.87,4.07,3.83,4.01,4.01,326800
2011-01-27,4.02,4.07,4.0,4.01,4.01,30700
2011-01-28,4.01,4.01,3.8,3.8,3.8,44000
2011-01-31,3.81,3.83,3.69,3.82,3.82,47100
2011-02-01,3.84,5.0,3.83,4.51,4.51,280600
2011-02-02,4.47,4.58,4.28,4.32,4.32,51800
2011-02-03,4.3,4.55,4.3,4.51,4.51,71400
2011-02-04,4.49,4.51,4.27,4.3,4.3,40200
2011-02-07,4.29,4.35,4.2,4.2,4.2,25700
2011-02-08,4.18,4.2,4.01,4.12,4.12,28500
2011-02-09,4.09,4.17,4.05,4.11,4.11,26800
2011-02-10,4.06,4.26,3.99,4.14,4.14,60700
2011-02-11,4.13,4.34,4.13,4.34,4.34,48200
2011-02-14,4.32,4.33,4.25,4.33,4.33,14400
2011-02-15,4.3,4.36,4.28,4.32,4.32,42500
2011-02-16,4.33,4.37,4.29,4.31,4.31,15000
2011-02-17,4.29,5.78,4.29,4.78,4.78,2571600
2011-02-18,4.81,5.18,4.71,5.05,5.05,597300
2011-02-22,5.0,5.28,4.86,4.95,4.95,345200
2011-02-23,4.99,5.15,4.77,4.78,4.78,100000
2011-02-24,4.82,4.89,4.79,4.87,4.87,75700
2011-02-25,4.87,5.07,4.87,4.92,4.92,47600
2011-02-28,4.89,5.0,4.75,4.88,4.88,126000
2011-03-01,4.9,5.2,4.8,5.05,5.05,192000
2011-03-02,5.0,5.13,4.8,5.03,5.03,71100
2011-03-03,5.11,5.11,5.0,5.02,5.02,49200
2011-03-04,4.99,5.02,4.92,4.99,4.99,45200
2011-03-07,4.98,5.04,4.9,4.99,4.99,175900
2011-03-08,4.97,5.4,4.85,5.06,5.06,223200
2011-03-09,5.06,5.13,5.06,5.1,5.1,66800
2011-03-10,4.99,4.99,4.65,4.7,4.7,885600
2011-03-11,4.62,4.77,4.5,4.64,4.64,494100
2011-03-14,4.56,4.69,4.28,4.3,4.3,552100
2011-03-15,4.21,4.22,3.99,4.1,4.1,357900
2011-03-16,4.08,4.16,3.97,4.0,4.0,313600
2011-03-17,4.08,4.2,4.02,4.07,4.07,371300
2011-03-18,4.14,4.27,4.12,4.25,4.25,329400
2011-03-21,4.33,4.37,4.3,4.37,4.37,148500
2011-03-22,4.38,4.42,4.26,4.28,4.28,177000
