Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,36.75,37.75,36.700001,37.0,37.0,9100
2010-01-05,37.099998,37.5,36.0,36.25,36.25,16800
2010-01-06,36.25,36.450001,34.799999,34.950001,34.950001,30000
2010-01-07,34.900002,35.849998,34.900002,35.400002,35.400002,8200
2010-01-08,35.5,35.849998,35.200001,35.75,35.75,23300
2010-01-11,36.5,36.5,35.400002,35.700001,35.700001,29700
2010-01-12,35.650002,35.900002,35.299999,35.900002,35.900002,11300
2010-01-13,35.849998,36.200001,35.349998,35.650002,35.650002,7600
2010-01-14,35.599998,36.049999,35.5,35.650002,35.650002,3000
2010-01-15,35.5,35.650002,35.349998,35.450001,35.450001,21000
2010-01-19,35.450001,35.549999,34.299999,34.349998,34.349998,26300
2010-01-20,34.450001,35.200001,34.0,34.150002,34.150002,9700
2010-01-21,34.099998,34.299999,33.200001,33.400002,33.400002,19200
2010-01-22,33.25,33.75,33.200001,33.200001,33.200001,7900
2010-01-25,33.200001,33.75,32.25,32.5,32.5,23200
2010-01-26,32.25,32.400002,30.9,31.15,31.15,23000
2010-01-27,31.0,31.85,31.0,31.15,31.15,17700
2010-01-28,31.0,31.35,30.1,30.1,30.1,27400
2010-01-29,30.25,30.85,29.5,30.450001,30.450001,20400
2010-02-01,30.049999,30.450001,30.049999,30.25,30.25,12500
2010-02-02,30.9,31.85,30.049999,30.25,30.25,21400
2010-02-03,30.15,30.25,29.75,30.200001,30.200001,18100
2010-02-04,29.6,29.6,26.799999,28.0,28.0,50500
2010-02-05,28.200001,28.5,26.299999,27.25,27.25,21300
2010-02-08,27.0,27.15,25.5,25.700001,25.700001,11600
2010-02-09,25.9,27.200001,25.9,26.549999,26.549999,16200
2010-02-10,26.6,26.75,25.6,25.950001,25.950001,800
2010-02-11,25.450001,26.200001,24.049999,25.35,25.35,27000
2010-02-12,24.75,25.700001,24.299999,24.950001,24.950001,13800
2010-02-16,25.5,26.950001,25.5,25.75,25.75,20900
2010-02-17,26.299999,26.700001,25.450001,25.450001,25.450001,1800
2010-02-18,25.85,26.0,24.950001,25.35,25.35,6000
2010-02-19,25.200001,25.450001,24.700001,24.700001,24.700001,10300
2010-02-22,24.65,25.700001,23.85,25.049999,25.049999,7100
2010-02-23,24.85,25.1,24.700001,25.1,25.1,5600
2010-02-24,25.1,25.299999,24.9,25.0,25.0,4600
2010-02-25,24.700001,25.0,23.75,25.0,25.0,7700
2010-02-26,25.0,25.0,23.9,24.25,24.25,15500
2010-03-01,24.25,24.25,23.6,23.75,23.75,15300
2010-03-02,23.700001,25.0,23.5,24.0,24.0,10000
