Date,Open,High,Low,Close,Adj Close,Volume
2013-09-26,12.6,13.74,12.3,12.31,12.31,5329400
2013-09-27,12.35,12.72,12.35,12.63,12.63,433300
2013-09-30,12.45,12.96,12.4,12.83,12.83,234600
2013-10-01,12.82,13.0,12.61,12.69,12.69,233100
2013-10-02,12.78,12.97,12.5,12.96,12.96,87700
2013-10-03,13.0,13.48,12.71,13.47,13.47,232200
2013-10-04,13.5,13.8,13.22,13.79,13.79,132700
2013-10-07,14.0,14.0,13.38,13.62,13.62,80100
2013-10-08,14.0,14.0,12.5,12.62,12.62,235400
2013-10-09,12.8,12.82,12.2,12.51,12.51,282000
2013-10-10,12.53,12.72,12.4,12.69,12.69,112300
2013-10-11,12.71,12.74,12.22,12.52,12.52,166900
2013-10-14,12.26,12.35,12.2,12.21,12.21,50100
2013-10-15,12.2,12.24,11.98,12.05,12.05,68800
2013-10-16,12.02,12.65,12.0,12.09,12.09,100200
2013-10-17,12.0,13.49,12.0,13.05,13.05,68000
2013-10-18,13.04,13.8,13.0,13.46,13.46,133900
2013-10-21,13.5,13.83,12.25,12.67,12.67,54600
2013-10-22,12.83,13.23,12.67,13.1,13.1,34500
2013-10-23,13.12,14.05,13.1,13.75,13.75,70700
2013-10-24,14.31,14.31,13.24,14.11,14.11,23100
2013-10-25,14.27,14.8,13.29,14.46,14.46,197200
2013-10-28,14.41,14.44,13.7,13.96,13.96,35500
2013-10-29,13.75,13.75,13.27,13.4,13.4,33900
2013-10-30,13.52,13.85,12.52,12.71,12.71,19300
2013-10-31,12.61,13.0,12.27,12.27,12.27,58200
2013-11-01,12.25,13.38,11.95,12.0,12.0,14400
2013-11-04,12.02,12.21,11.9,12.02,12.02,104800
2013-11-05,12.0,12.51,12.0,12.0,12.0,31300
2013-11-06,12.05,12.55,12.04,12.37,12.37,5600
2013-11-07,12.38,12.51,12.1,12.15,12.15,20300
2013-11-08,12.17,12.26,12.05,12.08,12.08,31400
2013-11-11,12.06,12.54,12.0,12.54,12.54,67200
2013-11-12,12.52,12.52,12.06,12.16,12.16,3100
2013-11-13,12.25,12.53,12.25,12.3,12.3,3500
2013-11-14,12.3,12.31,12.25,12.28,12.28,6100
2013-11-15,12.29,12.38,12.2,12.29,12.29,13300
2013-11-18,12.27,12.5,12.03,12.04,12.04,40900
2013-11-19,12.15,13.37,12.15,13.37,13.37,8400
2013-11-20,13.28,13.28,12.36,12.82,12.82,37000
2013-11-21,12.8,13.15,12.34,12.6,12.6,19500
2013-11-22,12.7,12.85,12.37,12.55,12.55,112400
2013-11-25,12.53,13.09,12.32,13.09,13.09,29800
2013-11-26,12.95,13.0,12.48,12.74,12.74,9900
2013-11-27,12.72,12.89,12.48,12.51,12.51,103100
2013-11-29,12.59,12.99,12.49,12.69,12.69,2800
2013-12-02,12.7,12.82,12.26,12.28,12.28,23900
2013-12-03,12.3,12.99,12.15,12.5,12.5,46300
2013-12-04,12.47,12.86,12.34,12.53,12.53,82900
2013-12-05,12.64,13.0,12.58,12.84,12.84,19000
2013-12-06,12.86,13.8,12.86,13.15,13.15,90800
2013-12-09,13.28,13.62,13.1,13.55,13.55,53800
2013-12-10,13.54,13.58,12.4,12.94,12.94,131000
2013-12-11,12.84,13.0,12.35,12.43,12.43,115400
2013-12-12,12.43,13.49,12.25,12.37,12.37,113300
2013-12-13,12.28,12.63,12.25,12.45,12.45,66100
2013-12-16,12.4,12.49,11.92,12.34,12.34,192200
2013-12-17,12.36,12.47,11.95,12.39,12.39,122300
2013-12-18,12.33,13.18,12.33,12.62,12.62,110600
2013-12-19,12.32,12.86,12.2,12.67,12.67,77000
2013-12-20,12.73,13.08,12.1,13.0,13.0,1272700
2013-12-23,13.0,13.47,12.61,12.75,12.75,71600
2013-12-24,12.75,13.0,12.35,12.51,12.51,53900
2013-12-26,12.51,12.75,12.49,12.65,12.65,86300
2013-12-27,12.66,12.83,12.38,12.47,12.47,105500
2013-12-30,12.5,12.97,12.43,12.64,12.64,90000
2013-12-31,12.6,12.65,12.44,12.55,12.55,38200
2014-01-02,12.54,12.7,12.38,12.58,12.58,99700
2014-01-03,12.58,12.67,12.38,12.63,12.63,103600
2014-01-06,12.6,12.74,12.37,12.53,12.53,90700
2014-01-07,12.54,12.72,12.27,12.58,12.58,78700
2014-01-08,12.53,13.07,12.35,13.05,13.05,124000
2014-01-09,13.13,13.25,12.83,13.22,13.22,70500
2014-01-10,13.29,13.37,12.71,12.98,12.98,87700
2014-01-13,12.85,12.87,12.4,12.47,12.47,287800
2014-01-14,12.4,12.63,12.26,12.44,12.44,345200
2014-01-15,12.4,12.52,12.4,12.47,12.47,337300
2014-01-16,12.45,12.61,12.4,12.5,12.5,156600
2014-01-17,12.46,12.56,12.45,12.51,12.51,134300
2014-01-21,12.49,12.57,12.45,12.55,12.55,192700
2014-01-22,12.51,12.57,12.48,12.54,12.54,22000
2014-01-23,12.53,12.98,12.47,12.84,12.84,116000
2014-01-24,12.7,12.7,10.08,10.19,10.19,861400
