Date,Open,High,Low,Close,Adj Close,Volume
2012-03-22,10.99,11.52,10.7,10.876645,11.11,4904100
2012-03-23,11.04,11.56,10.93,10.778747,11.01,821500
2012-03-26,11.11,11.25,11.0,10.925595,11.16,400300
2012-03-27,11.24,11.25,11.1,10.964756,11.2,132400
2012-03-28,11.25,12.33,11.2,11.708793,11.96,397400
2012-03-29,11.9,11.95,11.6,11.434673,11.68,86800
2012-03-30,11.93,12.0,11.61,11.375935,11.62,46000
2012-04-02,11.84,11.84,11.61,11.454253,11.7,93800
2012-04-03,11.95,11.95,11.64,11.454253,11.7,46500
2012-04-04,11.7,11.81,11.7,11.522784,11.77,71200
2012-04-05,11.6,12.39,11.6,12.061231,12.32,38900
2012-04-09,12.0,12.32,12.0,11.943751,12.2,193400
2012-04-10,12.31,12.75,12.2,11.953542,12.21,94400
2012-04-11,12.25,12.27,12.06,11.953542,12.21,47500
2012-04-12,12.01,12.47,12.01,12.041651,12.3,34400
2012-04-13,12.34,12.48,12.23,12.178711,12.44,21400
2012-04-16,12.6,12.6,12.31,12.110181,12.37,51100
2012-04-17,12.56,12.56,12.05,12.139551,12.4,52000
2012-04-18,12.35,12.41,12.27,12.090601,12.35,48900
2012-04-19,12.54,12.54,12.21,12.149341,12.41,186100
2012-04-20,12.4,12.46,12.05,12.10039,12.36,180500
2012-04-23,12.07,12.31,12.07,12.051441,12.31,30100
2012-04-24,12.32,12.4,12.18,12.041651,12.3,26600
2012-04-25,12.43,12.43,12.06,12.002491,12.26,41300
2012-04-26,12.11,12.39,12.11,12.110181,12.37,54300
2012-04-27,12.39,12.39,12.2,11.992702,12.25,71000
2012-04-30,12.31,12.49,12.3,12.119971,12.38,179600
2012-05-01,12.49,13.37,12.44,12.736739,13.01,312200
2012-05-02,13.1,13.3,12.78,12.971698,13.25,113000
2012-05-03,13.05,13.36,13.05,12.971698,13.25,23700
2012-05-04,13.09,13.34,12.25,12.53115,12.8,146200
