Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,10.56,10.72,10.51,8.410938999999999,10.58,2143200
2010-01-05,10.53,10.87,10.52,8.601733,10.82,3043200
2010-01-06,10.69,11.01,10.69,8.720983,10.97,3186600
2010-01-07,11.0,11.05,10.8,8.649433,10.88,2106600
2010-01-08,10.96,11.7,10.88,9.229772,11.61,6847900
2010-01-11,11.76,11.76,11.39,9.182076,11.55,2965000
2010-01-12,11.63,11.65,11.03,8.816379,11.09,3337000
2010-01-13,11.14,11.48,10.84,9.094625,11.44,3064300
2010-01-14,11.5,11.5,11.17,8.943579,11.25,2015600
2010-01-15,11.3,11.3,10.96,8.77663,11.04,2753600
2010-01-19,11.02,11.22,11.0,8.848180000000001,11.13,3228300
2010-01-20,11.09,11.11,10.91,8.784581,11.05,2444100
2010-01-21,11.42,11.59,11.16,9.102573,11.45,4914700
2010-01-22,11.42,11.44,10.57,8.506335,10.7,4886000
2010-01-25,10.8,11.0,10.7,8.617636,10.84,2222200
2010-01-26,10.91,11.03,10.74,8.633533,10.86,2661100
2010-01-27,10.74,11.07,10.62,8.792529,11.06,2966100
2010-01-28,11.26,11.39,10.47,8.546084,10.75,4951300
2010-01-29,10.86,10.96,9.96,7.989596000000001,10.05,6702500
2010-02-01,10.18,10.89,10.15,8.625583,10.85,5996300
2010-02-02,10.9,11.37,10.83,8.959478,11.27,4935100
2010-02-03,11.13,11.42,11.07,9.038976,11.37,3999800
2010-02-04,11.16,11.22,10.59,8.426839999999999,10.6,4261800
2010-02-05,10.58,10.96,10.45,8.617636,10.84,5032500
2010-02-08,10.99,10.99,10.68,8.506335,10.7,2213500
2010-02-09,10.94,10.97,10.67,8.657383,10.89,3048200
2010-02-10,10.92,11.0,10.73,8.577886,10.79,2170900
2010-02-11,10.85,11.32,10.7,8.983328,11.3,3693900
2010-02-12,11.24,11.7,11.08,9.166172999999999,11.53,4974300
2010-02-16,11.71,11.96,11.6,9.40467,11.83,3339100
2010-02-17,11.94,11.95,11.5,9.380819,11.8,2799600
2010-02-18,11.75,12.02,11.64,9.468266999999999,11.91,5451500
2010-02-19,11.78,12.46,11.78,9.778310000000001,12.3,8113900
2010-02-22,12.33,12.45,12.09,9.659063,12.15,3690800
2010-02-23,12.09,12.09,11.71,9.436467,11.87,3506500
2010-02-24,11.92,12.03,11.76,9.492117,11.94,3261000
2010-02-25,11.73,11.93,11.52,9.484167999999999,11.93,2610500
2010-02-26,11.78,11.91,11.65,9.40467,11.83,3918400
2010-03-01,11.84,12.18,11.8,9.508017,11.96,4997700
2010-03-02,12.01,12.3,11.98,9.627266,12.11,4145400
2010-03-03,12.12,12.39,11.86,9.523914999999999,11.98,2814900
2010-03-04,12.12,12.12,11.76,9.523914999999999,11.98,2177900
2010-03-05,12.04,12.2,11.92,9.635213,12.12,2952700
2010-03-08,12.1,12.17,11.85,9.643163000000001,12.13,2749600
2010-03-09,11.99,12.4,11.98,9.754461000000001,12.27,4495400
2010-03-10,12.25,12.46,12.23,9.833961,12.37,2958700
2010-03-11,12.36,12.38,12.17,9.833961,12.37,1935500
2010-03-12,12.46,12.53,12.32,9.88166,12.43,3318600
2010-03-15,12.38,12.4,12.23,9.818063,12.35,1865400
2010-03-16,12.35,12.47,12.2,9.778310000000001,12.3,3250200
2010-03-17,12.38,12.55,12.33,9.818063,12.35,3208800
2010-03-18,12.31,12.4,11.86,9.595467,12.07,6171900
2010-03-19,12.0,12.01,11.62,9.388769,11.81,6609000
2010-03-22,11.62,11.97,11.55,9.44442,11.88,2949900
2010-03-23,11.96,12.1,11.82,9.484167999999999,11.93,4262500
2010-03-24,11.93,11.93,11.56,9.364921,11.78,5629400
2010-03-25,11.87,11.97,11.58,9.364921,11.78,4632600
2010-03-26,11.84,11.93,11.42,9.118475,11.47,3854300
2010-03-29,11.49,11.69,11.49,9.174121000000001,11.54,2862100
2010-03-30,11.56,11.68,11.44,9.245675,11.63,1962600
2010-03-31,11.48,11.64,11.41,9.166172999999999,11.53,2744500
2010-04-01,11.63,11.77,11.39,9.118475,11.47,1726200
2010-04-05,11.57,11.8,11.49,9.380819,11.8,2066600
2010-04-06,11.7,11.8,11.58,9.380819,11.8,3059600
2010-04-07,11.76,12.0,11.65,9.476217,11.92,3223000
2010-04-08,11.88,11.88,11.53,9.205922,11.58,3172600
2010-04-09,11.66,11.72,11.52,9.190022,11.56,3096000
2010-04-12,11.75,12.05,11.68,9.547766000000001,12.01,4170900
2010-04-13,12.01,12.25,11.97,9.706764,12.21,3576900
2010-04-14,12.44,13.0,12.41,10.303,12.96,6764500
2010-04-15,12.85,13.1,12.82,10.3666,13.04,3345700
2010-04-16,12.88,12.88,12.58,10.112204,12.72,4540700
2010-04-19,12.57,12.81,12.45,10.096305000000001,12.7,3787700
2010-04-20,12.81,13.1,12.81,10.398399000000001,13.08,2672600
2010-04-21,13.2,13.49,12.83,10.422249,13.11,4491500
2010-04-22,12.8,13.33,12.41,10.485847999999999,13.19,7965300
2010-04-23,13.2,13.29,12.85,10.493799000000001,13.2,4977100
2010-04-26,13.14,13.89,13.14,10.827691,13.62,5475400
2010-04-27,13.58,13.75,13.31,10.589199,13.32,4735900
2010-04-28,13.43,13.56,13.25,10.732294,13.5,4155300
2010-04-29,13.56,13.72,13.43,10.795895,13.58,3196000
2010-04-30,13.55,13.64,12.87,10.239402,12.88,6252700
2010-05-03,13.21,13.29,12.82,10.39045,13.07,3223900
2010-05-04,12.91,12.91,12.37,9.921408,12.48,5045100
2010-05-05,12.32,12.68,12.12,9.738564,12.25,3912800
2010-05-06,12.12,12.49,11.01,9.484167999999999,11.93,4498900
2010-05-07,11.8,11.96,11.05,9.038976,11.37,7304400
2010-05-10,12.1,12.15,11.71,9.452369000000001,11.89,4084800
2010-05-11,11.67,11.95,11.6,9.245675,11.63,5953600
2010-05-12,11.71,12.28,11.67,9.667011,12.16,4712600
2010-05-13,12.16,12.29,11.6,9.34107,11.75,5776200
2010-05-14,11.6,11.73,11.34,9.317222000000001,11.72,5873800
2010-05-17,11.7,11.79,11.17,9.309271,11.71,5305200
2010-05-18,11.85,11.86,11.2,8.967428,11.28,4684300
2010-05-19,11.18,11.68,11.08,9.221822,11.6,5597000
2010-05-20,11.17,11.55,11.15,8.943579,11.25,5727700
2010-05-21,11.07,11.59,10.92,8.967428,11.28,4438800
2010-05-24,11.14,11.46,11.06,8.792529,11.06,2465100
2010-05-25,10.74,10.99,10.47,8.697133000000001,10.94,5583200
2010-05-26,11.11,11.43,11.05,8.800481,11.07,4880300
2010-05-27,11.39,11.72,11.33,9.309271,11.71,3091900
2010-05-28,11.65,11.76,11.32,9.054876,11.39,2538300
2010-06-01,11.26,11.51,11.11,8.83228,11.11,2131700
2010-06-02,11.3,11.43,11.12,9.086677,11.43,2376100
2010-06-03,11.49,11.62,11.38,9.197972,11.57,2153000
2010-06-04,11.25,11.57,11.05,8.808428999999999,11.08,3685100
2010-06-07,11.12,11.21,10.57,8.434789,10.61,3534300
2010-06-08,10.74,10.74,10.27,8.426839999999999,10.6,4330500
2010-06-09,10.65,10.81,10.3,8.23604,10.36,2829700
2010-06-10,10.56,10.65,10.39,8.418886,10.59,1890000
