Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,3.35,3.41,3.17,3.21,3.21,340300
2010-01-05,3.2,3.28,3.1,3.14,3.14,247400
2010-01-06,3.14,3.2,3.11,3.13,3.13,163700
2010-01-07,3.13,3.19,3.07,3.09,3.09,172300
2010-01-08,3.09,3.13,3.05,3.1,3.1,88300
2010-01-11,3.12,3.2,3.1,3.2,3.2,161400
2010-01-12,3.17,3.2,3.08,3.09,3.09,190800
2010-01-13,3.09,3.2,3.07,3.19,3.19,207900
2010-01-14,3.18,3.31,3.14,3.25,3.25,148500
2010-01-15,3.27,3.27,3.08,3.09,3.09,244900
2010-01-19,3.1,3.18,3.1,3.16,3.16,431600
2010-01-20,3.13,3.17,3.08,3.16,3.16,237500
2010-01-21,3.16,3.18,3.0,3.01,3.01,395600
2010-01-22,3.02,3.07,2.99,3.04,3.04,460400
2010-01-25,3.09,3.09,2.98,3.01,3.01,285100
2010-01-26,2.99,3.0,2.91,2.95,2.95,265000
2010-01-27,2.94,3.02,2.9,3.0,3.0,255600
2010-01-28,3.01,3.01,2.9,2.91,2.91,177500
2010-01-29,2.92,2.95,2.79,2.85,2.85,381400
2010-02-01,2.87,2.88,2.8,2.86,2.86,203400
2010-02-02,2.86,2.87,2.8,2.85,2.85,228200
2010-02-03,2.85,2.94,2.83,2.92,2.92,712200
2010-02-04,2.96,3.07,2.77,2.77,2.77,351000
2010-02-05,2.78,2.88,2.67,2.86,2.86,477900
2010-02-08,2.85,2.9,2.77,2.8,2.8,157000
2010-02-09,2.84,2.93,2.84,2.9,2.9,235300
2010-02-10,2.89,2.93,2.8,2.85,2.85,110900
2010-02-11,2.83,2.93,2.76,2.93,2.93,208700
2010-02-12,2.89,2.93,2.81,2.93,2.93,201700
2010-02-16,2.96,3.05,2.92,3.05,3.05,220900
2010-02-17,3.05,3.1,2.79,3.1,3.1,178000
2010-02-18,2.65,2.78,2.36,2.49,2.49,5313800
2010-02-19,2.46,2.5,2.32,2.37,2.37,4643500
2010-02-22,2.41,2.54,2.38,2.45,2.45,3751700
2010-02-23,2.5,2.5,2.38,2.43,2.43,1109100
2010-02-24,2.43,2.72,2.37,2.66,2.66,2623600
2010-02-25,2.61,2.78,2.58,2.76,2.76,1261600
2010-02-26,2.75,2.82,2.7,2.74,2.74,778900
2010-03-01,2.75,2.78,2.64,2.72,2.72,347400
2010-03-02,2.73,2.86,2.6,2.84,2.84,532900
2010-03-03,2.86,2.98,2.79,2.83,2.83,408200
2010-03-04,2.84,2.92,2.81,2.87,2.87,321500
2010-03-05,2.9,3.16,2.9,3.16,3.16,1196500
2010-03-08,3.17,3.2,3.06,3.13,3.13,516500
2010-03-09,3.1,3.23,2.97,3.21,3.21,738700
2010-03-10,3.2,3.24,3.15,3.2,3.2,503000
2010-03-11,3.2,3.27,3.15,3.27,3.27,285500
2010-03-12,3.27,3.29,3.17,3.28,3.28,376200
2010-03-15,3.28,3.42,3.2,3.42,3.42,397300
2010-03-16,3.41,3.53,3.31,3.37,3.37,554500
2010-03-17,3.37,3.41,3.3,3.31,3.31,266800
2010-03-18,3.32,3.32,3.24,3.27,3.27,203700
2010-03-19,3.29,3.29,3.04,3.13,3.13,929400
2010-03-22,3.15,3.27,3.07,3.25,3.25,286500
2010-03-23,3.26,3.45,3.17,3.41,3.41,412500
2010-03-24,3.4,3.49,3.35,3.44,3.44,469000
2010-03-25,3.47,3.5,3.41,3.45,3.45,378700
2010-03-26,3.45,3.52,3.38,3.49,3.49,367800
2010-03-29,3.52,3.63,3.43,3.63,3.63,499900
2010-03-30,3.63,3.63,3.51,3.58,3.58,598000
2010-03-31,3.57,3.62,3.46,3.55,3.55,750700
2010-04-01,3.54,3.54,3.35,3.41,3.41,954200
2010-04-05,3.44,3.47,3.36,3.42,3.42,285100
2010-04-06,3.42,3.56,3.42,3.56,3.56,382800
2010-04-07,3.53,3.57,3.45,3.46,3.46,300800
