Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,7.7,7.94,7.64,6.065225,7.72,5200
2010-01-05,7.74,7.96,7.74,6.253783,7.96,7900
2010-01-06,7.96,8.33,7.96,6.544473,8.33,10900
2010-01-07,8.3,8.41,7.75,6.190931,7.88,17400
2010-01-08,8.04,8.12,7.78,6.245926,7.95,2300
2010-01-11,7.82,7.99,7.72,6.12022,7.79,6800
2010-01-12,7.93,7.99,7.87,6.183072,7.87,8500
2010-01-13,7.86,7.86,7.8,6.128078,7.8,1400
2010-01-14,7.49,7.98,7.49,6.183072,7.87,7700
2010-01-15,7.79,8.43,7.79,6.623036999999999,8.43,42500
2010-01-19,8.44,8.44,8.25,6.481621,8.25,6800
2010-01-20,8.37,8.37,8.21,6.450193,8.21,700
2010-01-21,8.36,8.36,8.15,6.442338,8.2,8600
2010-01-22,8.15,8.15,7.91,6.285209,8.0,7400
2010-01-25,7.77,7.78,7.36,5.82953,7.42,11400
2010-01-26,7.32,7.4,7.32,5.774534,7.35,4300
2010-01-27,7.32,7.39,7.22,5.703828,7.26,600
2010-01-28,7.71,7.71,6.69,5.436704,6.92,4100
2010-01-29,6.8,6.8,6.78,5.334571,6.79,2900
2010-02-01,6.71,6.72,6.67,5.240293,6.67,5200
2010-02-02,6.74,7.04,6.71,5.342427,6.8,3500
2010-02-03,6.8,7.16,6.8,5.593833999999998,7.12,2400
2010-02-04,6.75,7.38,6.55,5.798104,7.38,5400
2010-02-05,7.3,7.3,7.3,5.735252,7.3,100
2010-02-08,7.07,7.38,6.76,5.633118,7.17,3800
2010-02-09,6.85,6.89,6.85,5.413136,6.89,500
2010-02-10,6.89,6.89,6.89,5.413136,6.89,0
2010-02-11,6.71,6.81,6.71,5.3502839999999985,6.81,500
2010-02-12,6.81,6.89,6.81,5.373854,6.84,4200
2010-02-16,6.73,6.78,6.37,5.3188580000000005,6.77,12600
2010-02-17,6.65,6.77,6.37,5.106732,6.5,12500
2010-02-18,6.48,6.49,6.14,5.091019,6.48,12300
2010-02-19,6.5,6.5,6.21,5.0831620000000015,6.47,3900
2010-02-22,6.51,6.74,6.51,5.295287999999998,6.74,1000
2010-02-23,6.76,6.87,6.55,5.365996,6.83,4000
2010-02-24,6.66,6.8,6.53,5.256005,6.69,2800
2010-02-25,6.71,6.71,6.7,5.263861,6.7,600
2010-02-26,6.61,6.65,6.54,5.22458,6.65,1300
2010-03-01,6.54,6.75,6.54,5.17744,6.59,6200
2010-03-02,6.53,6.8,6.53,5.342427,6.8,7500
2010-03-03,6.53,6.53,6.53,5.130301,6.53,300
2010-03-04,6.53,6.53,6.53,5.130301,6.53,0
2010-03-05,6.78,6.78,6.57,5.161727,6.57,200
2010-03-08,6.81,7.23,6.78,5.499556,7.0,14300
2010-03-09,6.87,6.87,6.6,5.38171,6.85,5100
2010-03-10,6.54,6.55,5.4,4.509636,5.74,194900
2010-03-11,5.74,5.99,5.74,4.588202,5.84,26400
2010-03-12,5.91,6.25,5.77,4.776758,6.08,49800
2010-03-15,6.15,6.33,6.0,4.871036,6.2,23500
2010-03-16,6.29,6.62,6.29,5.20101,6.62,10300
2010-03-17,6.64,6.85,6.63,5.334571,6.79,16800
2010-03-18,6.79,6.94,6.5,5.248149,6.68,62700
2010-03-19,6.8,7.0,6.66,5.499556,7.0,8700
2010-03-22,7.0,7.14,7.0,5.5781220000000005,7.1,19500
2010-03-23,7.19,7.19,6.99,5.5781220000000005,7.1,15100
2010-03-24,6.93,7.19,6.93,5.648831,7.19,7200
2010-03-25,7.19,7.19,6.76,5.373854,6.84,73500
2010-03-26,6.89,7.19,6.5,5.303145,6.75,126400
2010-03-29,7.08,7.13,6.75,5.564344,7.03,7500
2010-03-30,7.03,7.2,7.03,5.596004,7.07,5300
2010-03-31,6.77,6.98,6.35,5.374381,6.79,54800
2010-04-01,6.65,6.65,5.89,4.80449,6.07,96700
2010-04-05,6.08,6.31,6.08,4.915303,6.21,14800
2010-04-06,6.26,6.36,6.16,5.010283,6.33,23900
2010-04-07,6.27,6.41,6.21,4.986539,6.3,14600
2010-04-08,6.4,6.47,6.15,4.9469629999999984,6.25,13000
2010-04-09,6.07,6.66,5.97,4.986539,6.3,7200
2010-04-12,6.23,6.5,6.23,5.089437,6.43,10100
2010-04-13,6.36,6.64,6.32,5.121095,6.47,16700
2010-04-14,6.49,6.72,6.49,5.144843,6.5,7800
2010-04-15,6.5,6.6,6.5,5.144843,6.5,7000
2010-04-16,6.6,6.7,6.6,5.29523,6.69,14000
2010-04-19,6.71,6.72,6.5,5.255653,6.64,5600
2010-04-20,6.6,6.72,6.31,5.318974,6.72,22500
2010-04-21,6.42,6.75,6.42,5.3268900000000015,6.73,3300
2010-04-22,6.89,6.98,6.55,5.184418,6.55,8500
2010-04-23,6.52,6.85,6.52,5.3822980000000005,6.8,6400
2010-04-26,6.83,6.98,6.8,5.429787,6.86,28600
2010-04-27,6.95,6.95,6.83,5.4218730000000015,6.85,7100
2010-04-28,6.98,6.98,6.52,5.263569,6.65,11400
