Date,Open,High,Low,Close,Adj Close,Volume
2012-02-27,31.139999,31.139999,31.139999,26.792307,31.139999,300
2012-02-28,31.290001,31.290001,31.290001,26.92137,31.290001,200
2012-02-29,31.530001,31.6,31.530001,27.188084000000003,31.6,800
2012-03-01,31.620001,31.690001,31.549999,27.265518,31.690001,5200
2012-03-02,31.129999,31.370001,31.129999,26.990191,31.370001,600
2012-03-05,31.370001,31.370001,31.370001,26.990191,31.370001,0
2012-03-06,29.959999,29.959999,29.959999,25.777058,29.959999,2800
2012-03-07,29.969999,29.969999,29.969999,25.78566,29.969999,100
2012-03-08,31.01,31.01,31.01,26.68046,31.01,400
2012-03-09,31.01,31.01,31.01,26.68046,31.01,0
2012-03-12,31.01,31.01,31.01,26.68046,31.01,0
2012-03-13,31.01,31.01,31.01,26.68046,31.01,0
2012-03-14,31.01,31.01,31.01,26.68046,31.01,0
2012-03-15,31.49,31.549999,31.49,27.145063,31.549999,400
2012-03-16,32.0,32.0,32.0,27.532238,32.0,200
2012-03-19,32.0,32.0,32.0,27.532238,32.0,0
2012-03-20,31.950001,31.950001,31.950001,27.48922,31.950001,200
2012-03-21,31.459999,31.5,31.459999,27.221321000000003,31.5,400
2012-03-22,31.35,31.35,31.030001,26.815166,31.030001,1600
2012-03-23,31.309999,31.33,31.309999,27.074419,31.33,300
2012-03-26,31.33,31.33,31.33,27.074419,31.33,0
2012-03-27,31.33,31.389999,31.110001,26.8843,31.110001,7200
2012-03-28,31.24,31.24,31.24,26.996641,31.24,400
2012-03-29,30.9,30.9,30.17,26.07198,30.17,700
2012-03-30,30.84,30.84,30.84,26.650974,30.84,300
2012-04-02,30.84,30.84,30.84,26.650974,30.84,0
2012-04-03,31.549999,31.549999,31.549999,27.264532,31.549999,200
2012-04-04,31.549999,31.549999,31.549999,27.264532,31.549999,0
2012-04-05,30.450001,30.530001,30.389999,26.296663,30.43,59300
2012-04-09,30.360001,33.849998,30.280001,26.262094,30.389999,5700
2012-04-10,29.65,29.65,29.6,25.579405,29.6,500
2012-04-11,30.139999,30.139999,30.139999,26.046051,30.139999,300
