Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,5.85,6.09,5.81,5.77591,5.91,21000.0
2010-01-05,5.97,6.0,5.95,5.824775,5.96,5800.0
2010-01-06,5.9,6.0,5.9,5.854094,5.99,11700.0
2010-01-07,6.0,6.04,5.95,5.863868,6.0,22000.0
2010-01-08,6.0,6.35,5.99,5.90296,6.04,41600.0
2010-01-11,6.14,6.14,5.96,5.922835,5.96,16900.0
2010-01-12,5.92,6.02,5.92,5.952648,5.99,11500.0
2010-01-13,6.0,6.02,5.93,5.982461,6.02,5200.0
2010-01-14,6.0,6.04,5.99,5.982461,6.02,3500.0
2010-01-15,5.96,6.04,5.96,5.982461,6.02,5900.0
2010-01-19,6.03,6.08,6.0,5.962586,6.0,3600.0
2010-01-20,6.08,6.08,5.97,5.962586,6.0,6000.0
2010-01-21,5.96,6.06,5.96,6.002337000000001,6.04,5300.0
2010-01-22,5.96,6.13,5.96,6.091775,6.13,5300.0
2010-01-25,6.03,6.29,6.01,6.250776999999999,6.29,17300.0
2010-01-26,6.25,7.36,6.25,6.24084,6.28,56400.0
2010-01-27,6.3,6.87,6.18,6.24084,6.28,30900.0
2010-01-28,6.25,6.26,6.18,6.161339,6.2,11200.0
2010-01-29,6.2,6.2,5.9,5.86321,5.9,32800.0
2010-02-01,5.99,6.13,5.85,5.86321,5.9,34700.0
2010-02-02,5.85,5.9,5.7,5.6644559999999995,5.7,18400.0
2010-02-03,5.6,5.7,5.5,5.505455,5.54,18800.0
2010-02-04,5.54,5.65,5.53,5.575018,5.61,1800.0
2010-02-05,5.7,5.7,5.5,5.4657029999999995,5.5,6700.0
2010-02-08,5.65,5.75,5.5,5.704207,5.74,3600.0
2010-02-09,5.4,5.72,5.4,5.674395,5.71,1800.0
2010-02-10,5.73,5.73,5.51,5.475642,5.51,1900.0
2010-02-11,5.74,5.74,5.74,5.704207,5.74,600.0
2010-02-12,5.71,5.71,5.42,5.475642,5.51,3900.0
2010-02-16,5.54,5.93,5.54,5.674395,5.71,6400.0
2010-02-17,5.85,5.92,5.66,5.704207,5.74,8000.0
2010-02-18,5.74,5.74,5.74,5.704207,5.74,0.0
2010-02-19,5.78,5.78,5.62,5.6545190000000005,5.69,3700.0
2010-02-22,5.7,5.94,5.62,5.833396,5.87,13000.0
2010-02-23,5.89,5.9,5.7,5.86321,5.9,3500.0
2010-02-24,5.85,5.85,5.85,5.813521,5.85,1400.0
2010-02-25,5.9,5.9,5.8,5.86321,5.9,2100.0
2010-02-26,5.9,5.95,5.75,5.714144999999999,5.75,4100.0
2010-03-01,5.79,5.79,5.67,5.753895,5.79,800.0
2010-03-02,5.96,5.96,5.92,5.8830849999999995,5.92,300.0
2010-03-03,5.7,5.95,5.68,5.803584,5.84,900.0
2010-03-04,5.95,5.95,5.75,5.763833,5.8,3900.0
2010-03-05,5.8,5.85,5.8,5.763833,5.8,6400.0
2010-03-08,5.74,5.74,5.55,5.584955,5.62,23200.0
2010-03-09,5.6,5.67,5.57,5.634644000000001,5.67,6000.0
2010-03-10,5.7,5.7,5.65,5.614768,5.65,6400.0
2010-03-11,5.57,5.8,5.57,5.684332,5.72,7100.0
2010-03-12,5.76,5.88,5.75,5.813521,5.85,9200.0
2010-03-15,5.41,5.65,4.66,5.39614,5.43,51100.0
2010-03-16,4.73,5.64,4.72,5.068198000000001,5.1,28200.0
2010-03-17,5.1,5.65,5.1,5.56508,5.6,26200.0
2010-03-18,5.65,6.29,5.64,6.141463,6.18,42000.0
2010-03-19,6.23,6.32,5.8,6.280591,6.32,28500.0
2010-03-22,6.23,6.3,5.9,6.211027,6.25,5600.0
2010-03-23,6.0,6.24,5.91,6.201089,6.24,2200.0
2010-03-24,6.15,6.25,5.92,6.101713,6.14,3000.0
2010-03-25,5.94,6.15,5.92,5.8830849999999995,5.92,2000.0
2010-03-26,5.99,6.0,5.99,5.952648,5.99,1100.0
2010-03-29,5.9,5.92,5.8,5.86321,5.9,9000.0
2010-03-30,5.81,5.85,5.67,5.813521,5.85,7600.0
2010-03-31,5.85,6.06,5.85,5.962586,6.0,4500.0
2010-04-01,6.0,6.01,5.82,5.833396,5.87,19300.0
2010-04-05,5.66,6.0,5.66,5.962586,6.0,6200.0
2010-04-06,6.0,6.05,5.94,5.962586,6.0,10300.0
2010-04-07,5.98,6.2,5.98,6.121588,6.16,7000.0
2010-04-08,6.25,6.25,6.0,5.982461,6.02,11100.0
2010-04-09,6.13,6.15,6.06,6.11165,6.15,4100.0
2010-04-12,5.81,6.2,5.8,5.992205,6.02,4300.0
2010-04-13,5.95,6.19,5.95,6.091743,6.12,4400.0
2010-04-14,6.11,6.14,6.05,6.022067,6.05,2600.0
2010-04-15,6.01,6.01,5.8,5.982251,6.01,5300.0
2010-04-16,6.0,6.02,6.0,5.972297,6.0,2800.0
2010-04-19,6.07,6.07,5.71,5.783174,5.81,2500.0
2010-04-20,5.81,6.11,5.8,6.032019999999999,6.06,5700.0
2010-04-21,6.09,6.3,5.94,6.211188,6.24,5500.0
2010-04-22,6.27,6.5,6.27,6.29082,6.32,7700.0
2010-04-23,6.32,6.7,6.16,6.599388,6.63,10200.0
2010-04-26,6.63,7.12,6.48,6.519758,6.55,38300.0
2010-04-27,6.62,6.99,6.45,6.619296,6.65,3900.0
2010-04-28,6.6,6.96,6.29,6.2808660000000005,6.31,4700.0
