Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,3.18,3.33,3.03,3.33,3.33,27900.0
2010-01-05,3.37,3.39,3.16,3.25,3.25,19700.0
2010-01-06,3.24,3.39,3.1,3.18,3.18,30200.0
2010-01-07,3.17,3.35,3.16,3.35,3.35,12200.0
2010-01-08,3.37,3.38,3.17,3.31,3.31,9700.0
2010-01-11,3.24,3.35,3.23,3.23,3.23,10800.0
2010-01-12,3.27,3.27,3.07,3.1,3.1,9200.0
2010-01-13,3.1,3.27,3.1,3.25,3.25,1800.0
2010-01-14,3.3,3.38,3.15,3.15,3.15,3600.0
2010-01-15,3.2,3.41,3.2,3.25,3.25,14200.0
2010-01-19,3.29,3.47,3.25,3.25,3.25,7900.0
2010-01-20,3.26,3.38,3.2,3.2,3.2,6500.0
2010-01-21,3.28,3.36,2.95,3.02,3.02,28400.0
2010-01-22,2.95,3.07,2.8,2.87,2.87,55300.0
2010-01-25,2.83,3.09,2.83,3.02,3.02,11400.0
2010-01-26,2.99,2.99,2.86,2.93,2.93,16800.0
2010-01-27,2.89,3.02,2.89,3.0,3.0,15800.0
2010-01-28,2.91,3.14,2.91,3.0,3.0,43500.0
2010-01-29,2.75,2.79,2.31,2.4,2.4,236300.0
2010-02-01,2.33,2.4,2.25,2.28,2.28,54300.0
2010-02-02,2.26,2.4,2.26,2.35,2.35,23100.0
2010-02-03,2.4,2.46,2.35,2.39,2.39,7600.0
2010-02-04,2.31,2.4,2.26,2.33,2.33,12100.0
2010-02-05,2.25,2.28,2.15,2.15,2.15,67500.0
2010-02-08,2.16,2.34,2.16,2.21,2.21,28300.0
2010-02-09,2.15,2.21,2.13,2.21,2.21,13000.0
2010-02-10,2.2,2.2,2.15,2.18,2.18,14500.0
2010-02-11,2.19,2.33,2.19,2.33,2.33,10800.0
2010-02-12,2.24,2.37,2.2,2.26,2.26,6400.0
2010-02-16,2.28,2.35,2.28,2.3,2.3,11900.0
2010-02-17,2.4,2.43,2.35,2.43,2.43,12100.0
2010-02-18,2.42,2.42,2.29,2.33,2.33,9300.0
2010-02-19,2.35,2.35,2.26,2.3,2.3,7500.0
2010-02-22,2.22,2.37,2.22,2.25,2.25,6300.0
2010-02-23,2.3,2.3,2.3,2.3,2.3,9000.0
2010-02-24,2.35,2.36,2.26,2.3,2.3,4600.0
2010-02-25,2.3,2.3,2.29,2.3,2.3,1400.0
2010-02-26,2.31,2.31,2.29,2.29,2.29,1400.0
2010-03-01,2.31,2.33,2.29,2.33,2.33,5700.0
2010-03-02,2.31,2.31,2.27,2.27,2.27,5000.0
2010-03-03,2.3,2.3,2.26,2.28,2.28,6900.0
2010-03-04,2.29,2.33,2.23,2.33,2.33,7400.0
2010-03-05,2.32,2.36,2.23,2.28,2.28,25700.0
2010-03-08,2.23,2.35,2.13,2.17,2.17,41200.0
2010-03-09,2.17,2.21,2.17,2.21,2.21,3600.0
2010-03-10,2.14,2.35,2.14,2.17,2.17,11700.0
2010-03-11,2.17,2.23,2.16,2.2,2.2,9500.0
2010-03-12,2.18,2.19,2.18,2.18,2.18,5400.0
2010-03-15,2.19,2.21,2.15,2.21,2.21,9700.0
2010-03-16,2.16,2.27,2.16,2.27,2.27,8100.0
2010-03-17,2.27,2.32,2.27,2.3,2.3,3900.0
2010-03-18,2.2,2.29,2.18,2.29,2.29,14400.0
2010-03-19,2.3,2.3,2.21,2.3,2.3,23700.0
2010-03-22,2.3,2.3,2.19,2.3,2.3,8300.0
2010-03-23,2.26,2.28,2.24,2.24,2.24,3100.0
2010-03-24,2.29,2.3,2.26,2.3,2.3,33700.0
2010-03-25,2.3,2.3,2.24,2.28,2.28,11400.0
2010-03-26,2.28,2.28,2.18,2.23,2.23,12700.0
2010-03-29,2.22,2.22,2.22,2.22,2.22,3400.0
2010-03-30,2.22,2.55,2.22,2.3,2.3,105400.0
2010-03-31,2.25,2.3,2.23,2.3,2.3,7700.0
2010-04-01,2.34,2.34,2.25,2.25,2.25,900.0
2010-04-05,2.25,2.28,2.25,2.28,2.28,17000.0
2010-04-06,2.29,2.32,2.25,2.3,2.3,3200.0
2010-04-07,2.27,2.33,2.27,2.3,2.3,6600.0
2010-04-08,2.32,2.49,2.3,2.33,2.33,31200.0
2010-04-09,2.3,2.35,2.3,2.31,2.31,3700.0
2010-04-12,2.31,2.31,2.31,2.31,2.31,0.0
2010-04-13,2.35,2.35,2.32,2.32,2.32,6700.0
2010-04-14,2.32,2.35,2.32,2.32,2.32,13500.0
2010-04-15,2.34,2.35,2.32,2.35,2.35,4900.0
2010-04-16,2.33,2.33,2.32,2.32,2.32,8500.0
2010-04-19,2.32,2.33,2.32,2.33,2.33,15300.0
2010-04-20,2.35,2.43,2.35,2.4,2.4,13800.0
2010-04-21,2.43,2.43,2.37,2.37,2.37,3900.0
2010-04-22,2.4,2.44,2.35,2.36,2.36,13800.0
2010-04-23,2.36,2.45,2.35,2.42,2.42,1600.0
2010-04-26,2.47,2.48,2.41,2.42,2.42,9500.0
2010-04-27,2.41,2.44,2.4,2.4,2.4,8900.0
2010-04-28,2.4,2.52,2.4,2.44,2.44,18600.0
2010-04-29,2.5,2.54,2.5,2.52,2.52,15100.0
