Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,6.61,6.74,6.53,6.175858,6.58,200100
2010-01-05,6.59,6.63,6.46,6.119544,6.52,268100
2010-01-06,6.47,7.18,6.47,6.372961,6.79,965200
2010-01-07,6.86,7.06,6.79,6.494975,6.92,418800
2010-01-08,6.92,7.0,6.78,6.560675,6.99,211900
2010-01-11,7.02,7.1,6.8,6.429275,6.85,232400
2010-01-12,6.8,6.93,6.7,6.344802,6.76,194300
2010-01-13,6.81,6.92,6.73,6.429275,6.85,144200
2010-01-14,6.8,6.92,6.75,6.438661,6.86,141400
2010-01-15,6.89,6.89,6.66,6.307258999999999,6.72,192300
2010-01-19,6.76,6.89,6.7,6.4198889999999995,6.84,141900
2010-01-20,6.73,6.8,6.56,6.279102,6.69,145600
2010-01-21,6.74,6.74,6.39,6.025685,6.42,225300
2010-01-22,6.4,6.4,6.0,5.687797,6.06,341100
2010-01-25,6.12,6.28,6.02,5.753497,6.13,176000
2010-01-26,6.12,6.12,5.89,5.537623,5.9,216500
2010-01-27,5.84,6.32,5.72,5.875513,6.26,274800
2010-01-28,6.3,6.35,5.93,5.631481,6.0,184000
2010-01-29,6.05,6.22,5.91,5.547009,5.91,183600
2010-02-01,5.96,6.12,5.82,5.471923,5.83,236900
2010-02-02,5.83,5.95,5.74,5.453151,5.81,294000
2010-02-03,5.79,5.95,5.69,5.349906,5.7,136800
2010-02-04,5.66,5.8,5.5,5.162191,5.5,190400
2010-02-05,5.5,5.56,5.31,5.162191,5.5,180300
2010-02-08,5.48,5.54,5.25,4.955704,5.28,199700
2010-02-09,5.38,5.52,5.3,5.0120190000000004,5.34,231000
2010-02-10,5.33,5.5,5.21,5.068333,5.4,217400
2010-02-11,5.36,5.56,5.29,5.143419000000001,5.48,287200
2010-02-12,5.4,5.58,5.28,5.124649,5.46,111400
2010-02-16,5.51,5.78,5.51,5.415608,5.77,145900
2010-02-17,5.82,5.97,5.81,5.518852,5.88,247000
2010-02-18,5.86,6.02,5.8,5.631481,6.0,73800
2010-02-19,6.0,6.0,5.81,5.528237,5.89,119300
2010-02-22,5.94,6.05,5.79,5.500081,5.86,145800
2010-02-23,5.65,5.65,4.36,4.176682,4.45,4531300
2010-02-24,4.5,4.71,4.26,4.02651,4.29,2353700
