Date,Open,High,Low,Close,Adj Close,Volume
2012-02-03,0.54,0.57,0.51,0.51,0.51,6600
2012-02-06,0.51,0.51,0.51,0.51,0.51,0
2012-02-07,0.54,0.54,0.54,0.54,0.54,1700
2012-02-08,0.63,0.63,0.54,0.54,0.54,21100
2012-02-09,0.57,0.72,0.54,0.54,0.54,25900
2012-02-10,0.63,0.75,0.6,0.6,0.6,17900
2012-02-13,0.72,0.72,0.72,0.72,0.72,1700
2012-02-14,0.72,0.72,0.72,0.72,0.72,2700
2012-02-15,0.72,0.75,0.72,0.75,0.75,10000
2012-02-16,0.69,0.69,0.6,0.6,0.6,6300
2012-02-17,0.66,0.66,0.6,0.6,0.6,10100
2012-02-21,0.615,0.615,0.615,0.615,0.615,1700
2012-02-22,0.63,0.69,0.6,0.63,0.63,15100
2012-02-23,0.6,0.6,0.516,0.516,0.516,51900
2012-02-24,0.57,0.57,0.54,0.54,0.54,3600
2012-02-27,0.57,0.57,0.57,0.57,0.57,1700
2012-02-28,0.54,0.54,0.54,0.54,0.54,2600
2012-02-29,0.54,0.54,0.54,0.54,0.54,900
2012-03-01,0.51,0.54,0.51,0.54,0.54,9000
2012-03-02,0.54,0.57,0.54,0.57,0.57,3100
2012-03-05,0.57,0.57,0.48,0.48,0.48,9400
2012-03-06,0.57,0.57,0.45,0.45,0.45,5600
2012-03-07,0.66,0.66,0.66,0.66,0.66,800
2012-03-08,0.66,0.66,0.66,0.66,0.66,200
2012-03-09,0.66,0.66,0.51,0.57,0.57,7800
2012-03-12,0.51,0.51,0.51,0.51,0.51,2000
2012-03-13,0.51,0.6,0.51,0.6,0.6,17500
2012-03-14,0.66,0.66,0.66,0.66,0.66,1700
2012-03-15,0.54,0.54,0.54,0.54,0.54,3300
2012-03-16,0.66,0.72,0.6,0.69,0.69,40200
2012-03-19,0.69,0.75,0.69,0.75,0.75,8700
2012-03-20,0.75,0.87,0.75,0.78,0.78,24400
2012-03-21,0.78,0.78,0.78,0.78,0.78,7000
2012-03-22,0.78,0.84,0.69,0.78,0.78,26300
2012-03-23,0.81,0.87,0.78,0.87,0.87,27000
2012-03-26,0.84,0.855,0.705,0.78,0.78,48000
2012-03-27,0.81,0.81,0.72,0.72,0.72,13400
2012-03-28,0.72,0.72,0.708,0.72,0.72,5200
2012-03-29,0.72,0.72,0.72,0.72,0.72,100
2012-03-30,0.72,0.72,0.72,0.72,0.72,1800
2012-04-02,0.72,0.72,0.72,0.72,0.72,0
2012-04-03,0.72,0.765,0.72,0.765,0.765,9000
2012-04-04,0.75,0.75,0.72,0.72,0.72,6700
2012-04-05,0.72,0.75,0.72,0.75,0.75,1200
2012-04-09,0.708,0.708,0.708,0.708,0.708,1700
2012-04-10,0.708,0.708,0.705,0.705,0.705,3300
2012-04-11,0.69,0.69,0.66,0.66,0.66,20700
2012-04-12,0.66,0.66,0.66,0.66,0.66,0
2012-04-13,0.675,0.675,0.675,0.675,0.675,5000
2012-04-16,0.675,0.675,0.663,0.669,0.669,10000
2012-04-17,0.663,0.663,0.57,0.585,0.585,87700
2012-04-18,0.6,0.6,0.6,0.6,0.6,3800
2012-04-19,0.6,0.66,0.6,0.615,0.615,11700
2012-04-20,0.57,0.66,0.57,0.57,0.57,16000
2012-04-23,0.57,0.57,0.57,0.57,0.57,0
2012-04-24,0.54,0.54,0.51,0.51,0.51,6200
2012-04-25,0.51,0.51,0.51,0.51,0.51,0
2012-04-26,0.51,0.51,0.51,0.51,0.51,0
2012-04-27,0.51,0.51,0.51,0.51,0.51,0
2012-04-30,0.585,0.63,0.585,0.63,0.63,6300
2012-05-01,0.585,0.585,0.585,0.585,0.585,500
2012-05-02,0.585,0.585,0.54,0.54,0.54,2700
2012-05-03,0.54,0.54,0.54,0.54,0.54,0
2012-05-04,0.57,0.57,0.51,0.555,0.555,12700
2012-05-07,0.516,0.555,0.51,0.555,0.555,5000
2012-05-08,0.51,0.51,0.51,0.51,0.51,3300
2012-05-09,0.555,0.57,0.498,0.57,0.57,13500
2012-05-10,0.51,0.51,0.498,0.498,0.498,6000
2012-05-11,0.498,0.498,0.498,0.498,0.498,0
2012-05-14,0.498,0.498,0.495,0.495,0.495,2700
2012-05-15,0.495,0.495,0.495,0.495,0.495,0
2012-05-16,0.498,0.51,0.495,0.495,0.495,5700
2012-05-17,0.51,0.51,0.495,0.495,0.495,2200
2012-05-18,0.498,0.6,0.495,0.6,0.6,27700
2012-05-21,0.585,0.585,0.546,0.546,0.546,9300
2012-05-22,0.54,0.54,0.54,0.54,0.54,5600
2012-05-23,0.546,0.57,0.48,0.555,0.555,23400
2012-05-24,0.555,0.555,0.555,0.555,0.555,2500
2012-05-25,0.54,0.54,0.54,0.54,0.54,8300
2012-05-29,0.525,0.525,0.51,0.51,0.51,3400
2012-05-30,0.525,0.57,0.45,0.45,0.45,23900
2012-05-31,0.54,0.54,0.495,0.495,0.495,10300
2012-06-01,0.51,0.54,0.45,0.51,0.51,20200
2012-06-04,0.54,0.54,0.453,0.453,0.453,6700
2012-06-05,0.495,0.54,0.483,0.483,0.483,7300
2012-06-06,0.6,0.63,0.555,0.561,0.561,148700
2012-06-07,0.585,0.615,0.54,0.615,0.615,54500
2012-06-08,0.6,0.621,0.6,0.603,0.603,15600
2012-06-11,0.621,0.621,0.585,0.585,0.585,12300
2012-06-12,0.546,0.549,0.546,0.549,0.549,700
2012-06-13,0.591,0.597,0.57,0.57,0.57,17600
2012-06-14,0.57,0.57,0.57,0.57,0.57,6900
2012-06-15,0.585,0.6,0.51,0.546,0.546,10300
2012-06-18,0.57,0.57,0.555,0.555,0.555,6400
2012-06-19,0.57,0.606,0.555,0.555,0.555,33200
2012-06-20,0.555,0.555,0.555,0.555,0.555,0
2012-06-21,0.585,0.585,0.57,0.57,0.57,5300
2012-06-22,0.567,0.567,0.51,0.51,0.51,12000
