Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,1.89,2.03,1.82,1.82,1.82,7400
2010-01-05,1.89,2.17,1.89,2.17,2.17,10900
2010-01-06,2.17,3.15,2.17,2.786,2.786,56000
2010-01-07,2.8,2.94,2.73,2.8,2.8,42600
2010-01-08,2.87,3.15,2.8,3.15,3.15,35400
2010-01-11,3.15,3.29,2.87,3.08,3.08,36200
2010-01-12,3.29,3.29,2.94,3.045,3.045,20600
2010-01-13,3.15,3.15,2.975,3.08,3.08,12600
2010-01-14,3.15,3.15,2.94,2.94,2.94,31000
2010-01-15,2.94,2.94,2.66,2.73,2.73,14100
2010-01-19,2.835,2.905,1.82,1.96,1.96,98500
2010-01-20,2.1,2.66,2.1,2.135,2.135,24000
2010-01-21,2.31,2.59,2.17,2.52,2.52,27500
2010-01-22,2.52,2.52,2.17,2.31,2.31,21300
2010-01-25,2.38,2.576,2.24,2.52,2.52,7200
2010-01-26,2.24,2.576,2.24,2.38,2.38,8100
2010-01-27,2.24,2.38,2.17,2.31,2.31,6900
2010-01-28,2.31,2.31,2.205,2.205,2.205,15800
2010-01-29,2.31,2.52,2.17,2.45,2.45,9700
2010-02-01,2.45,2.52,2.45,2.52,2.52,4200
2010-02-02,2.52,2.52,2.45,2.52,2.52,21500
2010-02-03,2.52,2.52,2.38,2.38,2.38,5300
2010-02-04,2.38,2.45,2.24,2.38,2.38,15500
2010-02-05,2.24,2.66,2.24,2.38,2.38,28600
2010-02-08,2.52,2.52,2.345,2.345,2.345,14100
2010-02-09,2.31,2.38,2.24,2.24,2.24,14200
2010-02-10,2.31,2.31,2.17,2.17,2.17,34700
2010-02-11,2.31,2.31,2.31,2.31,2.31,3200
2010-02-12,2.31,2.31,2.24,2.24,2.24,11400
2010-02-16,2.24,2.38,2.24,2.24,2.24,7700
2010-02-17,2.38,2.66,2.24,2.38,2.38,14400
2010-02-18,2.24,2.66,2.24,2.38,2.38,5800
2010-02-19,2.38,2.59,2.24,2.59,2.59,22900
2010-02-22,2.59,2.66,2.45,2.66,2.66,19000
2010-02-23,2.66,2.66,2.45,2.59,2.59,13000
2010-02-24,2.45,2.59,2.45,2.59,2.59,5200
2010-02-25,2.639,2.66,2.52,2.625,2.625,13100
2010-02-26,2.59,2.59,2.45,2.52,2.52,16100
2010-03-01,2.52,2.59,2.24,2.59,2.59,35600
2010-03-02,2.52,2.73,2.38,2.59,2.59,16000
2010-03-03,2.59,2.66,2.38,2.38,2.38,14700
2010-03-04,2.38,2.66,2.38,2.45,2.45,15900
2010-03-05,2.38,2.52,2.38,2.45,2.45,9600
2010-03-08,2.66,2.66,2.38,2.45,2.45,22200
2010-03-09,2.66,2.66,2.38,2.555,2.555,15200
2010-03-10,2.52,2.66,2.52,2.66,2.66,16800
2010-03-11,2.66,2.66,2.45,2.66,2.66,12600
2010-03-12,2.555,2.66,2.45,2.59,2.59,7600
2010-03-15,2.66,2.66,2.59,2.59,2.59,14600
2010-03-16,2.66,2.66,2.569,2.59,2.59,24200
2010-03-17,2.66,2.66,2.569,2.569,2.569,3900
2010-03-18,2.576,2.66,2.485,2.485,2.485,3400
2010-03-19,2.485,2.66,2.485,2.52,2.52,19700
2010-03-22,2.52,2.66,2.52,2.52,2.52,5200
2010-03-23,2.73,2.73,2.52,2.52,2.52,9600
2010-03-24,2.59,2.66,2.52,2.59,2.59,11500
2010-03-25,2.66,2.66,2.52,2.59,2.59,17600
2010-03-26,2.59,2.66,2.59,2.66,2.66,8400
2010-03-29,2.597,2.8,2.52,2.695,2.695,42200
2010-03-30,2.66,2.8,2.66,2.73,2.73,20900
2010-03-31,2.8,2.8,2.59,2.73,2.73,12500
2010-04-01,2.66,2.8,2.66,2.765,2.765,24700
2010-04-05,2.8,3.01,2.765,2.87,2.87,19000
2010-04-06,2.94,3.5,2.94,3.465,3.465,50600
2010-04-07,3.57,4.06,3.36,4.06,4.06,86300
2010-04-08,3.85,4.2,3.85,3.99,3.99,37900
2010-04-09,4.06,4.2,3.92,4.13,4.13,23600
2010-04-12,3.99,4.97,3.99,4.9,4.9,87300
2010-04-13,5.075,5.46,5.005,5.39,5.39,129100
2010-04-14,5.6,5.6,3.85,4.2,4.2,138500
2010-04-15,5.04,5.04,3.85,3.99,3.99,56200
2010-04-16,3.85,4.27,3.85,4.13,4.13,16100
2010-04-19,4.2,4.2,4.025,4.2,4.2,34900
2010-04-20,4.2,4.2,4.06,4.06,4.06,17700
2010-04-21,4.2,4.2,4.06,4.06,4.06,8100
2010-04-22,4.067,4.34,3.99,4.06,4.06,39700
2010-04-23,4.06,4.2,3.99,3.99,3.99,18000
2010-04-26,4.06,4.34,4.06,4.13,4.13,15000
