Date,Open,High,Low,Close,Adj Close,Volume
2015-12-29,25.17,25.24,25.17,24.291828,25.24,300.0
2015-12-30,,,,,,
2015-12-31,24.9,24.940001,24.85,23.916481,24.85,5500.0
2016-01-04,24.5,24.52,24.42,23.502632,24.42,500.0
2016-01-05,24.549999,24.66,24.5,23.733616,24.66,5000.0
2016-01-06,24.34,24.639999,24.34,23.675871,24.6,900.0
2016-01-07,24.360001,24.360001,24.188999,23.28031,24.188999,500.0
2016-01-08,24.190001,24.209999,24.0,23.09841,24.0,2300.0
2016-01-11,24.040001,24.040001,24.040001,23.136909,24.040001,4200.0
2016-01-12,25.389999,25.389999,23.98,23.09841,24.0,7900.0
2016-01-13,24.09,24.09,24.09,23.185028,24.09,900.0
2016-01-14,23.809999,23.809999,23.809999,22.915545,23.809999,100.0
2016-01-15,23.58,23.58,23.51,22.626818,23.51,1300.0
2016-01-19,23.700001,23.700001,23.66,22.800056,23.690001,1900.0
2016-01-20,23.690001,23.690001,23.690001,22.800056,23.690001,0.0
2016-01-21,23.23,23.433001,23.23,22.552711,23.433001,600.0
2016-01-22,23.610001,23.799999,23.591999,22.905924,23.799999,1700.0
2016-01-25,23.799999,23.799999,23.799999,22.905924,23.799999,0.0
2016-01-26,23.9,23.9,23.68,23.002167,23.9,1100.0
2016-01-27,24.08,24.08,23.825001,22.929985,23.825001,500.0
2016-01-28,24.030001,24.138,24.030001,23.231226,24.138,1300.0
2016-01-29,24.4,24.65,24.360001,23.723991,24.65,9400.0
2016-02-01,24.82,24.84,24.57,23.906855,24.84,13600.0
2016-02-02,24.476,24.620001,24.440001,23.646999,24.57,5100.0
2016-02-03,24.49,24.82,24.49,23.820234,24.75,7300.0
2016-02-04,24.809,24.84,24.789,23.906855,24.84,2700.0
2016-02-05,25.040001,25.040001,24.74,23.839485,24.77,12300.0
2016-02-08,24.5,24.66,24.33,23.733616,24.66,6400.0
2016-02-09,24.51,24.549,24.4,23.626785,24.549,1700.0
2016-02-10,24.51,24.51,24.51,23.589251,24.51,300.0
2016-02-11,24.200001,24.23,24.049999,23.319769,24.23,3400.0
2016-02-12,24.27,24.389999,24.27,23.473759,24.389999,1200.0
2016-02-16,24.93,24.93,24.58,23.858732,24.790001,5000.0
2016-02-17,24.99,25.16,24.99,24.128212,25.07,12400.0
2016-02-18,25.280001,25.280001,25.08,24.221571,25.166999999999998,5100.0
2016-02-19,25.049999,25.24,25.044001,24.128212,25.07,22700.0
2016-02-22,25.33,25.436001,25.33,24.463139,25.417999,4000.0
2016-02-23,25.57,25.57,25.280001,24.339951,25.290001,7100.0
2016-02-24,25.27,25.299,24.98,24.348612,25.299,4800.0
2016-02-25,25.59,25.66,25.370001,24.696049,25.66,19500.0
2016-02-26,25.91,25.91,25.299999,24.388071,25.34,27900.0
2016-02-29,25.389999,25.540001,25.24,24.291828,25.24,14000.0
2016-03-01,25.41,25.549999,25.41,24.590183,25.549999,6600.0
2016-03-02,25.82,25.82,25.403000000000002,24.722036,25.686999999999998,24600.0
2016-03-03,25.68,25.91,25.68,24.936657,25.91,11500.0
2016-03-04,25.9,26.129999,25.85,25.085835,26.065001,54400.0
2016-03-07,26.068001,26.280001,26.068001,25.196518,26.18,9200.0
2016-03-08,26.120001,26.200001,26.02,25.090649,26.07,11700.0
2016-03-09,26.24,26.27,26.110001,25.168602,26.150999,25100.0
2016-03-10,26.42,26.42,25.979,25.167641,26.15,14000.0
2016-03-11,26.4,26.43,26.299999,25.437124,26.43,11900.0
2016-03-14,26.65,26.65,26.309999,25.437124,26.43,17000.0
2016-03-15,26.41,26.41,26.23,25.350504,26.34,16100.0
2016-03-16,26.299999,26.57,26.24,25.531441,26.528000000000002,20200.0
2016-03-17,26.620001,26.936001,26.530001,25.889469,26.9,22600.0
2016-03-18,26.893,26.98,26.860001,25.879845,26.889999,35000.0
2016-03-21,26.83,26.950001,26.83,25.899094,26.91,10400.0
2016-03-22,27.200001,27.200001,26.82,25.841345,26.85,23600.0
2016-03-23,26.85,26.85,26.73,25.725853,26.73,18900.0
2016-03-24,26.719999,26.719999,26.485001,25.610361,26.610001,17200.0
2016-03-28,28.0,28.0,26.57,25.648859,26.65,31500.0
2016-03-29,26.57,26.98,26.57,25.956839,26.969999,50500.0
2016-03-30,27.030001,27.07,26.98,25.983786,26.997999,31700.0
2016-03-31,27.09,27.1,26.997,26.046345,27.063000000000002,20700.0
2016-04-01,26.860001,27.129999,26.860001,26.110825,27.129999,10900.0
2016-04-04,27.01,27.059,26.962999,25.9501,26.962999,7900.0
2016-04-05,26.790001,26.82,26.709999,25.706604,26.709999,11400.0
2016-04-06,26.780001,26.781999999999996,26.59,25.775902,26.781999999999996,13100.0
2016-04-07,26.82,26.82,26.547001,25.591112,26.59,30300.0
2016-04-08,26.77,26.77,26.618999,25.647898,26.649,11000.0
2016-04-11,26.790001,26.841999,26.66,25.658484,26.66,7700.0
2016-04-12,26.690001,26.879,26.639999,25.822098,26.83,39200.0
2016-04-13,26.9,26.924999,26.860001,25.913528,26.924999,20300.0
2016-04-14,27.09,27.09,26.92,25.946253,26.959,35500.0
2016-04-15,27.059999,27.059999,26.976,26.032869,27.049,54100.0
2016-04-18,27.08,27.17,27.0,26.149326,27.17,9900.0
2016-04-19,27.24,27.24,27.139999,26.207073,27.23,17600.0
2016-04-20,27.290001,27.290001,27.01,25.995335,27.01,27000.0
2016-04-21,26.950001,26.950001,26.610001,25.639235,26.639999,13600.0
2016-04-22,26.709999,26.809999,26.68,25.764355,26.77,21000.0
2016-04-25,26.68,26.799999,26.66,25.793222,26.799999,63500.0
2016-04-26,26.950001,26.993000000000002,26.860001,25.918341,26.93,31400.0
2016-04-27,27.030001,27.18,26.969999,26.146437,27.166999999999998,21300.0
2016-04-28,27.309999,27.309999,26.99,25.976086,26.99,13700.0
2016-04-29,26.914,26.99,26.754999,25.955873,26.969,48800.0
2016-05-02,27.07,27.16,27.02,26.110825,27.129999,21900.0
2016-05-03,27.129999,27.129999,26.91,25.98571,27.0,18000.0
2016-05-04,26.878,27.09,26.85,26.033833,27.049999,17900.0
2016-05-05,27.23,27.23,26.83,25.870218,26.879999,36200.0
2016-05-06,26.780001,26.969999,26.754,25.956839,26.969999,30300.0
2016-05-09,27.059999,27.09,26.98,26.05308,27.07,15400.0
2016-05-10,27.280001,27.280001,27.120001,26.215734,27.239,107500.0
2016-05-11,27.85,27.85,27.139999,26.139702,27.16,79000.0
2016-05-12,27.32,27.35,27.17,26.284065,27.309999,37500.0
2016-05-13,27.23,27.23,27.021,26.043455,27.059999,10800.0
