Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,7.92,8.02,7.795,8.01,8.01,278200
2010-01-05,8.0,8.1,7.69,7.78,7.78,438000
2010-01-06,7.8,7.965,7.685,7.9,7.9,363800
2010-01-07,7.865,8.065,7.765,8.0,8.0,307000
2010-01-08,7.93,8.0,7.735,7.81,7.81,420200
2010-01-11,7.81,8.005,7.81,7.99,7.99,295800
2010-01-12,7.955,8.075,7.795,7.945,7.945,187600
2010-01-13,7.935,7.99,7.78,7.93,7.93,245400
2010-01-14,7.9,8.0,7.845,7.88,7.88,393000
2010-01-15,7.915,7.985,7.7,7.78,7.78,232200
2010-01-19,7.79,8.025,7.74,8.005,8.005,355200
2010-01-20,7.955,8.19,7.84,8.155,8.155,608400
2010-01-21,8.145,8.15,7.885,7.985,7.985,241600
2010-01-22,7.95,8.12,7.86,7.94,7.94,384400
2010-01-25,7.965,8.005,7.83,7.85,7.85,184800
2010-01-26,7.8,8.34,7.755,8.125,8.125,556200
2010-01-27,8.07,8.345,8.0,8.335,8.335,584000
2010-01-28,8.285,8.445,8.185,8.32,8.32,399800
2010-01-29,8.325,8.42,8.215,8.34,8.34,376400
2010-02-01,8.325,8.455,8.25,8.385,8.385,467800
2010-02-02,7.995,8.49,7.925,8.39,8.39,479200
2010-02-03,8.33,8.39,8.15,8.36,8.36,170400
2010-02-04,8.35,8.35,8.025,8.035,8.035,179200
2010-02-05,7.875,7.875,7.45,7.485,7.485,1589400
2010-02-08,7.475,7.605,7.41,7.435,7.435,205800
2010-02-09,7.505,7.645,7.42,7.63,7.63,349000
2010-02-10,7.62,7.62,7.44,7.535,7.535,194000
2010-02-11,7.535,7.595,7.475,7.545,7.545,244800
2010-02-12,7.46,7.555,7.25,7.545,7.545,439800
2010-02-16,7.575,7.575,7.475,7.5,7.5,151200
2010-02-17,7.55,7.66,7.395,7.505,7.505,281600
2010-02-18,7.52,7.655,7.425,7.635,7.635,251800
2010-02-19,7.625,7.7,7.55,7.595,7.595,98600
2010-02-22,7.58,7.6,7.41,7.51,7.51,94600
2010-02-23,7.48,7.705,7.43,7.635,7.635,192000
2010-02-24,7.635,7.665,7.42,7.515,7.515,230400
2010-02-25,7.49,7.58,7.42,7.535,7.535,128800
2010-02-26,7.525,7.755,7.43,7.71,7.71,87000
2010-03-01,7.715,7.775,7.61,7.775,7.775,109800
2010-03-02,7.82,8.06,7.78,7.94,7.94,312600
2010-03-03,7.95,7.98,7.8,7.845,7.845,336800
2010-03-04,7.89,7.89,7.69,7.875,7.875,201200
2010-03-05,8.0,8.085,7.915,7.925,7.925,983800
2010-03-08,7.9,7.93,7.56,7.685,7.685,469200
2010-03-09,7.63,7.745,7.55,7.695,7.695,257800
2010-03-10,7.67,7.715,7.495,7.515,7.515,352200
2010-03-11,7.5,7.635,7.485,7.625,7.625,327600
2010-03-12,7.63,7.68,7.555,7.66,7.66,173800
2010-03-15,7.645,7.645,7.525,7.59,7.59,171000
2010-03-16,7.625,7.625,7.51,7.56,7.56,66600
2010-03-17,7.545,7.6,7.525,7.575,7.575,149600
2010-03-18,7.605,7.74,7.575,7.735,7.735,172800
2010-03-19,7.83,7.835,7.69,7.83,7.83,291000
2010-03-22,7.755,7.94,7.705,7.94,7.94,110600
2010-03-23,7.89,7.89,7.48,7.565,7.565,467800
2010-03-24,7.5,7.81,7.445,7.63,7.63,426000
2010-03-25,7.635,7.795,7.545,7.63,7.63,437000
2010-03-26,7.625,7.66,7.575,7.625,7.625,325200
2010-03-29,7.625,7.69,7.61,7.64,7.64,209400
2010-03-30,7.61,7.675,7.555,7.625,7.625,120400
2010-03-31,7.57,7.655,7.5,7.6,7.6,381800
2010-04-01,7.575,7.625,7.45,7.625,7.625,258600
2010-04-05,7.615,7.625,7.525,7.625,7.625,150800
2010-04-06,7.575,7.685,7.525,7.675,7.675,409200
2010-04-07,7.635,7.685,7.575,7.63,7.63,299800
2010-04-08,7.645,7.645,7.5,7.55,7.55,189400
2010-04-09,7.58,7.605,7.46,7.5,7.5,162600
2010-04-12,7.535,7.65,7.535,7.62,7.62,226200
2010-04-13,7.595,7.66,7.5,7.605,7.605,279600
2010-04-14,7.625,7.645,7.53,7.585,7.585,168000
2010-04-15,7.55,7.645,7.55,7.645,7.645,249200
2010-04-16,7.87,8.345,7.86,7.98,7.98,1781200
2010-04-19,8.0,8.13,7.815,7.855,7.855,555200
2010-04-20,7.855,7.955,7.755,7.94,7.94,381200
2010-04-21,7.915,7.965,7.7,7.73,7.73,312800
2010-04-22,7.725,7.725,7.585,7.6,7.6,567000
2010-04-23,7.6,7.64,7.4,7.42,7.42,357400
2010-04-26,7.425,7.575,7.425,7.45,7.45,141400
2010-04-27,7.43,7.625,7.31,7.32,7.32,326200
2010-04-28,7.35,7.55,7.255,7.48,7.48,298600
2010-04-29,7.515,7.55,7.43,7.505,7.505,164800
