Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,7.28,7.62,7.28,7.55,7.55,50200
2010-01-05,7.76,8.1,7.76,8.05,8.05,131700
2010-01-06,8.05,8.41,7.99,8.25,8.25,301400
2010-01-07,8.25,8.25,7.77,8.0,8.0,288200
2010-01-08,8.2,8.25,7.75,8.25,8.25,342100
2010-01-11,8.5,8.5,8.17,8.17,8.17,105300
2010-01-12,8.18,8.37,8.14,8.2,8.2,125800
2010-01-13,8.15,8.38,8.0,8.28,8.28,91200
2010-01-14,8.27,8.5,8.08,8.36,8.36,45100
2010-01-15,8.3,8.64,8.3,8.52,8.52,177300
2010-01-19,8.52,8.66,8.5,8.53,8.53,83400
2010-01-20,8.44,8.44,7.86,8.04,8.04,120600
2010-01-21,7.99,8.14,7.73,7.8,7.8,62900
2010-01-22,7.76,7.87,7.49,7.49,7.49,37700
2010-01-25,7.47,7.49,7.15,7.25,7.25,123100
2010-01-26,7.19,7.27,7.03,7.1,7.1,50000
2010-01-27,7.1,7.17,6.85,6.97,6.97,152100
2010-01-28,7.03,7.06,6.97,6.97,6.97,86300
2010-01-29,7.03,7.12,6.78,6.81,6.81,68600
2010-02-01,6.83,7.14,6.83,6.99,6.99,139300
2010-02-02,6.98,7.34,6.98,7.21,7.21,102400
2010-02-03,7.15,7.23,6.95,7.11,7.11,40200
2010-02-04,7.04,7.18,6.8,6.86,6.86,65600
2010-02-05,6.82,7.0,6.8,6.87,6.87,46900
2010-02-08,6.83,6.99,6.8,6.81,6.81,30200
2010-02-09,6.98,6.98,6.5,6.65,6.65,89000
2010-02-10,6.64,6.8,6.35,6.52,6.52,92900
2010-02-11,6.5,6.89,6.5,6.64,6.64,53100
2010-02-12,6.57,6.68,6.5,6.6,6.6,39200
2010-02-16,6.63,6.76,6.51,6.68,6.68,51300
2010-02-17,6.75,6.79,6.51,6.71,6.71,37300
2010-02-18,6.67,6.75,6.63,6.67,6.67,20400
2010-02-19,6.64,6.8,6.6,6.62,6.62,28000
2010-02-22,6.6,6.78,6.56,6.71,6.71,57500
2010-02-23,6.65,6.7,6.6,6.65,6.65,23900
2010-02-24,6.74,7.2,6.69,7.2,7.2,95300
2010-02-25,7.1,7.19,6.8,6.89,6.89,37900
2010-02-26,6.92,7.05,6.8,7.02,7.02,26200
2010-03-01,7.22,7.22,6.93,7.01,7.01,19100
2010-03-02,7.0,7.0,6.86,6.87,6.87,10600
2010-03-03,6.9,6.9,6.71,6.78,6.78,26100
2010-03-04,6.73,6.78,6.64,6.7,6.7,27700
2010-03-05,6.81,7.06,6.79,7.02,7.02,39200
2010-03-08,7.15,7.26,7.01,7.24,7.24,84200
2010-03-09,7.23,7.49,7.12,7.3,7.3,80000
2010-03-10,7.26,7.42,7.23,7.3,7.3,37600
2010-03-11,7.27,7.27,7.16,7.2,7.2,37700
2010-03-12,7.35,7.46,7.23,7.24,7.24,15400
2010-03-15,7.19,7.45,7.19,7.3,7.3,17300
2010-03-16,7.3,7.4,7.15,7.32,7.32,49500
