Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,8.99,8.99,8.45,8.45,8.45,2200
2010-01-05,8.77,8.85,8.5,8.53,8.53,700
2010-01-06,8.53,8.53,8.53,8.53,8.53,0
2010-01-07,9.0,9.32,8.99,9.25,9.25,5600
2010-01-08,9.35,10.44,9.0,10.2,10.2,10000
2010-01-11,10.22,10.22,10.22,10.22,10.22,300
2010-01-12,10.22,10.22,10.22,10.22,10.22,0
2010-01-13,9.28,10.26,9.26,10.06,10.06,4100
2010-01-14,10.45,10.74,10.0,10.26,10.26,3500
2010-01-15,9.82,10.4,9.33,10.09,10.09,1100
2010-01-19,9.89,10.04,9.58,10.04,10.04,1200
2010-01-20,10.12,10.12,9.45,9.9,9.9,2300
2010-01-21,9.62,9.9,9.6,9.84,9.84,1300
2010-01-22,9.66,9.66,9.66,9.66,9.66,100
2010-01-25,9.64,10.0,9.5,9.75,9.75,3000
2010-01-26,9.67,10.5,9.67,10.25,10.25,4000
2010-01-27,10.19,10.19,10.19,10.19,10.19,300
2010-01-28,9.64,10.25,9.62,10.25,10.25,2500
2010-01-29,10.25,10.35,10.23,10.33,10.33,1200
2010-02-01,10.11,10.28,10.11,10.28,10.28,500
2010-02-02,10.28,10.28,10.28,10.28,10.28,0
2010-02-03,10.25,10.25,10.0,10.0,10.0,300
2010-02-04,10.02,10.1,10.0,10.0,10.0,2000
2010-02-05,10.0,10.0,9.96,10.0,10.0,4400
2010-02-08,9.75,9.75,8.94,9.12,9.12,2200
2010-02-09,9.12,9.12,9.12,9.12,9.12,0
2010-02-10,9.12,9.12,9.12,9.12,9.12,0
2010-02-11,8.97,9.47,8.55,8.55,8.55,5800
2010-02-12,8.75,8.75,8.74,8.75,8.75,1900
2010-02-16,8.75,8.75,8.75,8.75,8.75,1000
2010-02-17,8.75,8.75,8.75,8.75,8.75,0
2010-02-18,9.27,9.27,8.65,8.65,8.65,1100
2010-02-19,9.05,9.05,9.05,9.05,9.05,1700
2010-02-22,8.65,8.94,8.6,8.88,8.88,5900
2010-02-23,8.75,8.75,8.5,8.5,8.5,1800
2010-02-24,8.33,8.5,8.32,8.44,8.44,1600
2010-02-25,8.5,8.64,8.45,8.58,8.58,900
2010-02-26,8.72,8.72,8.72,8.72,8.72,300
2010-03-01,8.72,8.72,8.72,8.72,8.72,0
2010-03-02,8.72,8.72,8.72,8.72,8.72,0
2010-03-03,8.72,8.72,8.72,8.72,8.72,0
2010-03-04,8.38,8.75,8.28,8.75,8.75,2700
2010-03-05,8.75,8.75,8.75,8.75,8.75,0
2010-03-08,8.73,8.75,8.73,8.75,8.75,800
2010-03-09,8.75,9.09,8.75,9.09,9.09,500
2010-03-10,8.88,8.93,8.82,8.93,8.93,400
2010-03-11,9.1,9.14,9.1,9.14,9.14,900
2010-03-12,8.98,9.12,8.98,8.98,8.98,1800
2010-03-15,8.85,9.75,8.85,9.15,9.15,1300
2010-03-16,9.15,9.15,9.15,9.15,9.15,0
2010-03-17,9.15,9.15,9.15,9.15,9.15,0
2010-03-18,9.15,9.19,9.08,9.19,9.19,1200
2010-03-19,9.1,9.11,9.03,9.03,9.03,2500
2010-03-22,9.06,9.06,9.06,9.06,9.06,100
2010-03-23,9.05,9.15,8.77,8.77,8.77,2000
2010-03-24,8.75,8.75,8.75,8.75,8.75,100
2010-03-25,9.1,9.5,8.83,8.83,8.83,1500
2010-03-26,8.9,8.9,8.83,8.9,8.9,600
2010-03-29,8.99,9.32,8.78,9.1,9.1,3600
2010-03-30,9.1,9.1,9.1,9.1,9.1,0
2010-03-31,9.49,10.2,9.49,9.9,9.9,800
2010-04-01,9.9,9.9,9.9,9.9,9.9,0
2010-04-05,9.39,9.87,9.0,9.0,9.0,3700
2010-04-06,9.0,9.86,9.0,9.0,9.0,2400
2010-04-07,9.0,9.68,9.0,9.68,9.68,800
2010-04-08,9.5,9.5,9.5,9.5,9.5,600
2010-04-09,9.5,9.5,9.49,9.49,9.49,200
2010-04-12,9.06,9.5,9.0,9.02,9.02,2700
2010-04-13,9.1,9.99,9.06,9.21,9.21,900
2010-04-14,9.89,9.96,9.73,9.89,9.89,1100
2010-04-15,9.11,9.9,9.11,9.16,9.16,1600
2010-04-16,9.16,9.6,9.16,9.6,9.6,1000
2010-04-19,9.88,9.88,9.45,9.45,9.45,3300
2010-04-20,9.46,9.59,9.46,9.59,9.59,1500
2010-04-21,9.46,9.51,9.46,9.51,9.51,500
2010-04-22,9.1,9.77,9.1,9.77,9.77,1900
2010-04-23,9.26,10.0,9.05,9.21,9.21,13000
2010-04-26,9.09,9.66,9.09,9.35,9.35,1200
2010-04-27,9.37,9.67,9.35,9.67,9.67,2000
2010-04-28,9.67,9.67,9.45,9.45,9.45,1100
2010-04-29,9.5,9.6,9.49,9.49,9.49,900
2010-04-30,9.64,9.64,9.2,9.49,9.49,1200
2010-05-03,9.24,9.24,9.24,9.24,9.24,500
2010-05-04,9.24,9.33,9.0,9.3,9.3,3000
2010-05-05,9.1,9.1,9.1,9.1,9.1,700
2010-05-06,9.03,9.03,8.85,8.85,8.85,1200
2010-05-07,9.3,9.3,8.93,8.93,8.93,500
2010-05-10,9.01,10.0,8.97,9.99,9.99,17300
2010-05-11,10.19,10.19,9.95,9.95,9.95,1700
2010-05-12,9.99,10.5,9.99,10.48,10.48,14100
2010-05-13,10.3,10.5,10.08,10.4,10.4,3300
2010-05-14,10.5,10.55,10.16,10.42,10.42,10400
2010-05-17,10.24,10.3,10.24,10.27,10.27,1400
2010-05-18,10.52,10.86,10.52,10.75,10.75,1900
2010-05-19,10.5,10.81,10.31,10.81,10.81,2900
2010-05-20,10.6,10.6,10.25,10.25,10.25,1400
2010-05-21,10.04,10.85,10.04,10.85,10.85,2200
2010-05-24,10.63,10.97,10.5,10.97,10.97,2500
