Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,8.315,8.385,8.315,7.873403999999999,8.365,19200
2010-01-05,8.355,8.44,8.355,7.87811,8.37,14600
2010-01-06,8.4,8.4,8.31,7.821637,8.31,21000
2010-01-07,8.315,8.32,8.065,7.591034,8.065,41200
2010-01-08,7.885,8.275,7.875,7.765161999999999,8.25,16800
2010-01-11,8.27,8.28,8.225,7.760456,8.245,11200
2010-01-12,8.23,8.25,8.065,7.6286830000000005,8.105,45400
2010-01-13,8.085,8.25,8.085,7.703982000000001,8.185,12200
2010-01-14,8.155,8.27,8.085,7.708688,8.19,12800
2010-01-15,8.24,8.31,8.08,7.727513,8.21,23800
2010-01-19,8.21,8.31,8.21,7.81693,8.305,28800
2010-01-20,8.225,8.31,8.225,7.802811999999999,8.29,14400
2010-01-21,8.08,8.18,8.07,7.595739999999999,8.07,14400
2010-01-22,8.105,8.145,7.935,7.591034,8.065,18000
2010-01-25,8.025,8.115,8.025,7.6286830000000005,8.105,10000
2010-01-26,8.06,8.23,8.06,7.591034,8.065,9000
2010-01-27,8.03,8.1,8.03,7.591034,8.065,10600
2010-01-28,8.09,8.11,7.95,7.487499000000001,7.955,65400
2010-01-29,7.995,8.0,7.86,7.3980820000000005,7.86,38600
2010-02-01,7.87,7.975,7.87,7.492205,7.96,8200
2010-02-02,7.96,7.96,7.77,7.313371000000001,7.77,16400
2010-02-03,7.765,7.935,7.75,7.426319,7.89,17600
2010-02-04,7.795,7.965,7.795,7.379257000000001,7.84,17400
2010-02-05,7.82,7.95,7.82,7.4639679999999995,7.93,20800
2010-02-08,7.955,7.955,7.775,7.318077000000001,7.775,10200
2010-02-09,7.835,7.875,7.835,7.402788,7.865,6400
2010-02-10,8.25,8.25,8.045,7.6428020000000005,8.12,349600
2010-02-11,8.1,8.205,8.1,7.680451,8.16,6600
2010-02-12,8.22,8.22,8.13,7.675745,8.155,23400
2010-02-16,8.15,8.15,8.05,7.609858999999999,8.085,18400
2010-02-17,8.1,8.12,7.97,7.529853999999999,8.0,25600
2010-02-18,7.97,7.98,7.895,7.431025,7.895,24800
2010-02-19,7.92,7.92,7.705,7.365139,7.825,49200
2010-02-22,7.84,8.15,7.84,7.671039,8.15,22600
2010-02-23,8.215,8.225,8.095,7.6286830000000005,8.105,25800
2010-02-24,8.135,8.205,8.135,7.722807,8.205,6600
2010-02-25,8.16,8.31,8.155,7.779281,8.265,29800
