Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,20.93,20.93,19.6,20.23,20.23,30200
2010-01-05,19.67,19.879999,19.32,19.459999,19.459999,14600
2010-01-06,19.25,19.25,18.83,18.83,18.83,12600
2010-01-07,19.110001,21.139999,19.110001,21.0,21.0,80600
2010-01-08,21.209999,22.26,20.860001,22.190001,22.190001,116600
2010-01-11,22.33,24.219999,22.190001,24.219999,24.219999,197500
2010-01-12,22.959999,23.52,22.049999,23.1,23.1,81100
2010-01-13,24.219999,24.219999,22.26,23.379999,23.379999,52600
2010-01-14,23.379999,23.52,22.610001,23.17,23.17,24300
2010-01-15,23.1,23.1,22.26,22.540001,22.540001,26600
2010-01-19,22.82,23.17,22.049999,22.959999,22.959999,40000
2010-01-20,22.82,23.309999,22.4,22.469999,22.469999,21700
2010-01-21,22.4,22.540001,21.700001,21.77,21.77,21300
2010-01-22,21.700001,21.84,21.139999,21.42,21.42,25300
2010-01-25,21.84,21.84,21.07,21.209999,21.209999,24000
2010-01-26,21.209999,21.209999,20.299999,20.65,20.65,26000
2010-01-27,20.860001,20.860001,19.67,20.16,20.16,25700
2010-01-28,20.16,20.58,19.950001,20.51,20.51,24100
2010-01-29,20.860001,21.98,20.790001,21.35,21.35,38500
2010-02-01,21.139999,21.139999,20.370001,20.51,20.51,23900
2010-02-02,20.440001,20.93,20.02,20.58,20.58,33500
2010-02-03,20.51,20.51,20.16,20.370001,20.370001,47400
2010-02-04,20.51,21.0,20.16,20.860001,20.860001,24800
2010-02-05,20.65,21.49,20.440001,21.35,21.35,17900
2010-02-08,21.49,22.68,20.860001,21.91,21.91,33300
2010-02-09,21.84,22.33,21.35,21.700001,21.700001,24300
2010-02-10,21.49,21.77,21.139999,21.77,21.77,22700
2010-02-11,21.98,22.33,21.700001,22.049999,22.049999,33000
2010-02-12,22.049999,22.33,21.700001,22.33,22.33,39100
2010-02-16,22.33,22.68,22.049999,22.68,22.68,20200
2010-02-17,22.469999,22.959999,22.469999,22.889999,22.889999,21000
