Date,Open,High,Low,Close,Adj Close,Volume
2010-04-07,25.700001,26.01,25.700001,24.130499,25.709999,3600
2010-04-08,25.5,25.59,25.5,24.017872,25.59,1500
2010-04-09,25.65,25.65,25.65,24.074184,25.65,300
2010-04-12,25.809999,25.85,25.809999,24.233744,25.82,1800
2010-04-13,25.73,25.73,25.719999,24.139885,25.719999,400
2010-04-14,25.719999,25.719999,25.719999,24.139885,25.719999,0
2010-04-15,25.719999,25.719999,25.719999,24.139885,25.719999,0
2010-04-16,26.469999,26.469999,25.92,24.327597,25.92,1400
2010-04-19,25.9,25.9,25.450001,24.149269,25.73,800
2010-04-20,26.07,26.280001,26.030001,24.656092,26.27,7300
2010-04-21,26.35,26.530001,26.290001,24.900118,26.530001,4100
2010-04-22,26.360001,26.9,26.290001,25.247391,26.9,2400
2010-04-23,27.35,27.370001,27.35,25.669746,27.35,500
2010-04-26,27.549999,27.6,27.450001,25.763599,27.450001,2300
2010-04-27,27.15,27.15,26.35,24.731186,26.35,11200
2010-04-28,26.530001,26.780001,26.530001,24.984592000000006,26.620001,2400
2010-04-29,26.98,27.02,26.98,25.360016,27.02,300
2010-04-30,27.42,27.42,26.690001,25.050297,26.690001,9100
2010-05-03,26.950001,27.120001,26.91,25.453875,27.120001,18100
2010-05-04,26.799999,26.799999,26.209999,24.599775,26.209999,1000
2010-05-05,25.450001,25.879999,25.440001,23.914621,25.48,3000
2010-05-06,25.280001,25.280001,24.01,23.126234,24.639999,24000
2010-05-07,24.93,24.93,24.07,22.591257,24.07,2500
2010-05-10,25.190001,25.59,25.18,24.017872,25.59,9900
2010-05-11,25.73,26.049999,25.610001,24.03664,25.610001,1400
2010-05-12,26.110001,26.360001,26.07,24.740564000000006,26.360001,3100
2010-05-13,26.83,26.83,26.559999,24.928276,26.559999,2700
2010-05-14,26.280001,26.280001,25.59,24.017872,25.59,800
2010-05-17,25.99,25.99,25.74,24.158655,25.74,500
2010-05-18,25.91,25.91,25.26,23.708143,25.26,900
2010-05-19,25.1,25.1,24.34,23.267023,24.790001,1300
2010-05-20,23.700001,24.280001,23.700001,22.544323,24.02,11400
2010-05-21,24.02,24.02,24.02,22.544323,24.02,0
2010-05-24,24.02,24.02,24.02,22.544323,24.02,0
2010-05-25,22.870001,23.379999,22.83,21.943642,23.379999,7400
2010-05-26,24.059999,24.059999,24.059999,22.581863,24.059999,200
2010-05-27,23.93,24.77,23.93,23.248251,24.77,800
2010-05-28,24.77,24.77,24.77,23.248251,24.77,0
2010-06-01,24.77,24.77,24.77,23.248251,24.77,0
2010-06-02,23.83,23.950001,23.379999,22.478622,23.950001,2000
2010-06-03,24.07,24.07,23.950001,22.478622,23.950001,200
2010-06-04,23.370001,23.370001,23.08,21.662071,23.08,200
2010-06-07,22.74,22.74,22.620001,21.23033,22.620001,2000
2010-06-08,21.889999,21.889999,21.889999,20.545183,21.889999,200
2010-06-09,21.889999,21.889999,21.889999,20.545183,21.889999,0
2010-06-10,21.889999,21.889999,21.889999,20.545183,21.889999,0
2010-06-11,21.889999,21.889999,21.889999,20.545183,21.889999,0
2010-06-14,23.98,24.120001,23.639999,22.197054,23.65,4800
2010-06-15,23.690001,24.18,23.690001,22.685106,24.17,800
2010-06-16,24.0,24.0,24.0,22.525549,24.0,200
2010-06-17,24.0,24.0,24.0,22.525549,24.0,0
