Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,24.719999,24.719999,24.705,22.086462,24.719,205700
2014-05-02,24.700001,24.709999,24.700001,22.078421,24.709999,700
2014-05-05,25.42,25.42,25.16,22.596655,25.290001,1400
2014-05-06,25.25,25.25,25.01,22.346474,25.01,3200
2014-05-07,25.040001,25.059999,25.0,22.391148,25.059999,1300
2014-05-08,25.280001,25.280001,25.200001,22.516239,25.200001,1500
2014-05-09,25.1,25.139999,25.1,22.462627,25.139999,1100
2014-05-12,25.51,25.51,25.43,22.748547,25.459999,1400
2014-05-13,25.52,25.59,25.49,22.775352,25.49,1600
2014-05-14,25.58,25.58,25.469999,22.775352,25.49,2400
2014-05-15,25.459999,25.459999,25.35,22.677069,25.379999,3000
2014-05-16,25.299999,25.34,25.290001,22.641329,25.34,1100
2014-05-19,24.860001,24.93,24.860001,22.248186,24.9,7600
2014-05-20,24.82,24.82,24.370001,21.801435,24.4,7300
2014-05-21,24.370001,24.639999,24.370001,21.935461,24.549999,3400
2014-05-22,25.190001,25.23,25.049999,22.426888,25.1,3700
2014-05-23,25.01,25.200001,25.01,22.400084,25.07,4700
2014-05-27,26.26,26.26,25.76,23.239973000000006,26.01,70200
2014-05-28,26.200001,26.200001,25.5,23.105947,25.860001,7000
2014-05-29,26.379999,26.65,26.120001,23.597374,26.41,326900
2014-05-30,26.440001,27.15,26.440001,24.258566,27.15,738800
2014-06-02,26.940001,26.940001,26.490999,23.669748,26.490999,112800
2014-06-03,26.0,26.0,25.700001,23.159559,25.92,75300
2014-06-04,25.65,25.76,25.65,23.007662,25.75,112500
2014-06-05,26.014999,26.540001,25.940001,23.71353,26.540001,48300
2014-06-06,26.959999,26.959999,26.01,23.793943,26.629999,134100
2014-06-09,25.48,25.85,25.059999,23.097015,25.85,44500
2014-06-10,25.379999,25.41,25.01,22.686005,25.389999,4900
2014-06-11,25.34,25.34,24.99,22.328602,24.99,7600
2014-06-12,25.000999,25.000999,25.000999,22.338434,25.000999,400
2014-06-13,25.353001000000006,25.66,25.15,22.92725,25.66,4600
2014-06-16,24.790001,24.790001,23.99,21.694218,24.280001,151400
2014-06-17,23.98,24.17,23.950001,21.408297,23.959999,74700
2014-06-18,24.07,24.32,23.98,21.685284,24.27,72000
2014-06-19,24.27,24.27,23.83,21.292141,23.83,15700
2014-06-20,23.809999,23.959999,23.76,21.318949,23.860001,7500
2014-06-23,23.780001,23.780001,23.610001,21.104506,23.620001,54800
2014-06-24,23.610001,23.799999,23.580999,21.086637,23.6,6200
2014-06-25,23.41,23.41,23.031,20.818584,23.299999,1900
2014-06-26,22.92,22.92,22.440001,20.309288,22.73,13400
2014-06-27,22.860001,22.879999,22.75,20.380768,22.809999,13900
2014-06-30,22.059999,22.059999,21.790001,19.523006,21.85,41700
2014-07-01,22.74,23.299999,22.74,20.541599,22.99,55200
2014-07-02,23.139999,23.787001,23.139999,20.997284,23.5,8200
2014-07-03,23.549999,23.709999,23.4,21.050894,23.559999,13200
2014-07-07,23.809999,23.809999,23.52,21.015158,23.52,1600
2014-07-08,23.6,24.120001,23.6,21.457439,24.014999,21800
