Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,22.120001,23.309999,21.77,21.133867,22.959999,2200
2010-01-05,22.959999,22.959999,22.959999,21.133867,22.959999,0
2010-01-06,22.82,23.030001,22.190001,20.489544,22.26,700
2010-01-07,22.26,22.540001,22.26,20.747272,22.540001,100
2010-01-08,22.190001,24.360001,21.559999,22.422514000000003,24.360001,600
2010-01-11,22.959999,23.24,21.629999,20.876137,22.68,1400
2010-01-12,21.700001,23.450001,21.559999,20.360676,22.120001,2400
2010-01-13,21.91,22.540001,21.77,20.618404,22.4,300
2010-01-14,21.91,22.26,21.559999,19.909649,21.629999,500
2010-01-15,21.77,23.450001,21.77,20.876137,22.68,1700
2010-01-19,22.120001,22.120001,21.559999,19.845217,21.559999,600
2010-01-20,21.35,21.98,21.35,19.845217,21.559999,200
2010-01-21,21.42,21.559999,21.139999,19.716351,21.42,400
2010-01-22,21.35,22.889999,21.209999,19.845217,21.559999,200
2010-01-25,21.559999,21.91,20.65,19.458618,21.139999,1700
2010-01-26,20.790001,21.209999,20.65,19.200891,20.860001,400
2010-01-27,20.790001,21.0,20.65,19.136457,20.790001,200
2010-01-28,21.0,21.07,20.65,19.394184,21.07,100
2010-01-29,21.280001,21.280001,20.58,19.329756,21.0,500
2010-02-01,20.51,21.07,20.51,19.394184,21.07,500
2010-02-02,22.26,22.26,20.440001,19.007593,20.65,200
2010-02-03,21.42,21.42,21.139999,19.458618,21.139999,100
2010-02-04,22.82,22.82,21.139999,20.231812,21.98,1300
2010-02-05,22.120001,22.120001,21.35,20.29624,22.049999,300
2010-02-08,22.049999,22.049999,21.629999,20.102945,21.84,400
2010-02-09,22.33,22.33,22.33,20.553974,22.33,0
2010-02-10,21.209999,21.35,21.0,19.65192,21.35,100
2010-02-11,21.629999,23.1,21.629999,20.940565,22.75,1800
2010-02-12,22.049999,23.030001,21.42,20.876137,22.68,300
2010-02-16,21.49,21.49,21.42,19.716351,21.42,0
2010-02-17,21.700001,22.33,21.209999,19.716351,21.42,300
2010-02-18,21.0,22.33,21.0,20.29624,22.049999,700
2010-02-19,22.610001,22.610001,21.84,20.102945,21.84,100
2010-02-22,22.049999,22.26,22.049999,20.489544,22.26,300
2010-02-23,23.030001,23.030001,21.559999,20.553974,22.33,500
2010-02-24,21.559999,21.700001,21.35,19.974083,21.700001,900
2010-02-25,21.629999,21.77,21.0,19.523052,21.209999,3100
2010-02-26,21.209999,21.209999,21.209999,19.523052,21.209999,0
2010-03-01,21.07,21.209999,21.0,19.329756,21.0,400
2010-03-02,21.0,21.209999,20.93,19.394184,21.07,1400
2010-03-03,21.0,22.75,20.93,19.909649,21.629999,1100
2010-03-04,20.93,21.700001,20.719999,19.136457,20.790001,300
2010-03-05,21.0,22.26,21.0,19.974083,21.700001,700
2010-03-08,21.700001,21.700001,20.860001,19.329756,21.0,800
2010-03-09,20.860001,22.049999,20.719999,19.200891,20.860001,300
2010-03-10,20.860001,21.700001,20.860001,19.394184,21.07,300
2010-03-11,20.860001,21.0,20.860001,19.329756,21.0,400
2010-03-12,20.93,20.93,20.93,19.265322,20.93,0
2010-03-15,20.860001,21.559999,20.860001,19.265322,20.93,500
2010-03-16,20.860001,21.98,20.440001,19.974083,21.700001,1300
