Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,11.66,11.665,11.455,10.349127,11.525,16370000
2010-01-05,11.48,12.0,11.445,10.591578,11.795,30058800
2010-01-06,11.74,11.81,11.63,10.515251,11.71,14209600
2010-01-07,11.64,11.765,11.595,10.488312,11.68,10256000
2010-01-08,11.6,11.8,11.595,10.452394,11.64,10274800
2010-01-11,11.685,11.685,11.435,10.420962,11.605,11387000
2010-01-12,11.45,11.595,11.25,10.245862,11.41,15429600
2010-01-13,11.45,11.75,11.385,10.497292,11.69,15098400
2010-01-14,11.62,11.8,11.605,10.573619,11.775,15517400
2010-01-15,11.865,11.875,11.455,10.447904,11.635,21862600
2010-01-19,11.7,11.9,11.58,10.58709,11.79,18908200
2010-01-20,11.87,11.9,11.425,10.456882,11.645,33950400
2010-01-21,12.06,12.225,11.665,10.631986,11.84,53670800
2010-01-22,11.815,11.915,11.425,10.286267,11.455,24557600
2010-01-25,11.5,11.53,11.135,10.057283,11.2,24673800
2010-01-26,11.105,11.37,11.085,10.120143,11.27,22492600
2010-01-27,11.27,11.285,11.065,10.061773,11.205,21200200
2010-01-28,11.25,11.315,10.93,9.91361,11.04,28730400
2010-01-29,11.06,11.265,10.875,9.783403,10.895,18741800
2010-02-01,10.995,11.135,10.885,9.980955,11.115,13498800
2010-02-02,11.075,11.245,10.955,10.079733,11.225,15336200
2010-02-03,11.195,11.245,11.05,10.070752,11.215,14938600
2010-02-04,11.13,11.195,10.895,9.792384,10.905,19542400
2010-02-05,10.895,11.02,10.63,9.742995,10.85,22069800
2010-02-08,10.83,11.075,10.705,9.837282,10.955,15988600
2010-02-09,11.075,11.15,10.83,9.962996,11.095,20816200
2010-02-10,11.02,11.265,11.02,10.043814,11.185,20032800
2010-02-11,11.13,11.34,10.965,10.129123,11.28,18518200
2010-02-12,11.035,11.34,11.03,10.147079,11.3,15750800
2010-02-16,11.345,11.44,11.235,10.272799,11.44,16820000
2010-02-17,11.535,11.65,11.485,10.394024,11.575,12950400
2010-02-18,11.605,11.66,11.505,10.443414,11.63,9300600
2010-02-19,11.585,11.73,11.585,10.488312,11.68,9731800
2010-02-22,11.665,11.68,11.41,10.281775,11.45,16983800
2010-02-23,11.38,11.455,11.235,10.183002,11.34,16508400
2010-02-24,11.375,11.54,11.355,10.362595,11.54,12921000
2010-02-25,11.325,11.49,11.215,10.281775,11.45,18623800
2010-02-26,11.46,11.495,11.34,10.286267,11.455,12100000
2010-03-01,11.465,11.67,11.455,10.456882,11.645,12703000
2010-03-02,11.59,11.7,11.54,10.474841,11.665,17122200
2010-03-03,11.65,11.69,11.47,10.353618,11.53,11035000
2010-03-04,11.525,11.585,11.435,10.290759,11.46,12892600
2010-03-05,11.52,11.695,11.435,10.492802,11.685,12328800
2010-03-08,11.635,11.795,11.625,10.470351,11.66,8997200
2010-03-09,11.75,11.875,11.6,10.605047,11.81,13357200
2010-03-10,11.765,12.135,11.755,10.878926,12.115,24464200
2010-03-11,12.02,12.335,12.02,10.896891,12.135,17979000
2010-03-12,12.135,12.24,12.07,10.901381,12.14,12833400
2010-03-15,12.15,12.25,12.12,10.964235,12.21,11841800
2010-03-16,12.475,12.685,12.43,11.354855,12.645,33800200
2010-03-17,12.685,12.83,12.565,11.476078,12.78,21365000
2010-03-18,12.725,12.75,12.485,11.233625,12.51,21413600
2010-03-19,12.485,12.575,12.375,11.21118,12.485,22038600
2010-03-22,12.39,12.69,12.175,11.332406,12.62,16329600
2010-03-23,12.715,12.715,12.475,11.408732,12.705,17656000
2010-03-24,12.92,13.0,12.62,11.354855,12.645,24294400
2010-03-25,12.53,12.565,12.075,10.869949,12.105,37962200
2010-03-26,12.195,12.415,12.195,11.040564,12.295,20463600
2010-03-29,12.315,12.385,12.145,11.049543,12.305,13718000
2010-03-30,12.21,12.315,12.12,11.027094,12.28,12786200
2010-03-31,12.21,12.27,12.1,10.896891,12.135,15088600
2010-04-01,12.27,12.365,11.975,10.883418,12.12,15551200
2010-04-05,12.055,12.39,12.055,11.095318,12.305,15765800
2010-04-06,12.225,12.35,12.175,11.090808,12.3,11589200
2010-04-07,12.4,12.515,12.345,11.230572,12.455,16810800
2010-04-08,12.375,12.5,12.315,11.194504,12.415,14317800
2010-04-09,12.425,12.475,12.225,11.144907,12.36,12381000
2010-04-12,12.325,12.395,12.16,11.041213,12.245,12606200
2010-04-13,12.205,12.4,12.16,11.149418,12.365,14704800
2010-04-14,12.35,12.425,12.2,11.199011,12.42,15749800
2010-04-15,12.36,12.625,12.31,11.329755,12.565,19206400
2010-04-16,12.55,12.61,12.355,11.253114,12.48,21814000
2010-04-19,12.495,12.62,12.28,11.226062,12.45,16983000
2010-04-20,12.55,12.645,12.31,11.388366,12.63,15065200
2010-04-21,12.595,12.71,12.5,11.44698,12.695,27466000
2010-04-22,12.99,13.725,12.835,12.285552,13.625,62082800
2010-04-23,13.505,13.645,13.375,12.290059,13.63,20898400
2010-04-26,13.535,13.795,13.5,12.348667,13.695,15876400
2010-04-27,13.75,13.75,13.225,11.960943,13.265,19239600
2010-04-28,13.325,13.44,13.06,11.82118,13.11,21192600
2010-04-29,13.145,13.365,13.13,11.9925,13.3,15192600
2010-04-30,13.37,13.37,12.99,11.712976,12.99,15006400
