Date,Open,High,Low,Close,Adj Close,Volume
2015-11-02,15.18,15.18,15.06,15.1,15.1,7000
2015-11-03,15.1,15.1,15.1,15.1,15.1,800
2015-11-04,15.1,15.1,15.1,15.1,15.1,0
2015-11-05,15.1,15.1,15.1,15.1,15.1,2800
2015-11-06,15.1,15.1,15.1,15.1,15.1,0
2015-11-09,15.1,15.1,15.1,15.1,15.1,2300
2015-11-10,15.1,15.1,15.1,15.1,15.1,2500
2015-11-11,15.15,15.15,15.1,15.1,15.1,6700
2015-11-12,15.15,15.3,15.15,15.3,15.3,25100
2015-11-13,15.25,15.98,15.25,15.5,15.5,4000
2015-11-16,15.7,16.0,15.7,15.75,15.75,2400
2015-11-17,15.7,15.7,15.5,15.6,15.6,1100
2015-11-18,15.6,15.6,15.5,15.5,15.5,900
2015-11-19,15.5,15.65,15.5,15.5,15.5,4200
2015-11-20,15.5,15.5,15.4,15.4,15.4,600
2015-11-23,15.6,15.6,15.3,15.3,15.3,800
2015-11-24,15.4,15.45,15.3,15.4,15.4,12300
2015-11-25,15.3,15.3,15.28,15.28,15.28,1500
2015-11-27,15.3,15.3,15.3,15.3,15.3,1400
2015-11-30,15.28,15.3,15.26,15.26,15.26,4500
2015-12-01,15.26,15.3,15.26,15.3,15.3,2300
2015-12-02,15.3,15.3,15.3,15.3,15.3,4800
2015-12-03,15.3,15.3,15.1,15.2,15.2,16100
2015-12-04,15.2,15.2,15.2,15.2,15.2,0
2015-12-07,15.2,15.2,15.2,15.2,15.2,1200
2015-12-08,15.25,15.25,15.23,15.23,15.23,2700
2015-12-09,15.23,15.23,15.23,15.23,15.23,400
2015-12-10,15.25,15.25,15.25,15.25,15.25,6000
2015-12-11,15.25,15.25,15.25,15.25,15.25,2200
2015-12-14,15.25,15.25,15.25,15.25,15.25,0
2015-12-15,15.25,15.25,15.25,15.25,15.25,0
2015-12-16,15.5,15.7,15.5,15.7,15.7,400
2015-12-17,15.7,15.7,15.5,15.5,15.5,200
2015-12-18,15.3,15.3,15.25,15.25,15.25,1700
2015-12-21,15.01,16.25,15.01,16.25,16.25,8200
2015-12-22,15.51,15.51,15.51,15.51,15.51,1100
2015-12-23,15.5,15.7,15.22,15.32,15.32,5900
2015-12-24,15.32,15.32,15.32,15.32,15.32,0
2015-12-28,15.32,15.32,15.32,15.32,15.32,0
2015-12-29,15.32,15.32,15.32,15.32,15.32,0
2015-12-30,15.1,16.49,15.1,16.059998999999998,16.059998999999998,2900
2015-12-31,15.3,16.1,15.2,16.09,16.09,6000
2016-01-04,16.09,16.09,16.09,16.09,16.09,0
2016-01-05,16.09,16.09,16.09,16.09,16.09,0
2016-01-06,15.96,15.96,15.6,15.75,15.75,2900
2016-01-07,15.75,15.75,15.0,15.35,15.35,25200
2016-01-08,15.35,15.43,15.35,15.35,15.35,43400
2016-01-11,15.1,15.5,15.1,15.5,15.5,8500
2016-01-12,15.5,15.5,15.5,15.5,15.5,1100
2016-01-13,15.49,15.5,15.35,15.4,15.4,27300
2016-01-14,15.4,15.4,15.4,15.4,15.4,5000
2016-01-15,16.9,16.9,15.01,15.55,15.55,36800
2016-01-19,15.55,15.55,15.55,15.55,15.55,0
2016-01-20,15.45,15.45,15.35,15.35,15.35,15600
2016-01-21,15.35,16.0,15.0,16.0,16.0,62100
2016-01-22,15.4,15.65,15.12,15.4,15.4,38200
2016-01-25,15.4,15.6,15.28,15.6,15.6,29500
2016-01-26,15.4,15.4,15.35,15.35,15.35,300
2016-01-27,15.48,15.48,15.48,15.48,15.48,500
2016-01-28,15.48,15.48,15.48,15.48,15.48,0
2016-01-29,15.75,16.0,15.49,16.0,16.0,3500
2016-02-01,15.96,16.0,15.56,15.9,15.9,7300
2016-02-02,15.9,15.9,15.9,15.9,15.9,0
2016-02-03,15.55,15.62,15.55,15.55,15.55,4000
2016-02-04,15.55,15.55,15.55,15.55,15.55,0
2016-02-05,15.55,15.55,15.55,15.55,15.55,2000
2016-02-08,15.9,15.9,15.0,15.0,15.0,1500
2016-02-09,15.0,15.0,15.0,15.0,15.0,2700
2016-02-10,15.0,15.0,15.0,15.0,15.0,400
2016-02-11,15.1,15.1,14.75,14.9,14.9,1300
2016-02-12,14.9,14.9,14.9,14.9,14.9,0
2016-02-16,15.0,15.0,15.0,15.0,15.0,900
2016-02-17,15.09,15.09,15.09,15.09,15.09,100
