Date,Open,High,Low,Close,Adj Close,Volume
2016-01-20,12.0,17.48,12.0,16.531,16.531,6500
2016-01-21,16.5,17.290001,13.5,16.370001000000002,16.370001000000002,7200
2016-01-22,16.4,16.75,15.341,15.74,15.74,8600
2016-01-25,11.34,14.66,11.34,14.06,14.06,2600
2016-01-26,14.301,14.301,14.1,14.15,14.15,2000
2016-01-27,13.573,13.573,13.573,13.573,13.573,300
2016-01-28,13.99,14.0,13.99,14.0,14.0,600
2016-01-29,13.9,13.9,13.9,13.9,13.9,300
2016-02-01,13.25,13.99,12.27,12.4,12.4,16800
2016-02-02,12.7,12.7,10.47,11.83,11.83,4600
2016-02-03,10.75,10.75,7.8,8.0,8.0,19600
2016-02-04,8.0,8.0,5.65,6.275,6.275,40800
2016-02-05,6.26,7.4,6.24,7.28,7.28,28100
2016-02-08,8.29,8.29,7.06,7.86,7.86,8000
2016-02-09,8.024,8.15,8.002,8.004,8.004,3900
2016-02-10,8.0,8.01,7.9,7.9,7.9,1600
2016-02-11,7.94,7.94,6.95,6.95,6.95,6400
2016-02-12,6.25,6.85,6.25,6.85,6.85,1500
2016-02-16,7.43,8.29,7.43,7.641,7.641,3300
2016-02-17,8.24,8.3,7.84,7.87,7.87,5000
2016-02-18,8.3,8.53,8.3,8.31,8.31,4700
2016-02-19,8.8,8.8,8.255,8.372,8.372,2500
2016-02-22,8.37,8.9,8.37,8.864,8.864,9500
2016-02-23,8.86,8.916,8.7,8.85,8.85,2200
2016-02-24,8.107,8.9,8.03,8.9,8.9,16200
2016-02-25,8.32,8.9,8.14,8.622,8.622,17500
2016-02-26,8.95,8.979,8.95,8.963,8.963,1700
2016-02-29,8.89,8.9,8.383,8.88,8.88,7000
2016-03-01,8.21,8.41,8.01,8.01,8.01,1200
2016-03-02,8.104,8.42,8.06,8.328,8.328,5300
2016-03-03,8.26,8.3,8.06,8.06,8.06,2400
2016-03-04,8.18,8.18,8.18,8.18,8.18,600
2016-03-07,8.2,8.2,7.7,7.895,7.895,1600
2016-03-08,7.921,7.99,7.921,7.99,7.99,1300
2016-03-09,7.7,7.86,7.31,7.808,7.808,5900
2016-03-10,7.7,7.73,7.45,7.52,7.52,2700
2016-03-11,7.65,7.75,7.08,7.177,7.177,12700
2016-03-14,7.06,7.268,6.66,6.771,6.771,19100
2016-03-15,6.24,6.71,6.24,6.3,6.3,2600
2016-03-16,6.518,6.6,6.31,6.522,6.522,2400
2016-03-17,6.56,6.56,6.0,6.2,6.2,10400
2016-03-18,6.77,6.78,6.28,6.29,6.29,2600
2016-03-21,6.3,6.35,6.0,6.35,6.35,11400
2016-03-22,6.4,7.0,6.2,6.2,6.2,8600
2016-03-23,6.0,6.379,6.0,6.112,6.112,1200
2016-03-24,6.0,6.39,6.0,6.39,6.39,9400
2016-03-28,6.38,6.5,5.85,6.07,6.07,42400
2016-03-29,6.0,6.0,5.8,5.8,5.8,18400
2016-03-30,5.98,6.05,5.678,6.05,6.05,8300
2016-03-31,6.0,6.0,5.02,5.43,5.43,7400
2016-04-01,5.06,5.68,5.06,5.53,5.53,10100
2016-04-04,5.4,5.78,4.94,5.4,5.4,43600
2016-04-05,5.6,6.05,5.31,5.45,5.45,16300
2016-04-06,5.63,5.63,4.66,5.455,5.455,10100
2016-04-07,5.37,5.98,5.05,5.42,5.42,26300
2016-04-08,5.35,5.89,4.98,5.53,5.53,35300
2016-04-11,5.78,5.78,4.98,5.01,5.01,16500
2016-04-12,5.34,5.538,5.0,5.0,5.0,11700
2016-04-13,5.17,5.35,5.03,5.03,5.03,17100
2016-04-14,5.0,5.6,5.0,5.05,5.05,32200
2016-04-15,5.1,5.6,5.03,5.19,5.19,77000
2016-04-18,5.36,5.6,5.06,5.3,5.3,72000
2016-04-19,5.489,5.84,5.43,5.56,5.56,69200
2016-04-20,5.76,5.98,5.53,5.75,5.75,28500
2016-04-21,5.53,6.12,5.47,5.77,5.77,56200
2016-04-22,5.71,6.2,5.61,5.86,5.86,68600
2016-04-25,5.99,6.18,5.62,6.11,6.11,173600
2016-04-26,6.1,6.2,5.517,5.64,5.64,33100
2016-04-27,5.53,5.66,5.37,5.5,5.5,22000
2016-04-28,5.47,5.9,4.95,5.0,5.0,46500
2016-04-29,4.99,5.6,4.95,5.02,5.02,98500
2016-05-02,4.96,7.59,4.96,6.75,6.75,268900
2016-05-03,6.2,7.49,6.2,6.98,6.98,224800
2016-05-04,7.19,9.49,6.87,9.18,9.18,319600
2016-05-05,9.0,9.79,8.48,9.3,9.3,282000
2016-05-06,9.4,9.4,7.395,7.59,7.59,62600
2016-05-09,7.48,8.9,6.488,8.7,8.7,180600
2016-05-10,8.67,8.8,7.8,7.85,7.85,79700
2016-05-11,7.64,8.3,7.64,8.0,8.0,201300
2016-05-12,7.8,8.345,7.5,7.82,7.82,33400
2016-05-13,7.62,8.49,7.62,8.13,8.13,53200
2016-05-16,8.06,8.12,7.755,8.0,8.0,26400
2016-05-17,7.95,7.95,7.5,7.6,7.6,2900
2016-05-18,7.8,8.29,7.35,7.42,7.42,93100
2016-05-19,7.54,7.6,6.38,6.39,6.39,80600
2016-05-20,6.32,7.0,6.145,6.2,6.2,108200
2016-05-23,6.19,6.26,4.82,5.3,5.3,228900
2016-05-24,5.0,5.49,4.66,4.99,4.99,108000
2016-05-25,5.01,5.3,4.99,5.0,5.0,73000
2016-05-26,5.0,5.28,4.85,5.01,5.01,85700
2016-05-27,5.0,5.56,5.0,5.0,5.0,92000
2016-05-31,5.01,5.24,4.96,5.0,5.0,109100
2016-06-01,5.0,5.1,4.975,5.0,5.0,51600
2016-06-02,5.065,5.07,4.99,5.0,5.0,76700
2016-06-03,5.0,5.01,4.8,4.87,4.87,18200
2016-06-06,5.08,5.5,5.02,5.45,5.45,51800
2016-06-07,5.38,6.495,5.38,6.22,6.22,155100
2016-06-08,6.31,7.0,6.31,6.37,6.37,78500
2016-06-09,6.43,6.889,6.23,6.4,6.4,22800
2016-06-10,6.75,6.79,6.15,6.15,6.15,6300
2016-06-13,6.12,7.04,5.8,5.99,5.99,53000
2016-06-14,5.99,6.47,5.77,5.99,5.99,11800
2016-06-15,6.0,6.17,5.68,5.68,5.68,7500
2016-06-16,6.0,6.07,5.96,5.96,5.96,5800
2016-06-17,6.19,6.25,5.515,6.0,6.0,17400
2016-06-20,5.98,6.79,5.792,6.24,6.24,255600
2016-06-21,6.16,6.53,5.82,5.99,5.99,142300
2016-06-22,6.33,6.58,6.0,6.05,6.05,95900
2016-06-23,6.07,6.39,5.93,6.1,6.1,40700
