Date,Open,High,Low,Close,Adj Close,Volume
2016-07-26,6.14,6.14,5.85,5.85,5.85,400
2016-07-27,5.705,5.705,5.705,5.705,5.705,100
2016-07-28,6.5,6.5,5.75,6.0,6.0,4100
2016-07-29,6.12,6.12,6.114,6.114,6.114,300
2016-08-01,6.15,6.35,6.15,6.35,6.35,2700
2016-08-02,6.25,6.25,6.159,6.159,6.159,300
2016-08-03,6.159,6.159,6.159,6.159,6.159,0
2016-08-04,6.159,6.159,6.159,6.159,6.159,0
2016-08-05,6.12,6.55,6.12,6.355,6.355,7000
2016-08-08,6.4,6.4,6.4,6.4,6.4,1000
2016-08-09,6.389,6.5,6.389,6.49,6.49,5100
2016-08-10,6.42,6.463,6.42,6.463,6.463,1300
2016-08-11,6.55,6.69,6.55,6.55,6.55,800
2016-08-12,6.55,6.55,6.435,6.5,6.5,5700
2016-08-15,6.5,6.55,6.388,6.55,6.55,7600
2016-08-16,6.55,6.55,6.408,6.408,6.408,400
2016-08-17,6.5,6.5,6.4,6.4,6.4,10300
2016-08-18,6.49,6.49,6.49,6.49,6.49,200
2016-08-19,6.5,6.5,6.5,6.5,6.5,400
2016-08-22,6.49,6.5,6.28,6.28,6.28,6900
2016-08-23,6.28,6.37,6.28,6.37,6.37,3300
2016-08-24,6.28,6.47,6.25,6.25,6.25,29100
2016-08-25,6.37,6.37,6.22,6.29,6.29,10100
2016-08-26,6.132,6.132,6.132,6.132,6.132,1100
2016-08-29,6.27,6.27,6.16,6.16,6.16,600
2016-08-30,6.3,6.3,6.3,6.3,6.3,100
2016-08-31,6.3,6.3,6.3,6.3,6.3,500
2016-09-01,6.3,6.3,6.3,6.3,6.3,0
2016-09-02,6.3,6.3,6.3,6.3,6.3,1000
2016-09-06,6.29,6.31,6.15,6.15,6.15,6800
2016-09-07,6.29,6.3,6.244,6.285,6.285,400
2016-09-08,6.285,6.285,6.285,6.285,6.285,0
2016-09-09,6.285,6.285,6.285,6.285,6.285,0
2016-09-12,6.215,6.215,6.15,6.15,6.15,400
2016-09-13,6.15,6.15,6.121,6.13,6.13,3200
2016-09-14,6.13,6.13,6.13,6.13,6.13,0
2016-09-15,6.13,6.13,6.13,6.13,6.13,0
2016-09-16,6.12,6.3,6.05,6.3,6.3,15800
2016-09-19,6.3,6.3,6.249,6.249,6.249,5200
2016-09-20,6.249,6.249,6.249,6.249,6.249,0
2016-09-21,6.056,6.2,6.056,6.2,6.2,600
2016-09-22,6.201,6.201,6.201,6.201,6.201,200
2016-09-23,6.29,6.29,6.29,6.29,6.29,300
2016-09-26,6.29,6.29,6.29,6.29,6.29,0
2016-09-27,6.2,6.225,6.2,6.225,6.225,1300
2016-09-28,6.15,6.16,6.15,6.16,6.16,200
2016-09-29,6.2,6.2,6.15,6.15,6.15,3000
2016-09-30,6.188,6.28,6.15,6.15,6.15,1200
2016-10-03,6.3,6.3,6.22,6.22,6.22,4200
2016-10-04,6.25,6.3,6.25,6.29,6.29,4600
2016-10-05,5.68,6.3,5.68,6.3,6.3,600
2016-10-06,6.04,6.138,6.02,6.138,6.138,500
2016-10-07,6.138,6.138,6.138,6.138,6.138,0
2016-10-10,6.49,6.49,6.18,6.18,6.18,400
2016-10-11,6.3,6.3,6.08,6.3,6.3,800
2016-10-12,6.33,6.35,6.33,6.35,6.35,300
2016-10-13,6.25,6.25,5.805,5.805,5.805,500
2016-10-14,6.141,6.141,6.07,6.07,6.07,700
2016-10-17,6.07,6.07,6.07,6.07,6.07,0
2016-10-18,6.07,6.07,6.07,6.07,6.07,0
2016-10-19,6.33,6.33,5.85,5.855,5.855,2000
2016-10-20,6.25,6.25,6.098,6.098,6.098,300
2016-10-21,6.35,6.35,6.35,6.35,6.35,200
2016-10-24,6.31,6.35,6.31,6.35,6.35,1700
2016-10-25,6.35,6.35,6.35,6.35,6.35,0
2016-10-26,6.31,6.31,5.85,5.854,5.854,1500
2016-10-27,6.31,6.327,6.3,6.3,6.3,600
2016-10-28,6.3,6.3,6.3,6.3,6.3,300
2016-10-31,6.496,6.496,6.496,6.496,6.496,200
2016-11-01,6.3,6.3,5.85,6.03,6.03,1200
2016-11-02,6.03,6.03,6.03,6.03,6.03,0
2016-11-03,6.03,6.03,6.03,6.03,6.03,0
2016-11-04,6.03,6.3,6.03,6.3,6.3,4300
2016-11-07,6.3,6.3,6.157,6.157,6.157,700
2016-11-08,6.3,6.3,6.3,6.3,6.3,200
2016-11-09,6.139,6.139,6.139,6.139,6.139,1100
2016-11-10,6.139,6.139,6.139,6.139,6.139,0
2016-11-11,6.25,6.25,6.041,6.041,6.041,1200
2016-11-14,6.041,6.041,6.041,6.041,6.041,0
2016-11-15,6.023,6.023,5.85,5.85,5.85,2000
2016-11-16,5.86,5.964,5.67,5.67,5.67,8300
2016-11-17,5.88,5.88,5.86,5.86,5.86,500
2016-11-18,5.29,5.29,5.29,5.29,5.29,200
2016-11-21,5.422,5.422,5.293,5.293,5.293,2500
2016-11-22,5.1,5.32,5.1,5.232,5.232,3100
2016-11-23,5.27,5.27,4.95,4.95,4.95,1300
2016-11-25,5.59,5.59,5.22,5.22,5.22,500
2016-11-28,5.03,6.1,4.671,6.1,6.1,1300
2016-11-29,6.0,6.0,5.753,5.753,5.753,13900
2016-11-30,6.0,6.0,6.0,6.0,6.0,1700
2016-12-01,6.0,6.0,5.5,5.5,5.5,500
2016-12-02,5.8,6.0,5.8,6.0,6.0,5200
2016-12-05,5.5,5.505,5.5,5.505,5.505,5300
2016-12-06,5.944,5.944,5.944,5.944,5.944,200
2016-12-07,5.55,5.589,5.55,5.589,5.589,400
2016-12-08,5.75,5.75,5.75,5.75,5.75,500
2016-12-09,5.98,6.0,5.85,6.0,6.0,1600
2016-12-12,6.0,6.0,6.0,6.0,6.0,0
2016-12-13,6.0,6.0,6.0,6.0,6.0,0
2016-12-14,5.69,5.69,5.69,5.69,5.69,300
2016-12-15,5.69,5.69,5.69,5.69,5.69,0
2016-12-16,5.595,5.595,5.5,5.55,5.55,5600
2016-12-19,5.55,5.55,5.5,5.5,5.5,1000
2016-12-20,5.5,5.5,5.25,5.494,5.494,4300
2016-12-21,5.494,5.494,5.494,5.494,5.494,0
2016-12-22,5.266,5.266,5.266,5.266,5.266,500
2016-12-23,5.5,5.5,5.5,5.5,5.5,1400
2016-12-27,5.5,5.5,5.5,5.5,5.5,100
2016-12-28,5.26,5.28,5.217,5.25,5.25,4400
2016-12-29,5.2,5.25,5.1,5.1,5.1,5600
2016-12-30,5.248,5.25,5.23,5.25,5.25,1900
2017-01-03,5.25,5.25,5.239,5.24,5.24,2300
2017-01-04,5.05,5.23,5.05,5.07,5.07,1600
2017-01-05,5.07,5.07,5.07,5.07,5.07,0
