Date,Open,High,Low,Close,Adj Close,Volume
2013-03-27,15.499998999999999,15.499998999999999,10.0,14.9,14.9,400.0
2013-03-28,14.9,14.9,14.9,14.9,14.9,0.0
2013-04-01,14.8,14.8,12.5,12.5,12.5,100.0
2013-04-02,12.5,13.5,12.5,13.5,13.5,300.0
2013-04-03,13.5,14.9,13.5,14.9,14.9,600.0
2013-04-04,15.0,15.0,15.0,15.0,15.0,300.0
2013-04-05,15.0,15.0,15.0,15.0,15.0,0.0
2013-04-08,15.0,20.0,15.0,20.0,20.0,500.0
2013-04-09,15.0,15.0,15.0,15.0,15.0,200.0
2013-04-10,20.0,20.0,20.0,20.0,20.0,0.0
2013-04-11,20.0,20.0,20.0,20.0,20.0,200.0
2013-04-12,20.0,20.0,20.0,20.0,20.0,0.0
2013-04-15,20.0,22.5,20.0,22.5,22.5,100.0
2013-04-16,20.1,22.4,20.1,22.4,22.4,100.0
2013-04-17,20.200001,22.4,20.200001,22.4,22.4,100.0
2013-04-18,20.999998,20.999998,20.999998,20.999998,20.999998,300.0
2013-04-19,22.0,22.0,22.0,22.0,22.0,0.0
2013-04-22,20.0,22.0,20.0,22.0,22.0,200.0
2013-04-23,20.0,20.0,20.0,20.0,20.0,100.0
2013-04-24,20.0,20.999998,20.0,20.999998,20.999998,0.0
2013-04-25,17.5,20.999998,17.5,20.999998,20.999998,200.0
2013-04-26,18.5,18.5,17.5,17.5,17.5,500.0
2013-04-29,20.999998,20.999998,20.999998,20.999998,20.999998,0.0
2013-04-30,19.5,22.0,19.5,20.999998,20.999998,100.0
2013-05-01,17.0,17.5,17.0,17.5,17.5,1600.0
2013-05-02,17.5,17.5,16.5,16.5,16.5,600.0
2013-05-03,17.0,17.0,17.0,17.0,17.0,200.0
2013-05-06,18.0,18.0,17.5,17.5,17.5,100.0
2013-05-07,17.0,17.0,17.0,17.0,17.0,0.0
2013-05-08,17.0,17.0,17.0,17.0,17.0,0.0
2013-05-09,17.0,17.0,17.0,17.0,17.0,0.0
