Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,17.200001,17.5,16.950001,16.750010999999994,17.4,87800
2010-01-05,17.450001,17.75,17.25,16.701878,17.35,118100
2010-01-06,17.299999,17.5,16.6,16.028026999999998,16.65,166600
2010-01-07,16.65,17.700001,16.049999,17.038805,17.700001,353100
2010-01-08,17.9,19.049999,17.75,18.242113,18.950001,332400
2010-01-11,19.049999,20.1,18.9,18.675297,19.4,524400
2010-01-12,19.65,19.85,19.25,18.819696,19.549999,139100
2010-01-13,19.6,20.0,19.25,19.204752,19.950001,172800
2010-01-14,19.9,21.25,19.9,20.21553,21.0,206100
2010-01-15,21.200001,21.35,20.75,20.359928,21.15,358400
2010-01-19,21.15,21.85,20.549999,21.033783,21.85,218800
2010-01-20,21.65,23.5,21.5,22.381479,23.25,388300
2010-01-21,23.25,24.9,23.25,22.718409,23.6,357900
2010-01-22,23.4,23.950001,22.15,21.563231,22.4,164400
2010-01-25,22.6,22.85,20.6,20.167398,20.950001,180600
2010-01-26,20.799999,22.6,20.5,21.46697,22.299999,259600
2010-01-27,22.15,22.549999,21.25,21.707624,22.549999,183900
2010-01-28,22.6,22.799999,21.4,21.418839,22.25,163100
2010-01-29,22.299999,24.950001,21.5,21.611364,22.450001,485600
2010-02-01,22.299999,22.5,21.4,20.841249,21.65,118100
2010-02-02,21.6,21.9,20.950001,20.167398,20.950001,127800
2010-02-03,20.799999,20.950001,19.700001,19.34915,20.1,146700
2010-02-04,19.9,20.049999,19.4,19.15662,19.9,210800
2010-02-05,19.85,20.200001,19.049999,18.819696,19.549999,235300
2010-02-08,19.6,19.65,18.549999,18.530899,19.25,316100
2010-02-09,19.450001,19.700001,19.15,18.771563,19.5,177300
2010-02-10,19.35,20.9,19.299999,20.119263,20.9,116100
2010-02-11,20.75,20.950001,19.700001,19.252886,20.0,109400
2010-02-12,19.799999,20.0,19.5,18.867828,19.6,87400
2010-02-16,19.799999,19.950001,19.5,19.10849,19.85,38000
2010-02-17,20.0,20.5,19.9,19.734209,20.5,83700
2010-02-18,20.35,21.25,20.1,20.21553,21.0,124100
2010-02-19,21.0,21.6,20.5,20.600588,21.4,126600
2010-02-22,21.549999,21.75,21.25,20.744984,21.549999,72500
2010-02-23,21.549999,21.6,20.65,20.552458,21.35,110800
2010-02-24,21.35,22.15,21.1,20.696854,21.5,81900
2010-02-25,21.25,21.5,20.450001,20.504322,21.299999,95500
2010-02-26,21.25,21.450001,20.5,19.974871,20.75,119700
2010-03-01,20.85,21.35,20.700001,20.023001,20.799999,102500
2010-03-02,20.950001,21.049999,20.450001,19.734209,20.5,156400
2010-03-03,20.6,20.9,20.299999,19.974871,20.75,120700
2010-03-04,20.799999,21.15,20.65,20.071135,20.85,79700
2010-03-05,20.950001,21.4,20.950001,20.408058,21.200001,98700
2010-03-08,21.25,21.65,21.200001,20.841249,21.65,145700
2010-03-09,21.299999,22.049999,21.200001,21.226307,22.049999,123900
2010-03-10,22.0,23.0,22.0,21.75576,22.6,143800
2010-03-11,22.5,24.35,22.450001,23.103462,24.0,235700
2010-03-12,24.15,24.299999,23.799999,23.151598,24.049999,140000
2010-03-15,24.049999,24.200001,23.200001,23.151598,24.049999,154400
2010-03-16,24.200001,24.200001,23.049999,23.055332,23.950001,77700
2010-03-17,24.0,24.450001,23.700001,23.344124,24.25,142200
2010-03-18,24.25,25.0,23.1,22.381479,23.25,148500
2010-03-19,23.299999,23.9,21.85,22.670275,23.549999,291700
2010-03-22,23.200001,23.35,22.299999,22.09269,22.950001,242800
2010-03-23,22.9,23.25,22.25,22.140818,23.0,227600
2010-03-24,22.9,23.1,22.65,21.996422,22.85,74500
2010-03-25,22.950001,24.4,22.75,22.09269,22.950001,144400
2010-03-26,23.0,24.200001,22.85,22.766535,23.65,154600
2010-03-29,23.700001,23.700001,22.1,21.563231,22.4,162400
2010-03-30,22.450001,22.85,22.1,21.515102,22.35,112600
