Date,Open,High,Low,Close,Adj Close,Volume
2013-08-01,13.5,13.7,13.29,11.591424,13.5,3359300
2013-08-02,13.5,13.75,13.38,11.806078,13.75,379500
2013-08-05,13.75,13.75,13.48,11.806078,13.75,182900
2013-08-06,13.75,13.9,13.7,11.883356,13.84,243900
2013-08-07,13.8,13.85,13.73,11.806078,13.75,157700
2013-08-08,13.75,13.78,13.74,11.806078,13.75,119200
2013-08-09,13.75,13.89,13.75,11.849011,13.8,115100
2013-08-12,13.8,13.8,13.74,11.849011,13.8,138200
2013-08-13,13.62,13.92,13.6,11.952044,13.92,169800
2013-08-14,13.91,13.91,13.77,11.891939,13.85,150600
2013-08-15,13.9,13.97,13.75,11.994977,13.97,206600
2013-08-16,13.95,14.02,13.88,11.977803999999999,13.95,403600
2013-08-19,13.83,13.87,13.74,11.883356,13.84,87000
2013-08-20,13.85,13.88,13.81,11.891939,13.85,94200
2013-08-21,13.85,13.87,13.82,11.891939,13.85,94400
2013-08-22,13.87,14.01,13.85,12.020736999999999,14.0,237900
2013-08-23,14.02,14.05,13.55,11.771734,13.71,81700
2013-08-26,13.78,14.0,13.69,11.831839,13.78,111300
2013-08-27,13.7,13.88,13.65,11.866182,13.82,60100
2013-08-28,13.89,14.05,13.6,11.917701,13.88,94100
2013-08-29,13.97,14.01,13.71,11.797493,13.74,56500
2013-08-30,13.8,13.84,13.65,11.728802,13.66,11500
2013-09-03,13.75,13.8,13.22,11.600011,13.51,135900
2013-09-04,13.45,13.46,13.27,11.557078,13.46,45100
2013-09-05,13.31,13.52,13.27,11.600011,13.51,35900
2013-09-06,13.52,13.52,13.12,11.514146,13.41,140100
2013-09-09,13.46,13.52,13.2,11.505561,13.4,53400
2013-09-10,13.27,13.51,13.27,11.591424,13.5,105200
2013-09-11,13.46,13.6,13.46,11.668699,13.59,29400
2013-09-12,13.6,13.61,13.48,11.660113,13.58,21000
2013-09-13,13.4,13.58,13.37,11.634354,13.55,29700
2013-09-16,13.61,13.61,13.38,11.57425,13.48,37000
2013-09-17,13.45,13.46,13.23,11.411112,13.29,43300
2013-09-18,13.19,13.19,12.75,11.076249,12.9,139100
2013-09-19,12.84,12.92,12.15,10.861594,12.65,430700
2013-09-20,12.65,12.68,12.18,10.741385000000001,12.51,123500
2013-09-23,12.55,12.63,12.45,10.775730000000001,12.55,66100
2013-09-24,12.54,12.55,12.43,10.689867999999999,12.45,42800
2013-09-25,12.44,12.44,12.15,10.432281,12.15,125100
2013-09-26,12.26,12.31,12.0,10.372177,12.08,71900
2013-09-27,12.09,12.18,12.0,10.389349000000001,12.1,34000
2013-09-30,12.0,12.18,12.0,10.423695,12.14,37900
2013-10-01,12.16,12.54,12.05,10.689867999999999,12.45,69300
2013-10-02,12.39,12.49,12.12,10.526731,12.26,48200
2013-10-03,12.22,12.27,12.0,10.346418,12.05,83600
2013-10-04,12.15,12.16,12.0,10.380764,12.09,47600
2013-10-07,12.01,12.02,11.75,10.260557,11.95,64900
2013-10-08,11.96,11.96,11.38,10.037313000000001,11.69,76200
2013-10-09,11.59,12.05,11.32,10.312073,12.01,45600
2013-10-10,12.05,13.1,11.82,11.076249,12.9,135100
2013-10-11,12.89,12.89,12.32,10.938869,12.74,43900
2013-10-14,12.54,13.02,12.54,11.136353,12.97,10800
2013-10-15,13.15,13.25,12.84,11.153524,12.99,28300
2013-10-16,13.01,13.12,12.89,11.162111999999999,13.0,38000
2013-10-17,12.83,13.07,12.38,11.162111999999999,13.0,61700
2013-10-18,13.0,13.37,12.77,11.445457000000001,13.33,50800
2013-10-21,13.24,13.25,13.01,11.359594,13.23,20800
2013-10-22,13.21,13.35,13.16,11.4197,13.3,32900
2013-10-23,13.3,13.38,13.0,11.325249000000001,13.19,32600
