Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,4.43,4.67,4.43,3.507286,4.65,1544000
2010-01-05,4.79,4.79,4.7,3.5977959999999998,4.77,870400
2010-01-06,4.79,4.8,4.73,3.567626,4.73,567600
2010-01-07,4.97,5.23,4.94,3.8240730000000003,5.07,4271200
2010-01-08,5.03,5.03,4.98,3.75619,4.98,2570000
2010-01-11,5.04,5.04,4.88,3.69585,4.9,925300
2010-01-12,4.86,4.9,4.76,3.6355089999999994,4.82,607100
2010-01-13,4.83,4.84,4.74,3.6430510000000003,4.83,501000
2010-01-14,4.85,4.9,4.74,3.6581370000000004,4.85,506500
2010-01-15,4.89,4.89,4.65,3.5449980000000005,4.7,3068300
2010-01-19,4.66,4.71,4.65,3.5374559999999997,4.69,1627000
2010-01-20,4.58,4.58,4.48,3.3941470000000002,4.5,1046200
2010-01-21,4.48,4.52,4.37,3.34135,4.43,761700
2010-01-22,4.32,4.35,4.15,3.160329,4.19,891800
2010-01-25,4.27,4.3,4.23,3.235754,4.29,585300
2010-01-26,4.2,4.21,4.1,3.099988,4.11,780400
2010-01-27,4.01,4.11,3.98,3.092446,4.1,1280300
2010-01-28,4.16,4.19,4.03,3.062275,4.06,784000
2010-01-29,4.07,4.07,3.89,2.941594,3.9,797600
2010-02-01,3.89,3.91,3.83,2.8963389999999998,3.84,1364100
2010-02-02,3.83,3.92,3.79,2.926509,3.88,3529700
2010-02-03,4.07,4.13,4.02,3.04719,4.04,1245300
2010-02-04,4.19,4.19,3.91,2.964222,3.93,1192600
2010-02-05,3.89,4.05,3.84,3.039648,4.03,810400
2010-02-08,4.05,4.17,4.05,3.054733,4.05,735400
2010-02-09,4.12,4.19,4.1,3.152786,4.18,679400
2010-02-10,4.25,4.25,4.18,3.160329,4.19,767800
2010-02-11,4.19,4.34,4.17,3.258382,4.32,818000
2010-02-12,4.24,4.41,4.21,3.326264,4.41,2108700
2010-02-16,4.43,4.43,4.34,3.311179,4.39,1330300
2010-02-17,4.32,4.47,4.32,3.37152,4.47,901200
2010-02-18,4.36,4.4,4.18,3.2810089999999996,4.35,605700
2010-02-19,4.34,4.41,4.29,3.2885519999999997,4.36,652600
2010-02-22,4.36,4.45,4.36,3.34135,4.43,1169800
2010-02-23,4.34,4.37,4.27,3.235754,4.29,1818300
2010-02-24,4.33,4.33,4.25,3.220669,4.27,511600
2010-02-25,4.18,4.18,4.04,3.1150729999999998,4.13,1105500
2010-02-26,4.08,4.08,3.97,3.032105,4.02,1970500
2010-03-01,4.11,4.3,4.11,3.205584,4.25,1110900
2010-03-02,4.3,4.31,4.13,3.152786,4.18,1761200
2010-03-03,4.13,4.15,4.06,3.069818,4.07,1636900
2010-03-04,4.07,4.1,4.05,3.069818,4.07,897300
2010-03-05,4.1,4.24,4.1,3.190499,4.23,1185500
2010-03-08,4.28,4.3,4.26,3.235754,4.29,569500
2010-03-09,4.21,4.34,4.21,3.250839,4.31,662700
2010-03-10,4.34,4.4,4.33,3.265924,4.33,919200
2010-03-11,4.3,4.33,4.23,3.243297,4.3,2085500
2010-03-12,4.29,4.31,4.26,3.228212,4.28,307900
2010-03-15,4.18,4.22,4.17,3.160329,4.19,624200
2010-03-16,4.2,4.3,4.19,3.243297,4.3,700600
2010-03-17,4.32,4.36,4.31,3.2810089999999996,4.35,462700
2010-03-18,4.38,4.47,4.37,3.3488919999999998,4.44,2119800
2010-03-19,4.3,4.49,4.3,3.243297,4.3,2870000
2010-03-22,4.45,4.48,4.35,3.3488919999999998,4.44,847300
2010-03-23,4.41,4.48,4.35,3.3790620000000002,4.48,1368900
2010-03-24,4.4,4.46,4.35,3.356435,4.45,819000
2010-03-25,4.45,4.52,4.45,3.3790620000000002,4.48,583000
2010-03-26,4.5,4.51,4.38,3.326264,4.41,921700
2010-03-29,4.37,4.45,4.36,3.333807,4.42,636100
