Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,11.9,11.9,11.74,7.1612160000000005,11.79,82800
2010-01-05,11.73,11.84,11.73,7.191588,11.84,58300
2010-01-06,11.8,11.88,11.71,7.167292999999999,11.8,130600
2010-01-07,11.75,11.86,11.75,7.203736999999999,11.86,70400
2010-01-08,11.85,11.88,11.82,7.197660000000001,11.85,48300
2010-01-11,11.96,11.96,11.85,7.252329,11.94,86800
2010-01-12,11.87,11.92,11.79,7.234103,11.91,97900
2010-01-13,11.95,11.97,11.84,7.264477,11.96,79000
2010-01-14,11.97,11.97,11.85,7.252329,11.94,70900
2010-01-15,11.95,11.99,11.92,7.258404,11.95,81600
2010-01-19,11.92,12.05,11.92,7.3191429999999995,12.05,58900
2010-01-20,11.99,12.04,11.97,7.276623,11.98,50800
2010-01-21,12.0,12.07,11.99,7.2887710000000006,12.0,118800
2010-01-22,12.02,12.03,11.95,7.258404,11.95,101900
2010-01-25,12.01,12.07,11.95,7.294845,12.01,58300
2010-01-26,12.07,12.07,11.92,7.258404,11.95,67500
2010-01-27,12.0,12.0,11.9,7.258404,11.95,91500
2010-01-28,11.97,11.99,11.89,7.252329,11.94,86800
2010-01-29,12.01,12.01,11.88,7.258404,11.95,62000
2010-02-01,12.01,12.02,11.94,7.300922,12.02,83900
2010-02-02,12.05,12.1,11.97,7.349514,12.1,50300
2010-02-03,12.1,12.1,12.0,7.306991,12.03,55900
2010-02-04,12.05,12.05,11.92,7.240181,11.92,67500
2010-02-05,11.99,11.99,11.61,7.155146,11.78,138000
2010-02-08,11.79,11.87,11.79,7.173369,11.81,80800
2010-02-09,11.91,11.98,11.86,7.240181,11.92,57800
2010-02-10,11.91,11.91,11.74,7.204764999999999,11.8,67200
2010-02-11,11.8,11.81,11.74,7.168133,11.74,98700
2010-02-12,11.76,11.81,11.74,7.210868,11.81,102700
2010-02-16,11.82,12.0,11.81,7.296352000000001,11.95,88700
2010-02-17,11.99,12.02,11.97,7.3207759999999995,11.99,84700
2010-02-18,11.93,11.99,11.86,7.2597190000000005,11.89,46100
2010-02-19,11.91,11.96,11.86,7.284142,11.93,91800
2010-02-22,11.97,11.99,11.91,7.290244,11.94,61900
2010-02-23,11.95,12.14,11.95,7.3451960000000005,12.03,102600
2010-02-24,11.97,12.14,11.97,7.406256,12.13,72200
2010-02-25,12.03,12.13,12.03,7.400149000000001,12.12,44100
2010-02-26,12.16,12.18,12.1,7.4306779999999995,12.17,84400
2010-03-01,12.17,12.27,12.15,7.4306779999999995,12.17,77200
2010-03-02,12.25,12.28,12.17,7.4306779999999995,12.17,103400
2010-03-03,12.19,12.24,12.14,7.418464999999999,12.15,109300
2010-03-04,12.16,12.21,12.14,7.418464999999999,12.15,83400
2010-03-05,12.19,12.45,12.07,7.601641000000001,12.45,127200
2010-03-08,12.25,12.27,12.2,7.47342,12.24,110100
2010-03-09,12.23,12.29,12.21,7.491735,12.27,79100
2010-03-10,12.22,12.27,12.18,7.448996000000001,12.2,82200
2010-03-11,12.16,12.19,12.15,7.471710000000001,12.17,60000
2010-03-12,12.23,12.23,12.18,7.508547999999999,12.23,49600
2010-03-15,12.16,12.24,12.16,7.508547999999999,12.23,92900
2010-03-16,12.26,12.26,12.18,7.502406,12.22,89400
2010-03-17,12.26,12.28,12.21,7.520826,12.25,121800
2010-03-18,12.27,12.28,12.21,7.502406,12.22,66900
2010-03-19,12.19,12.24,12.17,7.483988,12.19,80900
2010-03-22,12.14,12.24,12.14,7.508547999999999,12.23,99800
2010-03-23,12.23,12.26,12.22,7.514685000000001,12.24,55600
2010-03-24,12.28,12.28,12.2,7.490131,12.2,80100
2010-03-25,12.25,12.25,12.19,7.508547999999999,12.23,83200
2010-03-26,12.22,12.22,12.16,7.471710000000001,12.17,86800
2010-03-29,12.14,12.23,12.14,7.496268,12.21,72900
2010-03-30,12.23,12.23,12.12,7.465571000000001,12.16,101700
2010-03-31,12.2,12.21,12.13,7.496268,12.21,126500
2010-04-01,12.21,12.24,12.19,7.514685000000001,12.24,62100
2010-04-05,12.24,12.24,12.19,7.502406,12.22,85500
2010-04-06,12.14,12.22,12.14,7.471710000000001,12.17,79800
2010-04-07,12.17,12.17,12.08,7.447153999999999,12.13,48500
2010-04-08,12.12,12.18,12.12,7.447153999999999,12.13,54300
2010-04-09,12.18,12.18,12.14,7.465571000000001,12.16,47500
2010-04-12,12.18,12.19,12.13,7.483988,12.19,75800
2010-04-13,12.13,12.15,12.09,7.4759660000000006,12.11,71000
2010-04-14,12.1,12.15,12.07,7.488314999999999,12.13,74500
2010-04-15,12.09,12.12,12.06,7.4636190000000004,12.09,86400
2010-04-16,12.09,12.11,12.05,7.445098,12.06,75400
2010-04-19,12.08,12.08,12.03,7.445098,12.06,86200
2010-04-20,12.03,12.1,12.03,7.4697949999999995,12.1,80300
2010-04-21,12.06,12.14,12.06,7.482133,12.12,105800
2010-04-22,12.15,12.2,12.08,7.531522,12.2,65200
2010-04-23,12.13,12.2,12.13,7.531522,12.2,102000
2010-04-26,12.23,12.29,12.2,7.562392999999999,12.25,88600
2010-04-27,12.27,12.28,12.19,7.574735,12.27,80600
2010-04-28,12.3,12.33,12.28,7.611775,12.33,70900
2010-04-29,12.31,12.35,12.29,7.605608,12.32,33900
2010-04-30,12.35,12.4,12.34,7.654992999999999,12.4,53500
2010-05-03,12.36,12.48,12.35,7.7043800000000005,12.48,54600
2010-05-04,12.45,12.56,12.45,7.716727000000001,12.5,56100
2010-05-05,12.52,12.61,12.34,7.673512,12.43,58700
2010-05-06,12.45,12.5,12.07,7.716727000000001,12.5,78100
2010-05-07,12.49,12.49,12.2,7.599433,12.31,95000
2010-05-10,12.65,12.65,12.31,7.661164,12.41,75100
2010-05-11,12.4,12.55,12.35,7.722899000000001,12.51,60900
2010-05-12,12.52,12.52,12.38,7.733451,12.46,76600
2010-05-13,12.46,12.5,12.46,7.752072,12.49,59200
2010-05-14,12.4,12.4,12.17,7.646558,12.32,109100
2010-05-17,12.33,12.35,12.24,7.603114,12.25,34100
2010-05-18,12.3,12.4,12.21,7.590702,12.23,46600
2010-05-19,12.27,12.27,12.05,7.485188000000001,12.06,103300
2010-05-20,11.97,12.13,11.95,7.472771000000001,12.04,120000
2010-05-21,12.0,12.19,12.0,7.565872,12.19,62700
2010-05-24,12.24,12.37,12.19,7.677592999999999,12.37,60800
2010-05-25,12.23,12.34,12.2,7.658975,12.34,56200
2010-05-26,12.4,12.41,12.28,7.640353,12.31,72700
2010-05-27,12.39,12.39,12.22,7.590702,12.23,57300
2010-05-28,12.29,12.44,12.26,7.7210399999999995,12.44,75700
2010-06-01,12.37,12.37,12.22,7.646558,12.32,39800
2010-06-02,12.36,12.4,12.27,7.690003999999999,12.39,56900
2010-06-03,12.42,12.42,12.13,7.609319999999999,12.26,66700
2010-06-04,12.23,12.36,12.21,7.609319999999999,12.26,49900
2010-06-07,12.31,12.5,12.31,7.658975,12.34,67600
2010-06-08,12.4,12.44,12.36,7.7210399999999995,12.44,44700
2010-06-09,12.5,12.54,12.42,7.7210399999999995,12.44,75700
2010-06-10,12.46,12.55,12.46,7.758282,12.5,75100
2010-06-11,12.44,12.45,12.37,7.768886,12.45,66700
2010-06-14,12.45,12.56,12.41,7.837528999999999,12.56,33600
2010-06-15,12.63,12.64,12.44,7.787602000000001,12.48,55800
2010-06-16,12.5,12.59,12.46,7.793845,12.49,68500
2010-06-17,12.55,12.59,12.5,7.837528999999999,12.56,77700
