Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,15.1,15.1,15.04,11.229956,15.04,2500
2010-01-05,15.05,15.08,15.0,11.200082,15.0,4300
2010-01-06,15.08,15.1,14.91,11.155282000000001,14.94,12500
2010-01-07,15.0,15.0,14.9,11.140350999999999,14.92,7100
2010-01-08,14.92,14.92,14.92,11.140350999999999,14.92,0
2010-01-11,14.9,15.0,14.9,11.200082,15.0,8100
2010-01-12,14.96,15.04,14.96,11.170219,14.96,800
2010-01-13,14.89,14.99,14.89,11.246744999999999,14.99,7700
2010-01-14,14.95,14.95,14.9,11.179224000000001,14.9,3400
2010-01-15,14.9,14.92,14.9,11.186724,14.91,5700
2010-01-19,14.92,15.02,14.83,11.269255000000001,15.02,12100
2010-01-20,15.07,15.12,15.0,11.25425,15.0,7700
2010-01-21,15.0,15.1,15.0,11.329272,15.1,9700
2010-01-22,15.07,15.15,15.02,11.366793,15.15,2000
2010-01-25,15.13,15.13,15.02,11.351784,15.13,2200
2010-01-26,15.15,15.27,15.15,11.44182,15.25,8000
2010-01-27,15.15,15.15,15.01,11.359285,15.14,4900
2010-01-28,15.14,15.19,14.98,11.396799,15.19,1400
2010-01-29,15.18,15.18,15.02,11.344284,15.12,5700
2010-02-01,15.14,15.19,15.08,11.329272,15.1,2400
2010-02-02,15.08,15.16,15.08,11.374293,15.16,3800
2010-02-03,15.09,15.19,15.07,11.396799,15.19,2600
2010-02-04,15.21,15.21,15.21,11.411809,15.21,300
2010-02-05,15.13,15.4,15.13,11.546859,15.39,11500
2010-02-08,15.39,15.84,15.34,11.629387,15.5,10400
2010-02-09,15.55,15.8,15.45,11.59188,15.45,4100
2010-02-10,15.45,15.45,15.45,11.64615,15.45,0
2010-02-11,15.35,15.35,15.14,11.450161999999999,15.19,10500
2010-02-12,15.14,15.14,15.14,11.412472,15.14,300
2010-02-16,15.08,15.16,15.08,11.374781,15.09,1200
2010-02-17,15.11,15.11,15.1,11.389858,15.11,500
2010-02-18,15.1,15.12,15.09,11.397401,15.12,1500
2010-02-19,15.06,15.4,15.06,11.382322,15.1,9700
2010-02-22,15.1,15.46,15.06,11.472777,15.22,19600
2010-02-23,15.25,15.25,15.12,11.487855,15.24,1600
2010-02-24,15.17,15.4,15.15,11.608461,15.4,9100
2010-02-25,15.29,15.62,15.29,11.774291999999999,15.62,7000
2010-02-26,15.5,15.79,15.5,11.872291,15.75,6400
2010-03-01,15.85,15.9,15.75,11.872291,15.75,6100
2010-03-02,15.74,15.82,15.44,11.698915,15.52,11500
2010-03-03,15.55,15.67,15.5,11.729061999999999,15.56,2200
2010-03-04,15.58,15.73,15.44,11.68384,15.5,2900
2010-03-05,15.5,15.75,15.0,11.533076,15.3,42500
2010-03-08,15.3,15.31,15.3,11.533076,15.3,1400
2010-03-09,15.27,15.33,15.23,11.555693,15.33,19200
2010-03-10,15.23,15.3,15.23,11.533076,15.3,2200
2010-03-11,15.2,15.23,15.2,11.534593,15.23,1300
2010-03-12,15.17,15.2,15.12,11.51188,15.2,5200
2010-03-15,15.2,15.27,15.1,11.436135,15.1,6000
2010-03-16,15.1,15.29,15.1,11.580039999999999,15.29,7000
2010-03-17,15.26,15.29,15.1,11.54217,15.24,8700
2010-03-18,15.19,15.22,15.09,11.527023,15.22,11100
2010-03-19,15.21,15.39,15.16,11.519447,15.21,21200
2010-03-22,15.16,15.29,15.16,11.580039999999999,15.29,42500
2010-03-23,15.3,15.39,15.21,11.655774000000001,15.39,6200
2010-03-24,15.33,15.37,15.25,11.640624,15.37,8400
2010-03-25,15.3,15.37,15.3,11.640624,15.37,800
2010-03-26,15.27,15.44,15.27,11.670919,15.41,2700
2010-03-29,15.39,15.45,15.39,11.663343,15.4,2200
2010-03-30,15.47,15.53,15.35,11.625472,15.35,5100
2010-03-31,15.29,15.6,15.29,11.81482,15.6,10500
2010-04-01,15.61,15.61,15.51,11.81482,15.6,8300
2010-04-05,15.53,15.6,15.4,11.670919,15.41,4000
2010-04-06,15.48,15.54,15.41,11.69364,15.44,8400
2010-04-07,15.41,15.45,15.39,11.701215,15.45,5900
2010-04-08,15.45,15.45,15.3,11.610330000000001,15.33,1800
2010-04-09,15.28,15.28,15.21,11.527023,15.22,2800
2010-04-12,15.22,15.23,15.12,11.527023,15.22,9100
2010-04-13,15.28,15.28,15.12,11.558987,15.19,9900
2010-04-14,15.26,15.26,15.26,11.612248,15.26,200
2010-04-15,15.2,15.3,15.2,11.642692,15.3,1900
2010-04-16,15.23,15.31,15.23,11.597033999999999,15.24,1300
2010-04-19,15.23,15.25,15.16,11.604639,15.25,7400
2010-04-20,15.21,15.25,15.15,11.574200999999999,15.21,6900
2010-04-21,15.15,15.24,15.14,11.589419,15.23,8800
2010-04-22,15.15,15.25,15.14,11.604639,15.25,5400
2010-04-23,15.2,15.2,15.04,11.513325,15.13,9600
2010-04-26,15.06,15.18,15.06,11.551374000000001,15.18,11200
2010-04-27,15.15,15.24,15.15,11.597033999999999,15.24,14500
2010-04-28,15.16,15.24,15.16,11.597033999999999,15.24,200
2010-04-29,15.2,15.25,15.17,11.604639,15.25,6800
2010-04-30,15.16,15.33,15.16,11.665519,15.33,6300
