Date,Open,High,Low,Close,Adj Close,Volume
2010-01-22,13.3,13.3,12.88,11.260508,12.95,27200
2010-01-25,13.25,13.25,12.96,11.33007,13.03,9700
2010-01-26,12.59,12.83,12.55,11.043123,12.7,40000
2010-01-27,12.48,12.55,12.36,10.877911,12.51,5300
2010-01-28,12.62,12.7,12.42,10.938778,12.58,13100
2010-01-29,12.82,12.84,12.56,10.921389,12.56,9600
2010-02-01,12.89,13.02,12.89,11.295288000000001,12.99,45100
2010-02-02,12.96,13.1,12.89,11.33007,13.03,18100
2010-02-03,13.22,13.23,13.03,11.417025,13.13,593600
2010-02-04,12.88,12.88,12.49,10.86052,12.49,70000
2010-02-05,12.33,12.4,12.06,10.721394,12.33,28200
2010-02-08,12.28,12.45,12.2,10.608355,12.2,202800
2010-02-09,12.5,12.72,12.4,10.886608,12.52,37500
2010-02-10,12.69,12.81,12.55,10.956169000000001,12.6,58300
2010-02-11,12.83,13.05,12.79,11.338766,13.04,4700
2010-02-12,12.89,12.89,12.73,11.173554,12.85,12200
2010-02-16,12.91,13.09,12.91,11.382242,13.09,5400
2010-02-17,13.12,13.13,13.03,11.399632,13.11,5900
2010-02-18,13.05,13.1,12.97,11.390939,13.1,7300
2010-02-19,12.84,12.98,12.84,11.243116,12.93,33000
2010-02-22,12.89,12.93,12.86,11.199639999999999,12.88,6100
2010-02-23,12.86,12.86,12.67,11.043123,12.7,10100
2010-02-24,12.86,13.07,12.86,11.277898,12.97,12000
2010-02-25,12.75,12.81,12.71,11.121381,12.79,8000
2010-02-26,12.93,13.08,12.92,11.364852,13.07,12500
2010-03-01,13.47,13.52,13.46,11.738752999999999,13.5,19700
2010-03-02,13.72,13.78,13.67,11.921355,13.71,52100
2010-03-03,13.74,13.87,13.68,11.938744999999999,13.73,467800
2010-03-04,13.52,13.54,13.43,11.764839,13.53,12400
2010-03-05,13.77,13.9,13.72,12.051785,13.86,23100
2010-03-08,13.99,14.07,13.95,12.190913,14.02,561400
2010-03-09,14.02,14.26,14.02,12.269169999999999,14.11,54800
2010-03-10,14.23,14.27,14.15,12.338734,14.19,124400
2010-03-11,14.01,14.1,13.94,12.260475999999999,14.1,14100
2010-03-12,14.0,14.02,13.9,12.103958,13.92,11700
2010-03-15,13.79,13.83,13.71,12.025701,13.83,16900
2010-03-16,13.68,13.85,13.68,12.043091,13.85,25900
2010-03-17,14.02,14.14,13.99,12.208302999999999,14.04,13000
2010-03-18,14.05,14.05,13.97,12.147436,13.97,4300
2010-03-19,13.88,14.02,13.88,12.069177,13.88,7800
2010-03-22,13.73,13.92,13.73,12.060482,13.87,17300
2010-03-23,13.78,13.81,13.68,11.999613,13.8,8100
2010-03-24,13.75,13.75,13.62,11.843097,13.62,10600
2010-03-25,13.7,13.74,13.5,11.747449000000001,13.51,17400
2010-03-26,13.77,13.84,13.65,11.973527,13.77,5000
2010-03-29,14.0,14.06,13.96,12.225695,14.06,12000
2010-03-30,14.2,14.33,14.2,12.451774,14.32,16600
2010-03-31,14.26,14.34,14.2,12.399602999999999,14.26,10300
2010-04-01,14.58,14.66,14.54,12.695243,14.6,13800
2010-04-05,14.65,14.83,14.65,12.843065,14.77,4100
2010-04-06,14.66,14.84,14.66,12.886541000000001,14.82,11400
2010-04-07,14.89,14.89,14.72,12.869152,14.8,11100
2010-04-08,14.78,14.9,14.66,12.903934,14.84,10500
2010-04-09,14.85,15.0,14.82,13.025667,14.98,530900
