Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,10.044931,10.142560000000001,9.925607000000001,4.224983,9.996117,3202800
2010-01-05,10.055779,10.175103,10.034083,4.296048000000001,10.164255,4312200
2010-01-06,10.082898,10.093745,9.865945,4.2479059999999995,10.050355,3758100
2010-01-07,9.979845,9.979845,9.719501,4.149332,9.81713,1933200
2010-01-08,9.768315,9.947302,9.719501,4.186011,9.903912,2944900
2010-01-11,9.903912,9.952726,9.730349,4.156209,9.833402,4031200
2010-01-12,9.638144,9.855097,9.545938,4.142455,9.800858,4380900
2010-01-13,9.800858,9.849673,9.573058,4.1057760000000005,9.714077,3642500
2010-01-14,9.643568,9.84425,9.415767,3.981982,9.42119,4521000
2010-01-15,9.410343,9.442886,9.182542,3.90404,9.23678,3646100
2010-01-19,9.07949,9.318138000000001,9.008980000000001,3.933841,9.30729,3618100
2010-01-20,9.101185000000001,9.204238,8.987285,3.8719449999999997,9.160847,5625600
2010-01-21,9.128304,9.182542,8.905927,3.7962949999999998,8.981860000000001,5352000
2010-01-22,8.86796,9.008980000000001,8.726939999999999,3.697719,8.748636,4828400
2010-01-25,8.916775,8.916775,8.585921,3.683965,8.716092999999999,3277300
2010-01-26,8.651007,9.177118,8.64016,3.8260959999999997,9.05237,5172800
2010-01-27,8.981860000000001,9.063217999999999,8.835417,3.8123419999999997,9.019827000000001,6473100
2010-01-28,9.084913,9.084913,8.732365,3.7985870000000004,8.987285,4003300
2010-01-29,9.23678,9.23678,8.949318,3.8215120000000002,9.041523,4737900
2010-02-01,9.095761,9.345257,9.05237,3.9155019999999996,9.2639,4697600
2010-02-02,9.258476,9.258476,9.025250999999999,3.865068,9.144575,3242300
2010-02-03,9.041523,9.07949,8.878808,3.7756629999999998,8.933046000000001,3070500
2010-02-04,8.732365,8.764908,8.434053,3.569342,8.444901,5257800
2010-02-05,8.56965,8.819146,8.347273,3.720644,8.802875,6607800
2010-02-08,8.688972999999999,8.829993,8.61304,3.6541629999999996,8.645583,4933400
2010-02-09,8.933046000000001,9.090337,8.82457,3.7664940000000002,8.911351,4481900
2010-02-10,8.933046000000001,8.981860000000001,8.759483,3.752737,8.878808,3659500
2010-02-11,8.89508,9.231357000000001,8.819146,3.890285,9.204238,4161300
2010-02-12,8.954741,9.112033,8.89508,3.7962949999999998,8.981860000000001,3281400
2010-02-16,9.019827000000001,9.182542,8.971013000000001,3.823804,9.046947,2792300
2010-02-17,9.220509,9.220509,8.981860000000001,3.849021,9.106608,3135700
2010-02-18,9.101185000000001,9.23678,9.074065,3.8925769999999997,9.209661,2666700
2010-02-19,9.209661,9.274747,9.068642,3.865068,9.144575,3628400
2010-02-22,9.209661,9.209661,8.949318,3.794002,8.976436999999999,2158700
2010-02-23,8.916775,8.949318,8.694398,3.679379,8.705245,3112000
2010-02-24,8.737788,8.802875,8.645583,3.683965,8.716092999999999,3171300
2010-02-25,8.547955,8.981860000000001,8.499139999999999,3.7917089999999996,8.971013000000001,4792600
