Date,Open,High,Low,Close,Adj Close,Volume
2017-06-30,10.05,10.36,10.002,10.29,10.29,1433087
2017-07-03,10.25,10.4,10.2,10.39,10.39,391618
2017-07-05,10.39,10.67,10.39,10.67,10.67,0
2017-07-06,10.64,10.64,10.64,10.64,10.64,0
2017-07-07,11.04,11.16,10.75,11.12,11.12,855800
2017-07-10,11.15,11.15,10.94,10.97,10.97,423000
2017-07-11,11.01,11.02,10.66,10.87,10.87,731200
2017-07-12,10.85,10.906,10.67,10.67,10.67,379400
2017-07-13,10.64,10.88,10.64,10.72,10.72,157900
2017-07-14,10.78,10.78,10.75,10.77,10.77,218800
