Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,13.45,13.49,13.01,8.002808,13.48,307400
2010-01-05,13.53,14.0,13.53,8.305585,13.99,427400
2010-01-06,14.0,14.94,13.99,8.531181,14.37,508900
2010-01-07,14.47,15.13,13.76,8.970505000000001,15.11,458300
2010-01-08,15.25,15.55,14.5,8.667728,14.6,495100
2010-01-11,14.6,15.2,14.6,8.952695,15.08,235100
2010-01-12,15.02,15.02,14.53,8.638045,14.55,337500
2010-01-13,14.78,14.99,13.8,8.839895,14.89,344400
2010-01-14,15.0,15.1,14.51,8.70335,14.66,243300
2010-01-15,14.66,14.87,14.35,8.816149000000001,14.85,160100
2010-01-19,14.94,15.15,14.83,8.964567,15.1,317400
2010-01-20,15.13,15.43,14.7,9.160482,15.43,283100
2010-01-21,15.26,15.49,14.97,9.071431,15.28,272200
2010-01-22,15.39,15.5,15.0,9.023935,15.2,283300
2010-01-25,15.69,15.69,15.3,9.196104,15.49,301100
2010-01-26,15.69,15.69,15.38,9.285157,15.64,328100
2010-01-27,15.55,15.65,14.11,9.018003,15.19,689600
2010-01-28,14.85,15.0,14.25,8.953868,14.66,302200
2010-01-29,14.64,14.82,13.08,8.111008,13.28,478500
2010-02-01,13.41,13.71,13.2,8.257593,13.52,328800
2010-02-02,13.89,14.46,13.38,8.715669,14.27,206900
2010-02-03,14.5,14.65,13.5,8.5813,14.05,348800
2010-02-04,13.89,13.89,13.4,8.39807,13.75,284200
2010-02-05,13.71,13.71,13.25,8.330885,13.64,260000
2010-02-08,13.35,13.67,13.28,8.147654,13.34,188600
2010-02-09,13.83,14.0,13.5,8.532438,13.97,232800
2010-02-10,13.97,14.19,13.68,8.355315,13.68,139000
2010-02-11,13.88,14.08,13.5,8.575192,14.04,114300
2010-02-12,14.08,14.38,13.8,8.733993,14.3,147800
2010-02-16,14.75,14.75,14.45,8.947761999999999,14.65,202900
2010-02-17,14.7,14.7,14.36,8.776745,14.37,112300
2010-02-18,14.23,14.9,14.0,9.076025999999999,14.86,202500
2010-02-19,14.98,14.98,14.66,9.051594999999999,14.82,96900
2010-02-22,14.98,14.98,14.23,8.959976,14.67,171600
2010-02-23,14.6,14.77,14.27,8.923328999999999,14.61,115200
2010-02-24,14.7,14.75,14.25,8.947761999999999,14.65,129400
2010-02-25,14.64,14.75,14.38,8.941652000000001,14.64,77400
2010-02-26,14.89,15.0,14.65,9.161531,15.0,239000
2010-03-01,15.2,15.2,14.86,9.100452,14.9,217100
2010-03-02,14.99,15.45,14.99,9.326436,15.27,423300
2010-03-03,15.43,15.5,15.28,9.436378999999999,15.45,208700
2010-03-04,15.44,15.44,15.06,9.271467,15.18,197200
2010-03-05,15.34,15.34,14.91,9.338653,15.29,307300
2010-03-08,15.04,15.2,14.91,9.161531,15.0,173700
2010-03-09,15.07,15.09,14.93,9.161531,15.0,100100
2010-03-10,15.0,15.1,14.9,9.179853,15.03,153100
2010-03-11,15.09,15.2,15.0,9.222607,15.1,219800
2010-03-12,15.2,15.2,14.65,9.198176,15.06,440100
2010-03-15,15.14,15.44,14.9,9.332545,15.28,314100
2010-03-16,15.27,15.36,15.15,9.314222000000001,15.25,163100
2010-03-17,15.35,15.39,15.0,9.283683,15.2,261900
2010-03-18,15.3,15.3,15.1,9.277575,15.19,92700
2010-03-19,15.02,15.25,15.0,9.173744000000001,15.02,207800
2010-03-22,14.95,15.31,14.9,9.350869,15.31,198100
2010-03-23,15.63,15.67,15.35,9.570745,15.67,233000
2010-03-24,15.6,15.9,15.33,9.711221,15.9,175000
2010-03-25,15.75,16.0,15.71,9.68679,15.86,406800
2010-03-26,15.9,15.96,15.54,9.576853999999999,15.68,170500
2010-03-29,15.88,16.08,15.6,9.711221,15.9,250200
2010-03-30,16.049999,16.280001000000002,16.030001000000002,9.918884,16.24,241800
2010-03-31,16.5,16.629998999999998,16.200001,10.004392,16.379998999999998,174100
2010-04-01,16.49,16.85,16.370001000000002,10.260914,16.799999,195900
2010-04-05,17.0,17.0,16.68,10.383069,17.0,371500
2010-04-06,17.049999,17.379998999999998,16.9,10.468575,17.139999,216500
2010-04-07,17.24,17.879998999999998,17.120001000000002,10.755637,17.610001,329200
2010-04-08,17.6,18.0,17.0,10.987727,17.99,284500
2010-04-09,17.950001,18.950001,17.950001,11.372514,18.620001000000002,356200
2010-04-12,18.700001,19.0,16.43,10.321991,16.9,1414900
2010-04-13,16.969998999999998,17.83,16.780001000000002,10.657913,17.450001,681100
2010-04-14,17.940001000000002,18.0,17.51,10.993837,18.0,277200
