Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,13.045,13.395,12.975,10.692527,13.16,476400
2010-01-05,13.145,13.5,13.125,10.911899,13.43,671000
2010-01-06,13.345,13.59,13.29,10.814397999999999,13.31,488000
2010-01-07,13.325,13.595,13.275,10.806275,13.3,304200
2010-01-08,13.315,13.34,12.985,10.664086,13.125,422800
2010-01-11,13.25,13.435,12.66,10.359399,12.75,453000
2010-01-12,13.315,13.35,12.615,10.420338000000001,12.825,728200
2010-01-13,12.935,13.135,12.855,10.607211999999999,13.055,451400
2010-01-14,13.005,13.27,12.92,10.542209,12.975,553200
2010-01-15,12.935,13.055,12.7,10.570649000000001,13.01,3137200
2010-01-19,12.905,13.4,12.8,10.680337,13.145,441200
2010-01-20,13.085,13.345,13.01,10.745337,13.225,2438400
2010-01-21,13.255,13.315,12.765,10.41221,12.815,599200
2010-01-22,12.77,12.785,11.91,9.721584,11.965,1104000
2010-01-25,12.085,12.53,12.03,10.0994,12.43,923800
2010-01-26,12.36,12.5,12.175,9.953147999999999,12.25,357200
2010-01-27,12.255,12.535,12.175,10.13596,12.475,368800
2010-01-28,12.47,12.47,11.995,9.973461,12.275,325200
2010-01-29,12.33,12.5,12.04,9.790648,12.05,352200
2010-02-01,12.125,12.625,12.07,10.209086,12.565,324800
2010-02-02,12.55,13.165,12.535,10.655963,13.115,838600
2010-02-03,13.03,13.26,12.93,10.749399,13.23,606800
2010-02-04,12.995,13.125,12.675,10.347211999999999,12.735,1089000
2010-02-05,12.755,12.96,12.435,10.156275,12.5,657800
2010-02-08,12.5,12.715,12.345,10.127837,12.465,438000
2010-02-09,12.63,13.435,12.515,10.8469,13.35,927800
2010-02-10,13.335,13.37,13.125,10.737212,13.215,491800
2010-02-11,13.245,13.615,13.08,11.058150999999999,13.61,404800
2010-02-12,13.48,13.63,13.385,11.074402000000001,13.63,437800
2010-02-16,13.655,14.025,13.64,11.249088,13.845,595400
2010-02-17,13.94,13.94,12.96,10.651899,13.11,1221800
2010-02-18,13.105,13.385,13.005,10.822526,13.32,406000
2010-02-19,13.325,13.54,13.045,10.859084,13.365,611200
2010-02-22,13.435,13.44,13.195,10.790024,13.28,270400
2010-02-23,13.28,13.455,13.04,10.63565,13.09,462000
2010-02-24,13.165,13.41,12.94,10.785962,13.275,249600
2010-02-25,13.08,13.505,12.935,10.940337,13.465,530400
2010-02-26,13.515,13.545,13.255,10.940337,13.465,322400
2010-03-01,13.54,14.0,13.49,11.326276,13.94,612000
2010-03-02,14.005,14.26,13.945,11.419713,14.055,861600
2010-03-03,14.155,14.34,13.86,11.350651,13.97,1257600
2010-03-04,14.05,14.405,14.05,11.476589,14.125,492200
2010-03-05,14.195,14.255,14.05,11.484715,14.135,277800
2010-03-08,14.1,14.34,14.0,11.440025,14.08,217400
2010-03-09,14.08,14.665,14.08,11.635026,14.32,616200
2010-03-10,14.28,14.585,14.14,11.769091,14.485,434600
2010-03-11,14.48,14.625,14.255,11.825965,14.555,469600
2010-03-12,14.615,14.795,14.475,11.895028,14.64,565600
2010-03-15,14.64,14.89,14.465,11.955964999999999,14.715,890000
2010-03-16,13.975,13.975,12.855,10.696588,13.165,3482400
2010-03-17,13.285,13.435,12.69,10.375649000000001,12.77,2028000
2010-03-18,12.845,13.425,12.815,10.720962,13.195,1131800
2010-03-19,12.78,13.365,12.715,10.383774,12.78,828400
2010-03-22,12.735,12.975,12.72,10.501585,12.925,952600
2010-03-23,12.95,13.41,12.915,10.773774000000001,13.26,605800
2010-03-24,13.18,13.32,12.985,10.810338,13.305,637400
2010-03-25,13.3,13.48,13.035,10.623463000000001,13.075,1858400
2010-03-26,13.185,13.41,13.03,10.66815,13.13,679400
2010-03-29,13.175,13.275,12.81,10.465024,12.88,517600
2010-03-30,12.855,13.05,12.735,10.424399000000001,12.83,479000
2010-03-31,12.815,13.085,12.63,10.371587,12.765,477000
2010-04-01,12.815,13.0,12.76,10.465024,12.88,761200
2010-04-05,12.835,13.185,12.74,10.440649,12.85,494800
2010-04-06,12.84,13.125,12.84,10.631584,13.085,599800
2010-04-07,13.07,13.165,12.835,10.485336,12.905,308200
2010-04-08,12.82,13.17,12.54,10.574712,13.015,406400
2010-04-09,13.035,13.115,12.93,10.595022,13.04,405800
2010-04-12,13.04,13.12,12.905,10.574712,13.015,544200
2010-04-13,12.975,13.28,12.92,10.741275,13.22,591600
2010-04-14,13.315,13.86,13.285,11.249088,13.845,739000
2010-04-15,13.85,14.025,13.61,11.22065,13.81,581800
2010-04-16,13.83,13.875,13.565,11.216586,13.805,2081800
2010-04-19,13.66,13.925,13.425,10.928149000000001,13.45,557200
2010-04-20,13.58,13.66,13.4,11.013461999999999,13.555,501000
2010-04-21,13.525,13.875,13.485,11.240962,13.835,609200
2010-04-22,13.685,14.13,13.68,11.370964,13.995,590800
2010-04-23,14.05,14.105,13.855,11.366899,13.99,516000
2010-04-26,14.015,14.27,13.825,11.261273,13.86,470200
2010-04-27,14.91,16.745001000000002,14.91,13.093467,16.115,5517600
2010-04-28,16.305,16.325001,15.09,12.512528999999999,15.4,1555600
2010-04-29,15.59,15.86,15.425,12.817219,15.775,598000
2010-04-30,15.83,15.985,15.07,12.268778,15.1,1381800
2010-05-03,15.21,15.685,15.015,12.59784,15.505,403400
2010-05-04,15.405,15.46,14.63,12.033156,14.81,813800
2010-05-05,14.54,15.19,14.505,12.04534,14.825,1127800
2010-05-06,14.75,14.75,13.71,11.578155,14.25,1039400
2010-05-07,14.295,14.36,13.375,11.017525,13.56,1030200
2010-05-10,14.005,14.725,14.005,11.947842999999999,14.705,785400
2010-05-11,14.59,15.655,14.32,12.585655000000001,15.49,1076800
2010-05-12,15.58,15.775,15.185,12.748155,15.69,513400
2010-05-13,15.695,15.765,15.035,12.248464,15.075,504600
2010-05-14,14.91,15.13,14.58,11.980343,14.745,388800
2010-05-17,14.76,14.925,14.26,11.842216,14.575,459600
2010-05-18,14.63,14.905,14.0,11.590342999999999,14.265,404200
2010-05-19,14.075,14.47,13.935,11.626901,14.31,620400
2010-05-20,13.93,14.25,13.5,11.013461999999999,13.555,501600
2010-05-21,13.27,13.985,13.12,11.180025,13.76,460600
2010-05-24,13.76,14.045,13.43,11.074402000000001,13.63,798000
2010-05-25,14.0,15.09,13.21,12.163153,14.97,1686600
2010-05-26,15.235,15.595,14.36,11.744714,14.455,1045800
2010-05-27,14.605,14.775,13.885,11.866589,14.605,1035200
2010-05-28,14.57,14.59,14.025,11.732526,14.44,664800
2010-06-01,14.155,14.245,13.685,11.139401,13.71,944000
2010-06-02,13.705,13.72,13.21,10.891588,13.405,1081000
2010-06-03,13.58,13.83,13.325,10.952525,13.48,540800
2010-06-04,13.255,13.285,12.45,10.245650999999999,12.61,761000
2010-06-07,12.645,12.885,12.12,9.880021000000001,12.16,421400
2010-06-08,12.16,12.675,11.955,10.200963,12.555,1062400
