Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,13.75,13.95,13.57,13.81,13.81,158500
2010-01-05,13.82,13.87,13.52,13.77,13.77,227500
2010-01-06,13.8,13.84,13.7,13.79,13.79,151100
2010-01-07,13.83,13.85,13.53,13.74,13.74,187500
2010-01-08,13.74,13.83,13.59,13.77,13.77,161200
2010-01-11,14.14,14.23,13.88,13.99,13.99,228500
2010-01-12,13.98,14.06,13.5,13.56,13.56,201700
2010-01-13,13.57,13.77,13.46,13.71,13.71,242000
2010-01-14,13.63,14.21,13.58,14.04,14.04,240900
2010-01-15,14.11,14.11,13.51,13.69,13.69,233800
2010-01-19,13.82,14.41,13.63,14.39,14.39,187700
2010-01-20,14.31,14.53,14.01,14.31,14.31,165300
2010-01-21,14.36,14.5,13.94,13.96,13.96,170200
2010-01-22,13.89,14.38,13.75,14.2,14.2,232600
2010-01-25,14.24,14.24,13.75,13.94,13.94,156000
2010-01-26,13.85,14.41,13.85,14.34,14.34,223300
2010-01-27,14.25,15.34,14.23,15.31,15.31,529500
2010-01-28,15.28,15.4,14.46,14.77,14.77,254200
2010-01-29,14.81,14.81,13.93,14.32,14.32,369700
2010-02-01,14.32,14.63,14.31,14.47,14.47,93500
2010-02-02,14.43,14.61,14.18,14.45,14.45,160500
2010-02-03,14.34,14.39,13.98,14.23,14.23,120000
2010-02-04,14.16,14.16,13.7,13.89,13.89,155000
2010-02-05,13.83,13.83,13.22,13.63,13.63,144100
2010-02-08,13.6,13.63,13.4,13.46,13.46,74000
2010-02-09,13.61,13.94,13.53,13.9,13.9,145700
2010-02-10,13.9,14.05,13.64,14.0,14.0,104100
2010-02-11,13.91,14.61,13.91,14.6,14.6,206200
2010-02-12,14.45,15.0,14.4,14.87,14.87,163500
2010-02-16,14.91,15.03,14.38,14.79,14.79,109900
2010-02-17,14.86,14.95,14.65,14.91,14.91,349100
2010-02-18,14.95,15.01,14.7,14.92,14.92,165900
2010-02-19,14.96,15.0,14.67,14.72,14.72,111000
2010-02-22,14.7,14.71,14.45,14.59,14.59,72300
2010-02-23,14.59,14.77,14.45,14.61,14.61,74100
2010-02-24,14.6,14.78,14.55,14.58,14.58,54800
2010-02-25,14.45,14.81,14.25,14.75,14.75,132000
2010-02-26,14.84,14.84,14.53,14.66,14.66,87900
2010-03-01,14.67,15.14,14.67,14.89,14.89,175600
2010-03-02,14.87,15.1,14.66,15.08,15.08,366300
2010-03-03,15.05,15.34,14.91,15.15,15.15,348100
2010-03-04,15.21,15.34,14.84,14.93,14.93,157600
2010-03-05,15.76,16.15,15.51,15.89,15.89,689100
2010-03-08,15.91,16.040001,15.79,15.91,15.91,304700
2010-03-09,15.84,15.98,15.66,15.81,15.81,255000
2010-03-10,15.84,16.23,15.56,16.0,16.0,263500
2010-03-11,15.74,16.1,15.55,15.99,15.99,195000
2010-03-12,15.92,16.049999,15.9,15.96,15.96,126300
2010-03-15,15.89,16.360001,15.74,16.32,16.32,203800
2010-03-16,16.370001000000002,16.530001000000002,16.059998999999998,16.52,16.52,163100
2010-03-17,16.49,16.65,16.25,16.32,16.32,100600
2010-03-18,16.26,16.4,16.07,16.4,16.4,110100
2010-03-19,16.25,16.469998999999998,16.190001000000002,16.25,16.25,196500
2010-03-22,16.15,16.59,16.049999,16.559998999999998,16.559998999999998,118400
2010-03-23,16.57,16.92,16.440001000000002,16.85,16.85,169600
2010-03-24,16.85,17.040001,16.74,16.780001000000002,16.780001000000002,211700
2010-03-25,16.99,17.24,16.469998999999998,16.76,16.76,180500
2010-03-26,16.85,17.059998999999998,16.700001,16.9,16.9,151300
2010-03-29,16.969998999999998,16.969998999999998,16.799999,16.889999,16.889999,214600
