Date,Open,High,Low,Close,Adj Close,Volume
2010-08-13,4.05,4.35,3.6,3.98,3.98,277700
2010-08-16,3.99,3.99,3.76,3.8,3.8,20100
2010-08-17,4.0,4.0,3.85,3.85,3.85,2800
2010-08-18,3.85,3.95,3.78,3.79,3.79,30700
2010-08-19,3.76,3.76,3.66,3.72,3.72,6700
2010-08-20,3.89,3.89,3.32,3.32,3.32,88700
2010-08-23,4.06,4.06,3.3,3.34,3.34,8800
2010-08-24,3.44,3.66,3.31,3.44,3.44,9800
2010-08-25,3.6,3.6,3.25,3.3,3.3,24300
2010-08-26,3.6,3.6,3.3,3.31,3.31,2100
2010-08-27,3.27,3.5,3.27,3.46,3.46,17700
2010-08-30,3.48,3.49,3.35,3.35,3.35,7900
2010-08-31,3.3,3.79,3.3,3.64,3.64,4600
2010-09-01,3.64,3.64,3.64,3.64,3.64,0
2010-09-02,3.4,3.67,3.25,3.5,3.5,17200
2010-09-03,3.56,3.78,3.51,3.51,3.51,15000
2010-09-07,3.55,3.72,3.49,3.5,3.5,18300
2010-09-08,3.46,3.8,3.46,3.66,3.66,2700
2010-09-09,3.78,3.8,3.6,3.6,3.6,16900
2010-09-10,3.55,3.84,3.55,3.55,3.55,6600
2010-09-13,3.5,3.6,3.5,3.59,3.59,11900
2010-09-14,3.5,3.63,3.45,3.63,3.63,14200
2010-09-15,3.78,3.79,3.65,3.65,3.65,4000
2010-09-16,3.66,3.66,3.66,3.66,3.66,1300
2010-09-17,3.5,3.65,3.5,3.65,3.65,6000
2010-09-20,3.55,3.79,3.55,3.67,3.67,2100
2010-09-21,3.8,3.8,3.5,3.52,3.52,7200
2010-09-22,3.78,3.78,3.4,3.46,3.46,3500
2010-09-23,3.6,3.6,3.6,3.6,3.6,400
2010-09-24,3.6,3.6,3.6,3.6,3.6,100
2010-09-27,3.55,3.78,3.3,3.54,3.54,12200
2010-09-28,3.47,3.47,3.45,3.45,3.45,300
2010-09-29,3.5,3.5,3.5,3.5,3.5,8400
2010-09-30,3.49,3.71,3.33,3.71,3.71,2700
2010-10-01,3.71,3.71,3.71,3.71,3.71,0
2010-10-04,3.73,3.74,3.41,3.6,3.6,13500
2010-10-05,3.79,3.79,3.61,3.65,3.65,6200
2010-10-06,3.7,3.7,3.52,3.52,3.52,5600
2010-10-07,3.54,3.54,3.45,3.52,3.52,7900
2010-10-08,3.4,3.64,3.4,3.54,3.54,3300
2010-10-11,3.5,3.5,3.5,3.5,3.5,1000
2010-10-12,3.7,3.7,3.5,3.59,3.59,9400
2010-10-13,3.56,3.64,3.41,3.41,3.41,14700
2010-10-14,3.59,3.6,3.45,3.57,3.57,2900
2010-10-15,3.49,3.49,3.49,3.49,3.49,900
2010-10-18,3.4,3.43,3.4,3.43,3.43,4100
2010-10-19,3.58,3.59,3.3,3.35,3.35,20200
2010-10-20,3.5,3.5,3.26,3.39,3.39,9400
2010-10-21,3.5,3.5,3.49,3.5,3.5,10300
2010-10-22,3.5,3.5,3.5,3.5,3.5,0
2010-10-25,3.43,3.45,3.43,3.45,3.45,4900
2010-10-26,3.6,3.6,3.5,3.5,3.5,1300
2010-10-27,3.51,3.6,3.45,3.55,3.55,5400
2010-10-28,3.48,3.5,3.48,3.5,3.5,4200
2010-10-29,3.5,3.5,3.5,3.5,3.5,0
2010-11-01,3.4,3.67,3.4,3.49,3.49,4400
2010-11-02,3.49,3.49,3.49,3.49,3.49,0
2010-11-03,3.68,3.68,3.59,3.59,3.59,2800
2010-11-04,3.4,3.69,3.4,3.69,3.69,200
2010-11-05,3.48,3.7,3.45,3.67,3.67,9800
2010-11-08,3.67,3.67,3.67,3.67,3.67,200
2010-11-09,3.45,3.66,3.45,3.66,3.66,400
2010-11-10,3.66,3.66,3.48,3.48,3.48,2000
2010-11-11,3.49,3.49,3.34,3.4,3.4,3700
2010-11-12,3.4,3.74,3.4,3.5,3.5,10500
2010-11-15,3.42,3.68,3.4,3.4,3.4,5300
2010-11-16,3.56,3.66,3.56,3.56,3.56,1200
2010-11-17,3.41,3.6,3.25,3.25,3.25,6000
2010-11-18,3.57,3.57,3.33,3.4,3.4,1000
2010-11-19,3.53,3.53,3.53,3.53,3.53,200
2010-11-22,3.53,3.53,3.53,3.53,3.53,0
2010-11-23,3.4,3.4,3.4,3.4,3.4,100
2010-11-24,3.47,3.47,3.35,3.4,3.4,1200
2010-11-26,3.58,3.58,3.58,3.58,3.58,100
2010-11-29,3.36,3.6,3.36,3.6,3.6,1400
2010-11-30,3.6,3.6,3.6,3.6,3.6,0
2010-12-01,3.5,3.58,3.5,3.58,3.58,600
2010-12-02,3.5,3.6,3.5,3.57,3.57,1100
2010-12-03,3.41,3.58,3.25,3.5,3.5,6300
2010-12-06,3.5,3.6,3.4,3.47,3.47,6700
2010-12-07,3.47,3.47,3.47,3.47,3.47,0
2010-12-08,3.57,3.57,3.57,3.57,3.57,100
2010-12-09,3.5,3.5,3.31,3.31,3.31,2200
2010-12-10,3.57,3.57,3.31,3.35,3.35,1500
2010-12-13,3.4,3.57,3.38,3.4,3.4,11900
2010-12-14,3.5,3.55,3.4,3.53,3.53,1200
2010-12-15,3.5,3.5,3.5,3.5,3.5,500
2010-12-16,3.53,3.53,3.31,3.53,3.53,6800
2010-12-17,3.42,3.42,3.42,3.42,3.42,300
2010-12-20,3.5,3.5,3.33,3.37,3.37,4200
2010-12-21,3.36,3.38,3.36,3.38,3.38,800
2010-12-22,3.38,3.38,3.38,3.38,3.38,0
2010-12-23,3.35,3.35,3.35,3.35,3.35,600
2010-12-27,3.26,3.38,3.26,3.38,3.38,2100
2010-12-28,3.45,3.45,3.29,3.39,3.39,4200
2010-12-29,3.54,3.54,3.3,3.3,3.3,1500
2010-12-30,3.3,3.3,3.26,3.26,3.26,4000
2010-12-31,3.3,3.55,3.3,3.55,3.55,11100
2011-01-03,3.35,3.5,3.25,3.32,3.32,21000
2011-01-04,3.34,3.34,3.29,3.29,3.29,8600
2011-01-05,3.23,3.23,3.23,3.23,3.23,100
2011-01-06,3.42,3.42,3.22,3.38,3.38,14500
2011-01-07,3.35,3.35,3.22,3.22,3.22,3100
2011-01-10,3.25,3.29,3.15,3.16,3.16,6900
2011-01-11,3.02,3.3,3.02,3.15,3.15,7100
