Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,1.82,1.9,1.8,1.8476580000000002,1.9,8600
2010-01-05,1.9,1.9,1.85,1.818485,1.87,33400
2010-01-06,1.9,1.9,1.81,1.8476580000000002,1.9,39100
2010-01-07,1.9,1.92,1.89,1.867107,1.92,45100
2010-01-08,1.9,2.03,1.9,1.9449040000000002,2.0,35900
2010-01-11,2.03,2.03,1.94,1.974077,2.03,45200
2010-01-12,2.06,2.06,2.0,1.993526,2.05,36200
2010-01-13,2.09,2.09,2.02,2.0032509999999997,2.06,68600
2010-01-14,2.06,2.06,1.96,1.993526,2.05,38200
2010-01-15,2.04,2.04,1.96,1.9643529999999998,2.02,30100
2010-01-19,2.05,2.05,1.92,1.896281,1.95,16400
2010-01-20,2.0,2.0,1.85,1.925455,1.98,55800
2010-01-21,2.05,2.05,1.85,1.837934,1.89,28900
2010-01-22,1.82,1.93,1.82,1.8476580000000002,1.9,21300
2010-01-25,1.92,1.92,1.82,1.7795869999999998,1.83,11000
2010-01-26,1.81,1.85,1.8,1.799036,1.85,38400
2010-01-27,1.85,1.85,1.83,1.7795869999999998,1.83,5800
2010-01-28,1.83,1.83,1.8,1.750413,1.8,8600
2010-01-29,1.8,1.82,1.77,1.7698619999999998,1.82,13400
2010-02-01,1.8,1.85,1.8,1.799036,1.85,41600
2010-02-02,1.8,1.85,1.8,1.7795869999999998,1.83,26100
2010-02-03,1.8,1.85,1.8,1.799036,1.85,7500
2010-02-04,1.83,1.83,1.47,1.72124,1.77,83000
2010-02-05,1.8,1.8,1.7,1.740689,1.79,8000
2010-02-08,1.75,1.75,1.75,1.701791,1.75,4000
2010-02-09,1.7,1.79,1.7,1.730964,1.78,29500
2010-02-10,1.78,1.78,1.7,1.701791,1.75,3000
2010-02-11,1.73,1.73,1.7,1.6823419999999998,1.73,4700
2010-02-12,1.77,1.84,1.72,1.750413,1.8,169100
2010-02-16,1.74,1.84,1.74,1.789311,1.84,62300
2010-02-17,1.83,1.84,1.83,1.789311,1.84,6200
2010-02-18,1.75,1.87,1.75,1.818485,1.87,15500
2010-02-19,1.82,1.87,1.8,1.818485,1.87,27100
2010-02-22,1.87,1.9,1.8,1.80876,1.86,12200
2010-02-23,1.86,1.86,1.8,1.799036,1.85,6700
2010-02-24,1.84,1.92,1.78,1.730964,1.78,50900
2010-02-25,1.78,1.95,1.78,1.886557,1.94,5000
2010-02-26,1.93,1.97,1.88,1.886557,1.94,60800
2010-03-01,1.88,1.95,1.85,1.837934,1.89,23300
2010-03-02,1.87,1.98,1.86,1.8573830000000002,1.91,33800
2010-03-03,1.94,1.95,1.9,1.886557,1.94,30600
2010-03-04,1.94,2.04,1.9,1.983802,2.04,139400
2010-03-05,2.04,2.04,1.97,1.925455,1.98,19400
2010-03-08,2.0,2.34,1.97,2.197741,2.26,586800
2010-03-09,2.45,2.75,2.4,2.4603029999999997,2.53,344100
2010-03-10,2.5,2.55,2.2,2.275537,2.34,162900
2010-03-11,2.33,2.55,2.28,2.333884,2.4,89000
2010-03-12,2.41,2.41,2.35,2.314435,2.38,55000
2010-03-15,2.4,2.49,2.35,2.372782,2.44,95200
2010-03-16,2.48,2.59,2.43,2.5089259999999998,2.58,73300
2010-03-17,2.67,2.67,2.5,2.479752,2.55,68900
2010-03-18,2.75,2.75,2.46,2.5089259999999998,2.58,23600
2010-03-19,2.58,2.59,2.49,2.5089259999999998,2.58,75100
2010-03-22,2.58,2.72,2.5,2.645069,2.72,159400
2010-03-23,2.76,3.04,2.71,2.946529,3.03,278300
2010-03-24,3.05,3.2,2.85,2.8979060000000003,2.98,211300
2010-03-25,2.97,3.0,2.85,2.859008,2.94,145600
2010-03-26,2.94,3.1,2.94,2.8979060000000003,2.98,311100
2010-03-29,2.96,3.3,2.96,3.111846,3.2,306300
2010-03-30,3.3,3.55,3.29,3.3549589999999996,3.45,441300
2010-03-31,3.5,3.9,3.5,3.656419,3.76,361100
2010-04-01,3.9,4.34,3.85,4.191267,4.31,615200
2010-04-05,4.75,5.14,4.7,4.978953,5.12,891000
2010-04-06,5.3,5.49,3.75,4.084297,4.2,1944500
2010-04-07,4.34,4.78,4.25,4.570523000000001,4.7,530800
2010-04-08,4.85,4.88,4.5,4.599697,4.73,236300
2010-04-09,4.8,4.88,4.2,4.317686,4.44,344700
2010-04-12,4.42,4.7,4.21,4.3274099999999995,4.45,243600
2010-04-13,4.27,4.45,4.22,4.1329199999999995,4.25,99500
2010-04-14,4.25,4.35,3.55,3.646694,3.75,590600
2010-04-15,3.6,3.7,3.5,3.588347,3.69,267800
2010-04-16,3.62,3.85,3.59,3.7050410000000005,3.81,165100
2010-04-19,3.81,4.15,3.81,3.987052,4.1,166200
2010-04-20,4.1,4.15,3.85,3.9287050000000003,4.04,102000
2010-04-21,3.75,4.03,3.75,3.870358,3.98,41100
2010-04-22,3.92,4.15,3.76,3.889807,4.0,82500
2010-04-23,4.0,4.03,3.95,3.9189809999999996,4.03,66300
2010-04-26,4.1,4.19,3.99,4.02595,4.14,61900
2010-04-27,4.05,4.14,3.91,3.9092559999999996,4.02,61600
