Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,5.95,6.0,5.75,6.0,6.0,10700
2010-01-05,6.35,6.35,5.85,6.1,6.1,5400
2010-01-06,6.2,6.25,6.1,6.25,6.25,5900
2010-01-07,6.4,6.65,6.3,6.65,6.65,7700
2010-01-08,6.75,10.0,6.55,7.7,7.7,264300
2010-01-11,7.7,8.0,6.75,6.8,6.8,101700
2010-01-12,7.25,7.3,6.85,6.95,6.95,20100
2010-01-13,7.3,8.35,7.0,7.0,7.0,191800
2010-01-14,7.1,7.1,6.6,6.6,6.6,34100
2010-01-15,6.7,7.75,6.7,7.2,7.2,82600
2010-01-19,7.4,7.5,6.65,6.7,6.7,23700
2010-01-20,6.8,6.8,6.25,6.6,6.6,26800
2010-01-21,6.6,6.9,6.4,6.75,6.75,17500
2010-01-22,6.9,6.9,6.55,6.6,6.6,8100
2010-01-25,6.85,6.85,6.35,6.35,6.35,12000
2010-01-26,6.35,6.35,6.0,6.0,6.0,22800
2010-01-27,6.0,6.15,5.9,6.0,6.0,5400
2010-01-28,6.2,6.3,5.75,5.8,5.8,15900
2010-01-29,6.0,6.2,5.9,5.95,5.95,13800
2010-02-01,7.5,7.75,6.5,6.85,6.85,126400
2010-02-02,6.8,6.85,6.3,6.35,6.35,21200
2010-02-03,6.3,6.65,6.3,6.4,6.4,11300
2010-02-04,6.6,6.8,6.35,6.5,6.5,25600
2010-02-05,6.25,6.5,6.2,6.25,6.25,15400
2010-02-08,6.25,6.3,6.05,6.1,6.1,7500
2010-02-09,6.45,6.45,6.05,6.1,6.1,8400
2010-02-10,6.1,6.25,5.9,5.9,5.9,14300
2010-02-11,5.95,6.0,5.9,5.9,5.9,8100
2010-02-12,5.95,6.05,5.5,5.75,5.75,27400
2010-02-16,5.8,6.05,5.8,5.95,5.95,11300
2010-02-17,5.85,6.0,5.65,5.85,5.85,17000
2010-02-18,5.75,5.85,5.6,5.75,5.75,11400
2010-02-19,5.8,5.8,5.6,5.6,5.6,5200
2010-02-22,5.7,5.7,5.45,5.65,5.65,23600
2010-02-23,5.8,5.8,5.6,5.6,5.6,2200
2010-02-24,5.55,5.75,5.55,5.75,5.75,10600
2010-02-25,5.65,5.7,5.55,5.7,5.7,1900
2010-02-26,5.45,5.75,5.45,5.75,5.75,6600
2010-03-01,5.7,5.85,5.3,5.45,5.45,15500
2010-03-02,5.5,5.5,4.9,5.15,5.15,65000
2010-03-03,5.25,5.25,5.05,5.1,5.1,20500
2010-03-04,5.15,5.2,5.05,5.1,5.1,11100
2010-03-05,5.0,5.2,5.0,5.2,5.2,16800
2010-03-08,5.2,5.2,4.95,5.05,5.05,22800
2010-03-09,4.8,4.9,4.4,4.65,4.65,65600
