Date,Open,High,Low,Close,Adj Close,Volume
2010-06-25,10.95,10.95,10.41,10.75,10.75,3161300
2010-06-28,10.75,10.81,10.55,10.76,10.76,120300
2010-06-29,10.75,10.88,10.66,10.76,10.76,270100
2010-06-30,10.76,10.77,10.64,10.7,10.7,180900
2010-07-01,10.75,10.81,10.66,10.67,10.67,192100
2010-07-02,10.61,10.77,10.61,10.76,10.76,86600
2010-07-06,10.9,11.11,10.7,10.89,10.89,148800
2010-07-07,10.9,11.24,10.9,11.06,11.06,178700
2010-07-08,11.22,11.24,10.9,11.02,11.02,56600
2010-07-09,10.96,11.1,10.96,11.0,11.0,26800
2010-07-12,11.0,11.0,10.8,10.84,10.84,58200
2010-07-13,10.75,11.0,10.73,10.75,10.75,66300
2010-07-14,10.75,10.77,10.52,10.61,10.61,73000
2010-07-15,10.56,10.73,10.51,10.68,10.68,20700
2010-07-16,10.64,10.94,10.6,10.83,10.83,27600
2010-07-19,10.87,10.99,10.83,10.99,10.99,49100
2010-07-20,10.99,10.99,10.83,10.84,10.84,20000
2010-07-21,10.83,10.85,10.72,10.74,10.74,15300
2010-07-22,10.74,10.83,10.7,10.77,10.77,157700
2010-07-23,10.72,10.75,10.44,10.5,10.5,90400
2010-07-26,10.49,10.53,10.13,10.17,10.17,200900
2010-07-27,10.15,10.2,9.61,10.02,10.02,199500
2010-07-28,10.02,10.2,9.78,10.07,10.07,184600
2010-07-29,10.17,10.3,10.11,10.3,10.3,108700
2010-07-30,10.2,10.23,9.99,10.16,10.16,112000
2010-08-02,10.24,10.24,9.9,10.02,10.02,63000
2010-08-03,9.98,10.22,9.86,9.9,9.9,218400
2010-08-04,9.92,10.84,9.92,10.83,10.83,82400
2010-08-05,10.73,11.14,10.65,11.07,11.07,115300
2010-08-06,11.0,11.32,10.94,11.25,11.25,68900
2010-08-09,11.27,12.01,11.23,11.74,11.74,310100
2010-08-10,11.7,13.37,11.69,13.09,13.09,316200
2010-08-11,12.91,13.87,12.8,13.61,13.61,309200
2010-08-12,13.56,14.41,13.18,14.3,14.3,131800
2010-08-13,14.4,15.55,14.4,15.45,15.45,179600
2010-08-16,15.65,16.84,15.24,15.59,15.59,144300
2010-08-17,15.53,15.88,14.72,15.21,15.21,126700
2010-08-18,15.11,15.85,14.68,15.74,15.74,149300
2010-08-19,16.5,18.23,15.13,15.17,15.17,190600
2010-08-20,15.4,15.4,13.73,13.85,13.85,62500
2010-08-23,14.32,14.72,13.47,13.77,13.77,51700
2010-08-24,13.78,13.78,12.3,12.42,12.42,134000
2010-08-25,12.55,12.81,11.77,11.85,11.85,197400
2010-08-26,11.66,12.3,11.02,11.24,11.24,71100
2010-08-27,11.14,12.4,11.14,12.39,12.39,41200
2010-08-30,12.4,12.85,12.25,12.56,12.56,79400
2010-08-31,12.43,12.46,12.21,12.21,12.21,43000
2010-09-01,12.25,12.79,12.22,12.52,12.52,47000
2010-09-02,12.53,12.68,12.5,12.67,12.67,35600
2010-09-03,12.65,14.53,12.65,14.04,14.04,83400
2010-09-07,14.04,14.5,13.58,13.93,13.93,54500
2010-09-08,13.97,14.34,13.52,13.98,13.98,62700
2010-09-09,14.08,14.25,13.85,14.12,14.12,52200
2010-09-10,14.16,14.94,13.9,14.0,14.0,72900
2010-09-13,14.15,14.42,13.93,14.01,14.01,80600
2010-09-14,14.0,14.28,13.6,13.7,13.7,91000
2010-09-15,13.99,14.66,13.64,14.63,14.63,72400
2010-09-16,14.69,16.25,14.35,16.17,16.17,290700
2010-09-17,16.219998999999998,17.040001,14.78,15.66,15.66,170300
2010-09-20,15.83,16.75,15.08,15.7,15.7,118500
2010-09-21,15.71,16.610001,15.66,15.8,15.8,31700
2010-09-22,15.77,15.9,14.78,15.0,15.0,61500
2010-09-23,14.98,14.98,13.7,13.74,13.74,125400
2010-09-24,13.85,14.66,13.75,14.52,14.52,90700
2010-09-27,14.52,15.86,14.17,15.65,15.65,102900
2010-09-28,15.7,15.83,14.67,15.7,15.7,50900
2010-09-29,15.79,16.620001000000002,14.66,15.46,15.46,136600
2010-09-30,15.49,16.450001,15.16,15.82,15.82,980700
2010-10-01,15.95,16.639999,15.52,16.41,16.41,151100
2010-10-04,16.41,17.33,16.17,16.77,16.77,247300
2010-10-05,16.9,16.98,16.299999,16.709999,16.709999,105300
2010-10-06,16.83,16.83,15.05,15.39,15.39,259600
2010-10-07,15.35,15.5,14.54,15.11,15.11,205700
2010-10-08,15.06,15.52,14.7,15.06,15.06,183200
2010-10-11,15.1,15.53,15.03,15.38,15.38,88000
2010-10-12,15.33,16.25,14.85,16.23,16.23,82500
2010-10-13,16.1,17.059998999999998,16.01,16.83,16.83,153600
2010-10-14,16.889999,18.6,16.799999,18.17,18.17,185200
2010-10-15,18.51,19.469998999999998,18.049999,19.190001000000002,19.190001000000002,262600
2010-10-18,19.280001000000002,19.41,18.66,18.809998999999998,18.809998999999998,75400
2010-10-19,18.6,18.6,17.27,17.49,17.49,179000
2010-10-20,17.51,18.0,17.450001,17.75,17.75,45600
2010-10-21,17.870001000000002,17.93,16.26,16.879998999999998,16.879998999999998,121000
2010-10-22,16.92,16.92,16.049999,16.629998999999998,16.629998999999998,34300
2010-10-25,16.719998999999998,16.98,16.209999,16.299999,16.299999,101100
2010-10-26,16.35,16.35,15.83,15.98,15.98,84200
2010-10-27,15.93,16.280001000000002,15.81,15.99,15.99,55400
2010-10-28,15.85,15.85,13.85,13.86,13.86,302400
2010-10-29,13.9,14.14,13.53,14.08,14.08,79300
2010-11-01,14.15,14.81,13.07,13.42,13.42,117700
2010-11-02,15.19,15.7,14.19,15.33,15.33,154700
2010-11-03,15.28,15.34,14.92,15.25,15.25,60100
2010-11-04,15.31,15.5,14.84,15.05,15.05,97000
