Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,14.34,14.34,14.11,8.96095,14.17,78200
2010-01-05,14.2,14.34,14.05,8.885057000000002,14.05,92800
2010-01-06,14.12,14.3,14.08,8.986244000000001,14.21,91100
2010-01-07,14.3,14.38,14.24,9.036833999999999,14.29,55600
2010-01-08,14.39,14.41,14.27,9.093749,14.38,61800
2010-01-11,14.4,14.42,14.36,9.087422,14.37,60600
2010-01-12,14.38,14.4,14.34,9.100076,14.39,54800
2010-01-13,14.4,14.4,14.33,9.081105,14.36,48300
2010-01-14,14.4,14.41,14.37,9.106402000000001,14.4,106300
2010-01-15,14.4,14.44,14.37,9.125367,14.43,67100
2010-01-19,14.51,14.55,14.43,9.201257,14.55,71200
2010-01-20,14.51,14.55,14.46,9.194930000000001,14.54,59800
2010-01-21,14.43,14.51,14.37,9.175964,14.51,116700
2010-01-22,14.52,14.73,14.49,9.315085,14.73,104700
2010-01-25,14.86,15.24,14.82,9.574364,15.14,112700
2010-01-26,15.17,15.49,15.06,9.700842,15.34,225300
2010-01-27,15.43,15.5,15.19,9.67555,15.3,106400
2010-01-28,15.34,15.34,15.15,9.580687,15.15,163200
2010-01-29,15.27,15.27,14.89,9.485828,15.0,140300
2010-02-01,15.16,15.16,14.93,9.466861,14.97,81600
2010-02-02,15.03,15.06,14.89,9.492152,15.01,111400
2010-02-03,15.01,15.09,14.95,9.485828,15.0,84000
2010-02-04,15.07,15.07,14.9,9.441568,14.93,105000
2010-02-05,15.02,15.02,14.68,9.327734,14.75,136100
2010-02-08,14.86,14.86,14.69,9.340383000000001,14.77,81500
2010-02-09,14.86,14.86,14.66,9.302438,14.71,65700
2010-02-10,14.75,14.9,14.67,9.360946,14.72,87600
2010-02-11,14.78,14.85,14.65,9.341867,14.69,88400
2010-02-12,14.73,14.76,14.67,9.348225,14.7,82800
2010-02-16,14.72,14.89,14.72,9.469051,14.89,155400
2010-02-17,15.0,15.19,14.95,9.640755,15.16,118600
2010-02-18,15.12,15.25,15.12,9.640755,15.16,94000
2010-02-19,15.2,15.33,15.17,9.748864,15.33,52100
2010-02-22,15.41,15.42,15.31,9.767938000000001,15.36,114400
2010-02-23,15.39,15.45,15.34,9.825175,15.45,86600
2010-02-24,15.54,15.68,15.51,9.901488,15.57,62700
2010-02-25,15.48,15.62,15.48,9.933286,15.62,63200
2010-02-26,15.64,15.64,15.5,9.933286,15.62,123000
2010-03-01,15.71,15.82,15.67,10.015961,15.75,48300
2010-03-02,15.84,16.09,15.84,10.155864,15.97,140300
2010-03-03,16.049999,16.049999,15.86,10.130424,15.93,100700
2010-03-04,15.89,15.89,15.72,10.066828999999998,15.83,126300
2010-03-05,15.85,15.99,15.83,10.130424,15.93,83100
2010-03-08,15.9,16.0,15.9,10.143139999999999,15.95,71500
2010-03-09,15.96,16.299999,15.96,10.30848,16.209999,136200
2010-03-10,16.280001000000002,16.540001,16.23,10.397515,16.35,124200
2010-03-11,16.290001,16.469998999999998,16.23,10.449922,16.35,105500
2010-03-12,16.360001,16.459999,16.35,10.449922,16.35,99200
2010-03-15,16.290001,16.469998999999998,16.23,10.417969,16.299999,97000
2010-03-16,16.43,16.43,15.93,10.181484,15.93,118500
2010-03-17,15.87,15.87,15.65,10.0217,15.68,133200
2010-03-18,15.61,15.61,15.28,9.804399,15.34,99400
2010-03-19,16.200001,16.200001,15.28,10.354058,16.200001,104400
2010-03-22,16.01,16.01,15.49,9.945008,15.56,101100
