Date,Open,High,Low,Close,Adj Close,Volume
2014-07-14,0.488,0.488,0.488,0.488,0.488,0.0
2014-07-15,0.481,0.481,0.481,0.481,0.481,0.0
2014-07-16,0.48,0.48,0.48,0.48,0.48,0.0
2014-07-17,0.481,0.481,0.481,0.481,0.481,0.0
2014-07-18,0.477,0.477,0.477,0.477,0.477,0.0
2014-07-21,0.484,0.484,0.484,0.484,0.484,0.0
2014-07-22,0.484,0.484,0.484,0.484,0.484,0.0
2014-07-23,0.495,0.495,0.495,0.495,0.495,0.0
2014-07-24,0.535,0.535,0.535,0.535,0.535,0.0
2014-07-25,0.532,0.532,0.532,0.532,0.532,0.0
2014-07-28,0.568,0.568,0.568,0.568,0.568,0.0
2014-07-29,0.568,0.568,0.568,0.568,0.568,0.0
2014-07-30,0.575,0.575,0.575,0.575,0.575,0.0
2014-07-31,0.568,0.568,0.568,0.568,0.568,0.0
2014-08-01,0.552,0.552,0.552,0.552,0.552,0.0
2014-08-04,0.564,0.564,0.564,0.564,0.564,0.0
2014-08-05,0.568,0.568,0.568,0.568,0.568,0.0
2014-08-06,0.568,0.568,0.568,0.568,0.568,0.0
2014-08-07,0.566,0.566,0.566,0.566,0.566,0.0
2014-08-08,0.542,0.542,0.542,0.542,0.542,0.0
2014-08-11,0.554,0.554,0.554,0.554,0.554,0.0
2014-08-12,0.565,0.565,0.565,0.565,0.565,0.0
2014-08-13,0.58,0.58,0.58,0.58,0.58,0.0
2014-08-14,0.577,0.577,0.577,0.577,0.577,0.0
2014-08-15,0.582,0.582,0.582,0.582,0.582,0.0
2014-08-18,0.598,0.598,0.598,0.598,0.598,0.0
2014-08-19,0.598,0.598,0.598,0.598,0.598,0.0
2014-08-20,0.598,0.598,0.598,0.598,0.598,0.0
2014-08-21,0.71,0.71,0.71,0.71,0.71,0.0
2014-08-22,0.69,0.69,0.69,0.69,0.69,0.0
2014-08-25,0.69,0.69,0.69,0.69,0.69,0.0
2014-08-26,0.676,0.676,0.676,0.676,0.676,0.0
2014-08-27,0.687,0.687,0.687,0.687,0.687,0.0
2014-08-28,0.681,0.681,0.681,0.681,0.681,0.0
2014-08-29,0.682,0.682,0.682,0.682,0.682,0.0
2014-09-02,0.687,0.687,0.645,0.645,0.645,0.0
2014-09-03,0.65,0.65,0.65,0.65,0.65,0.0
2014-09-04,0.644,0.644,0.644,0.644,0.644,0.0
2014-09-05,0.666,0.666,0.666,0.666,0.666,0.0
2014-09-08,0.677,0.677,0.677,0.677,0.677,0.0
2014-09-09,0.658,0.658,0.658,0.658,0.658,0.0
2014-09-10,0.642,0.642,0.642,0.642,0.642,0.0
2014-09-11,0.641,0.641,0.641,0.641,0.641,0.0
2014-09-12,0.638,0.638,0.638,0.638,0.638,0.0
2014-09-15,0.62,0.62,0.62,0.62,0.62,0.0
2014-09-16,0.627,0.627,0.627,0.627,0.627,0.0
2014-09-17,0.62,0.62,0.62,0.62,0.62,0.0
2014-09-18,0.631,0.631,0.631,0.631,0.631,0.0
2014-09-19,0.62,0.62,0.62,0.62,0.62,0.0
2014-09-22,0.59,0.59,0.59,0.59,0.59,0.0
2014-09-23,0.584,0.584,0.584,0.584,0.584,0.0
2014-09-24,0.578,0.578,0.578,0.578,0.578,0.0
2014-09-25,0.576,0.576,0.576,0.576,0.576,0.0
2014-09-26,0.567,0.567,0.567,0.567,0.567,0.0
2014-09-29,0.572,0.572,0.572,0.572,0.572,0.0
2014-09-30,0.581,0.581,0.581,0.581,0.581,0.0
2014-10-01,0.597,0.597,0.597,0.597,0.597,0.0
2014-10-02,0.587,0.587,0.587,0.587,0.587,0.0
2014-10-03,0.573,0.573,0.573,0.573,0.573,0.0
2014-10-06,0.573,0.573,0.573,0.573,0.573,0.0
2014-10-07,0.567,0.567,0.567,0.567,0.567,0.0
2014-10-08,0.567,0.567,0.567,0.567,0.567,0.0
2014-10-09,0.568,0.568,0.568,0.568,0.568,0.0
2014-10-10,0.546,0.546,0.546,0.546,0.546,0.0
2014-10-13,0.551,0.551,0.551,0.551,0.551,0.0
2014-10-14,0.544,0.544,0.544,0.544,0.544,0.0
2014-10-15,0.554,0.554,0.554,0.554,0.554,0.0
2014-10-16,0.551,0.551,0.551,0.551,0.551,0.0
2014-10-17,0.544,0.544,0.544,0.544,0.544,0.0
2014-10-20,0.556,0.556,0.556,0.556,0.556,0.0
2014-10-21,0.547,0.547,0.547,0.547,0.547,0.0
2014-10-22,0.549,0.549,0.549,0.549,0.549,0.0
2014-10-23,0.548,0.548,0.548,0.548,0.548,0.0
2014-10-24,0.565,0.565,0.565,0.565,0.565,0.0
2014-10-27,0.564,0.564,0.564,0.564,0.564,0.0
2014-10-28,0.564,0.564,0.564,0.564,0.564,0.0
2014-10-29,0.574,0.574,0.574,0.574,0.574,0.0
2014-10-30,0.573,0.573,0.573,0.573,0.573,0.0
2014-10-31,0.586,0.586,0.586,0.586,0.586,0.0
2014-11-03,0.589,0.589,0.589,0.589,0.589,0.0
2014-11-04,0.587,0.587,0.587,0.587,0.587,0.0
2014-11-05,0.586,0.586,0.586,0.586,0.586,0.0
2014-11-06,0.567,0.567,0.567,0.567,0.567,0.0
2014-11-07,0.576,0.576,0.576,0.576,0.576,0.0
2014-11-10,0.576,0.576,0.576,0.576,0.576,0.0
2014-11-11,0.573,0.573,0.573,0.573,0.573,0.0
