Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,13.46,13.53,13.45,11.206759,13.49,54500
2010-01-05,13.53,13.53,13.39,11.173532000000002,13.45,38900
2010-01-06,13.45,13.47,13.4,11.148608,13.42,144000
2010-01-07,13.42,13.47,13.39,11.181838,13.46,54200
2010-01-08,13.46,13.5,13.43,11.215069,13.5,38400
2010-01-11,13.5,13.59,13.5,11.289833999999999,13.59,78400
2010-01-12,13.48,13.55,13.48,11.215069,13.5,53900
2010-01-13,13.55,13.65,13.53,11.331371,13.64,81500
2010-01-14,13.59,13.65,13.59,11.339682,13.65,18700
2010-01-15,13.59,13.59,13.46,11.239989999999999,13.53,41100
2010-01-19,13.51,13.66,13.51,11.339682,13.65,39100
2010-01-20,13.62,13.62,13.42,11.248296,13.54,63900
2010-01-21,13.52,13.58,13.34,11.098761999999999,13.36,70100
2010-01-22,13.34,13.34,13.15,10.932615,13.16,53600
2010-01-25,13.27,13.27,13.15,10.974150999999999,13.21,30600
2010-01-26,13.13,13.26,13.12,10.94092,13.17,35100
2010-01-27,13.17,13.21,13.09,10.974150999999999,13.21,59800
2010-01-28,13.21,13.21,13.06,10.891078,13.11,53400
2010-01-29,13.13,13.17,13.01,10.808000999999999,13.01,12500
2010-02-01,13.01,13.11,13.01,10.891078,13.11,15300
2010-02-02,13.16,13.29,13.15,11.015688,13.26,42000
2010-02-03,13.26,13.26,13.2,10.999075,13.24,20500
2010-02-04,13.13,13.13,12.9,10.716619,12.9,74400
2010-02-05,12.82,12.96,12.68,10.683392999999999,12.86,182700
2010-02-08,12.9,12.91,12.77,10.608624,12.77,39900
2010-02-09,12.9,13.06,12.86,10.733234,12.92,31800
2010-02-10,12.64,12.96,12.64,10.724928,12.91,36000
2010-02-11,12.92,13.04,12.84,10.832922,13.04,26100
2010-02-12,13.0,13.02,12.9,10.799697,13.0,29600
2010-02-16,13.09,13.21,13.08,10.974150999999999,13.21,22900
2010-02-17,13.28,13.28,13.24,11.023994,13.27,10800
2010-02-18,13.3,13.39,13.29,11.107075,13.37,20900
2010-02-19,13.33,13.46,13.32,11.156916,13.43,106100
2010-02-22,13.49,13.49,13.4,11.1403,13.41,21400
2010-02-23,13.4,13.4,13.28,11.048919,13.3,23500
2010-02-24,13.36,13.38,13.28,11.098761999999999,13.36,28700
2010-02-25,13.18,13.35,13.18,11.073839999999999,13.33,52800
2010-02-26,13.38,13.38,13.3,11.090457,13.35,41200
2010-03-01,13.34,13.48,13.34,11.190145,13.47,32800
2010-03-02,13.54,13.57,13.51,11.248296,13.54,28300
2010-03-03,13.57,13.62,13.54,11.264913,13.56,21700
2010-03-04,13.59,13.61,13.52,11.281528999999999,13.58,53400
2010-03-05,13.65,13.72,13.62,11.389524,13.71,40300
2010-03-08,13.75,13.76,13.72,11.422752000000001,13.75,54600
2010-03-09,13.68,13.78,13.68,11.431063,13.76,28600
2010-03-10,13.72,13.78,13.71,11.431063,13.76,40600
2010-03-11,13.71,13.83,13.71,11.472598,13.81,40100
2010-03-12,13.9,13.9,13.8,11.505828,13.85,30000
2010-03-15,13.85,13.89,13.8,11.530747999999999,13.88,55500
2010-03-16,13.92,13.97,13.86,11.605516999999999,13.97,22200
2010-03-17,14.02,14.07,14.0,11.66367,14.04,46700
2010-03-18,14.08,14.08,14.02,11.66367,14.04,34400
2010-03-19,14.03,14.1,13.97,11.655361,14.03,24900
2010-03-22,14.04,14.09,13.92,11.680286,14.06,46100
2010-03-23,14.03,14.08,13.96,11.77057,14.08,42800
2010-03-24,14.06,14.08,13.95,11.678614,13.97,21700
2010-03-25,14.04,14.04,13.9,11.636816,13.92,34400
2010-03-26,13.95,13.96,13.88,11.636816,13.92,39700
2010-03-29,13.96,14.02,13.95,11.720411,14.02,39100
2010-03-30,14.05,14.09,14.01,11.745492,14.05,33200
2010-03-31,14.02,14.06,13.98,11.720411,14.02,34500
2010-04-01,14.1,14.14,14.04,11.77057,14.08,27900
2010-04-05,14.17,14.18,14.1,11.845809,14.17,38000
2010-04-06,14.13,14.21,14.1,11.879247,14.21,73400
2010-04-07,14.2,14.2,14.07,11.804012,14.12,81100
2010-04-08,14.06,14.12,14.04,11.79565,14.11,48000
2010-04-09,14.09,14.22,14.09,11.887607000000001,14.22,24100
2010-04-12,14.26,14.26,14.11,11.879247,14.21,53500
2010-04-13,14.19,14.24,14.15,11.895967,14.23,47500
2010-04-14,14.26,14.33,14.23,11.979565,14.33,33800
2010-04-15,14.27,14.38,14.27,12.004643,14.36,37400
2010-04-16,14.3,14.35,14.16,11.895967,14.23,48400
2010-04-19,14.15,14.26,14.15,11.921047,14.26,23400
2010-04-20,14.35,14.39,14.32,12.029722999999999,14.39,39000
2010-04-21,14.42,14.42,14.33,12.038083,14.4,41100
2010-04-22,14.3,14.44,14.24,12.071521,14.44,66700
2010-04-23,14.44,14.51,14.37,12.130041,14.51,42200
2010-04-26,14.46,14.53,14.44,12.071521,14.44,47800
2010-04-27,14.41,14.46,14.17,11.862528999999999,14.19,43400
