Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,5.1,5.1,4.43,5.0,5.0,3300
2010-01-05,5.07,5.13,5.07,5.13,5.13,2200
2010-01-06,5.13,5.13,5.13,5.13,5.13,0
2010-01-07,5.13,5.13,5.13,5.13,5.13,0
2010-01-08,5.13,5.13,5.13,5.13,5.13,0
2010-01-11,5.0,5.0,4.7,4.72,4.72,1700
2010-01-12,4.74,4.74,4.59,4.59,4.59,400
2010-01-13,4.59,4.59,4.59,4.59,4.59,0
2010-01-14,4.65,4.65,4.64,4.64,4.64,500
2010-01-15,4.58,4.6,4.45,4.45,4.45,400
2010-01-19,4.45,4.6,4.45,4.6,4.6,1200
2010-01-20,4.56,4.56,4.1,4.1,4.1,2000
2010-01-21,4.14,4.25,4.14,4.25,4.25,300
2010-01-22,4.15,4.15,4.11,4.11,4.11,400
2010-01-25,4.12,4.26,4.11,4.11,4.11,1200
2010-01-26,4.22,4.22,4.22,4.22,4.22,300
2010-01-27,4.21,4.21,4.08,4.08,4.08,1000
2010-01-28,4.1,4.1,4.1,4.1,4.1,200
2010-01-29,4.1,4.1,4.1,4.1,4.1,0
2010-02-01,4.3,4.3,4.0,4.0,4.0,1400
2010-02-02,3.92,3.92,3.75,3.75,3.75,1100
2010-02-03,3.75,3.75,3.75,3.75,3.75,200
2010-02-04,3.74,3.74,3.74,3.74,3.74,100
2010-02-05,3.5,3.5,3.02,3.35,3.35,2000
2010-02-08,3.29,3.29,3.29,3.29,3.29,200
2010-02-09,3.35,3.35,3.26,3.26,3.26,300
2010-02-10,3.3,3.3,3.3,3.3,3.3,100
2010-02-11,3.29,3.35,3.29,3.35,3.35,500
2010-02-12,3.35,3.35,3.35,3.35,3.35,100
2010-02-16,3.5,3.5,3.5,3.5,3.5,500
2010-02-17,3.5,3.5,3.5,3.5,3.5,0
2010-02-18,3.7,3.7,3.56,3.56,3.56,700
2010-02-19,3.5,3.5,3.28,3.46,3.46,500
2010-02-22,3.37,3.69,3.37,3.48,3.48,1500
2010-02-23,3.48,3.48,3.48,3.48,3.48,0
2010-02-24,3.48,3.48,3.48,3.48,3.48,0
2010-02-25,3.48,3.48,3.48,3.48,3.48,0
2010-02-26,3.65,3.99,3.64,3.99,3.99,3300
2010-03-01,3.99,3.99,3.99,3.99,3.99,0
2010-03-02,4.5,4.84,4.2,4.82,4.82,6800
2010-03-03,4.83,5.15,4.83,5.08,5.08,3600
2010-03-04,4.87,4.87,4.49,4.56,4.56,3100
2010-03-05,4.31,4.31,3.68,3.8,3.8,5900
2010-03-08,4.8,5.85,4.5,5.3,5.3,16200
2010-03-09,5.49,5.49,4.11,4.82,4.82,5600
2010-03-10,4.86,5.14,4.78,4.99,4.99,11200
2010-03-11,4.83,4.89,4.3,4.89,4.89,1600
2010-03-12,4.5,4.69,4.5,4.69,4.69,900
2010-03-15,4.69,4.69,4.69,4.69,4.69,0
2010-03-16,4.46,4.75,4.46,4.75,4.75,400
2010-03-17,4.94,4.94,4.94,4.94,4.94,300
2010-03-18,4.9,4.9,4.6,4.6,4.6,500
2010-03-19,4.32,4.32,4.3,4.32,4.32,1200
2010-03-22,4.0,4.19,3.96,4.19,4.19,3100
2010-03-23,4.29,4.49,4.2,4.49,4.49,1800
2010-03-24,4.49,4.49,4.49,4.49,4.49,200
2010-03-25,4.31,4.49,4.31,4.49,4.49,400
2010-03-26,4.5,4.5,4.48,4.48,4.48,300
2010-03-29,4.9,4.9,4.5,4.72,4.72,4800
2010-03-30,4.72,4.72,4.72,4.72,4.72,0
2010-03-31,4.51,4.61,4.31,4.31,4.31,2300
2010-04-01,4.22,4.27,4.01,4.12,4.12,1700
2010-04-05,4.12,4.12,4.12,4.12,4.12,0
2010-04-06,4.12,4.12,4.12,4.12,4.12,0
2010-04-07,4.02,4.04,4.02,4.03,4.03,1500
2010-04-08,4.03,4.03,4.03,4.03,4.03,0
2010-04-09,4.2,4.3,4.2,4.3,4.3,1800
2010-04-12,4.35,4.35,4.35,4.35,4.35,200
2010-04-13,4.1,4.3,4.1,4.3,4.3,800
2010-04-14,4.3,4.3,4.3,4.3,4.3,0
2010-04-15,4.0,4.0,4.0,4.0,4.0,200
2010-04-16,4.04,4.04,4.04,4.04,4.04,200
2010-04-19,4.02,4.02,4.0,4.0,4.0,1700
2010-04-20,4.0,4.0,4.0,4.0,4.0,0
2010-04-21,4.02,4.02,4.0,4.01,4.01,1500
2010-04-22,4.01,4.01,4.01,4.01,4.01,0
2010-04-23,4.01,4.01,4.01,4.01,4.01,0
2010-04-26,3.94,4.1,3.94,4.04,4.04,600
2010-04-27,4.04,4.04,4.04,4.04,4.04,0
2010-04-28,4.2,4.31,4.12,4.12,4.12,1500
2010-04-29,4.12,4.12,4.12,4.12,4.12,0
2010-04-30,4.0,4.14,4.0,4.14,4.14,500
2010-05-03,4.14,4.14,4.14,4.14,4.14,0
2010-05-04,4.05,4.5,4.05,4.11,4.11,2000
2010-05-05,4.11,4.11,4.11,4.11,4.11,0
2010-05-06,4.25,4.25,4.25,4.25,4.25,100
2010-05-07,4.0,4.0,3.95,3.95,3.95,600
2010-05-10,4.25,4.44,4.06,4.44,4.44,1300
2010-05-11,4.44,4.44,4.44,4.44,4.44,0
2010-05-12,4.44,4.44,4.44,4.44,4.44,0
2010-05-13,4.42,4.42,4.42,4.42,4.42,100
2010-05-14,4.42,4.42,4.42,4.42,4.42,0
2010-05-17,4.42,4.42,4.42,4.42,4.42,0
2010-05-18,4.42,4.42,3.91,3.91,3.91,600
2010-05-19,3.91,3.91,3.91,3.91,3.91,0
2010-05-20,3.94,4.09,3.72,3.72,3.72,13400
2010-05-21,3.7,4.95,3.7,4.7,4.7,9700
2010-05-24,4.56,4.56,4.52,4.52,4.52,300
2010-05-25,4.22,4.23,3.82,4.2,4.2,1400
2010-05-26,4.2,4.2,4.2,4.2,4.2,0
2010-05-27,4.38,4.38,4.38,4.38,4.38,100
2010-05-28,4.1,4.37,4.1,4.2,4.2,6700
2010-06-01,4.13,4.35,4.13,4.35,4.35,3300
2010-06-02,4.34,4.36,4.34,4.34,4.34,300
2010-06-03,4.15,4.65,4.12,4.12,4.12,2900
2010-06-04,4.25,4.25,3.95,4.05,4.05,1000
2010-06-07,4.3,4.3,3.69,3.75,3.75,2300
2010-06-08,3.65,3.75,3.05,3.3,3.3,5200
2010-06-09,3.4,3.67,3.4,3.67,3.67,1900
2010-06-10,3.68,3.68,3.68,3.68,3.68,1000
2010-06-11,3.69,3.69,3.69,3.69,3.69,1000
2010-06-14,3.69,3.69,3.69,3.69,3.69,0
2010-06-15,3.7,3.7,3.45,3.45,3.45,1400
2010-06-16,3.45,3.45,3.45,3.45,3.45,0
2010-06-17,3.45,3.45,3.45,3.45,3.45,600
2010-06-18,3.52,3.52,3.52,3.52,3.52,300
2010-06-21,3.52,3.52,3.52,3.52,3.52,0
2010-06-22,3.52,3.52,3.52,3.52,3.52,0
2010-06-23,3.61,3.7,3.55,3.55,3.55,3300
2010-06-24,3.55,3.59,3.55,3.59,3.59,700
2010-06-25,3.59,3.59,3.59,3.59,3.59,0
2010-06-28,3.59,3.59,3.59,3.59,3.59,0
2010-06-29,3.59,3.59,3.59,3.59,3.59,0
2010-06-30,3.59,3.59,3.59,3.59,3.59,0
2010-07-01,3.59,3.59,3.59,3.59,3.59,0
2010-07-02,3.45,3.69,3.45,3.69,3.69,200
2010-07-06,3.69,3.69,3.69,3.69,3.69,0
2010-07-07,3.45,3.65,3.42,3.42,3.42,300
2010-07-08,3.42,3.42,3.42,3.42,3.42,0
2010-07-09,3.3,3.3,3.3,3.3,3.3,200
2010-07-12,3.3,3.3,3.3,3.3,3.3,0
2010-07-13,3.0,3.2,3.0,3.2,3.2,3500
2010-07-14,3.2,3.2,3.2,3.2,3.2,0
2010-07-15,3.0,3.0,3.0,3.0,3.0,200
2010-07-16,3.0,3.0,3.0,3.0,3.0,0
2010-07-19,3.0,3.0,3.0,3.0,3.0,0
2010-07-20,3.0,3.01,3.0,3.0,3.0,900
2010-07-21,3.0,3.0,3.0,3.0,3.0,0
2010-07-22,3.0,3.0,3.0,3.0,3.0,0
2010-07-23,3.0,3.0,3.0,3.0,3.0,0
2010-07-26,2.95,2.95,2.8,2.8,2.8,1100
2010-07-27,2.75,2.88,2.75,2.88,2.88,200
2010-07-28,2.88,2.88,2.88,2.88,2.88,0
2010-07-29,2.88,2.88,2.88,2.88,2.88,0
2010-07-30,2.88,2.88,2.88,2.88,2.88,0
2010-08-02,2.88,2.88,2.88,2.88,2.88,200
2010-08-03,2.88,2.88,2.88,2.88,2.88,0
2010-08-04,2.88,2.88,2.88,2.88,2.88,200
2010-08-05,2.88,2.88,2.88,2.88,2.88,0
2010-08-06,2.88,2.88,2.88,2.88,2.88,0
2010-08-09,2.83,2.83,2.83,2.83,2.83,100
2010-08-10,2.85,2.85,2.85,2.85,2.85,100
2010-08-11,2.85,2.85,2.85,2.85,2.85,0
2010-08-12,2.54,2.75,2.45,2.5,2.5,10100
2010-08-13,2.57,2.57,2.57,2.57,2.57,300
2010-08-16,2.5,2.5,2.5,2.5,2.5,200
2010-08-17,2.5,2.5,2.5,2.5,2.5,2200
2010-08-18,2.5,2.5,2.5,2.5,2.5,0
2010-08-19,2.5,2.5,2.5,2.5,2.5,0
2010-08-20,2.5,2.5,2.4,2.5,2.5,900
2010-08-23,2.5,2.5,2.5,2.5,2.5,0
2010-08-24,2.5,2.5,2.5,2.5,2.5,0
2010-08-25,2.43,2.43,2.38,2.38,2.38,200
2010-08-26,2.47,2.73,2.29,2.29,2.29,1400
2010-08-27,2.22,2.22,2.22,2.22,2.22,400
2010-08-30,2.07,2.15,2.07,2.15,2.15,200
2010-08-31,2.23,2.23,2.23,2.23,2.23,100
2010-09-01,2.23,2.23,2.23,2.23,2.23,0
2010-09-02,2.25,2.25,2.14,2.14,2.14,2000
2010-09-03,2.14,2.14,2.14,2.14,2.14,0
2010-09-07,2.14,2.14,2.14,2.14,2.14,0
2010-09-08,2.22,2.72,2.22,2.72,2.72,1900
2010-09-09,2.92,2.99,2.76,2.99,2.99,2300
2010-09-10,2.99,2.99,2.99,2.99,2.99,500
2010-09-13,2.99,2.99,2.99,2.99,2.99,400
2010-09-14,2.99,2.99,2.99,2.99,2.99,0
2010-09-15,2.98,2.98,2.98,2.98,2.98,400
2010-09-16,2.98,2.98,2.98,2.98,2.98,0
2010-09-17,2.99,3.2,2.99,3.2,3.2,1300
2010-09-20,2.99,2.99,2.98,2.98,2.98,500
2010-09-21,2.91,2.99,2.75,2.99,2.99,3600
2010-09-22,2.98,2.98,2.79,2.79,2.79,600
2010-09-23,2.79,2.79,2.79,2.79,2.79,0
2010-09-24,2.68,2.68,2.68,2.68,2.68,100
2010-09-27,2.65,2.65,2.65,2.65,2.65,500
2010-09-28,2.65,2.65,2.65,2.65,2.65,0
2010-09-29,2.61,2.61,2.61,2.61,2.61,100
2010-09-30,2.61,2.61,2.61,2.61,2.61,0
2010-10-01,2.74,2.76,2.73,2.73,2.73,400
2010-10-04,2.85,2.9,2.57,2.63,2.63,1600
2010-10-05,2.65,2.65,2.65,2.65,2.65,4000
2010-10-06,2.73,3.18,2.73,3.18,3.18,700
2010-10-07,3.22,3.33,3.22,3.25,3.25,1500
2010-10-08,3.71,5.29,3.69,5.29,5.29,29800
2010-10-11,5.39,5.78,5.15,5.49,5.49,19100
2010-10-12,5.35,5.4,4.32,4.39,4.39,8800
2010-10-13,4.51,4.55,4.5,4.5,4.5,3600
2010-10-14,4.5,4.5,4.5,4.5,4.5,0
2010-10-15,4.28,4.28,4.05,4.2,4.2,1400
2010-10-18,4.09,4.09,4.09,4.09,4.09,1100
2010-10-19,4.06,4.09,4.0,4.09,4.09,3300
2010-10-20,3.89,3.89,3.35,3.51,3.51,6800
2010-10-21,3.37,3.37,3.33,3.37,3.37,700
2010-10-22,3.37,3.5,3.3,3.3,3.3,1300
2010-10-25,3.3,3.3,3.3,3.3,3.3,0
2010-10-26,3.25,3.54,3.25,3.5,3.5,2500
