Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,12.13,12.37,12.13,8.041669,12.32,28200
2010-01-05,12.4,12.44,12.39,8.100415,12.41,38600
2010-01-06,12.5,12.6,12.5,8.217907,12.59,20000
2010-01-07,12.49,12.66,12.49,8.230962,12.61,21400
2010-01-08,12.6,12.64,12.6,8.237488,12.62,21000
2010-01-11,12.7,12.76,12.66,8.322344000000001,12.75,20200
2010-01-12,12.62,12.62,12.56,8.224435,12.6,18000
2010-01-13,12.66,12.72,12.64,8.302763,12.72,18800
2010-01-14,12.73,12.83,12.73,8.368035,12.82,22100
2010-01-15,12.68,12.9,12.55,8.420254,12.9,72800
2010-01-19,12.56,12.81,12.5,8.361508,12.81,38000
2010-01-20,12.61,12.61,12.33,8.146106,12.48,37100
2010-01-21,12.44,12.44,12.09,7.96334,12.2,22200
2010-01-22,12.11,12.12,11.93,7.787103999999999,11.93,25600
2010-01-25,11.96,12.1,11.96,7.898067999999999,12.1,29900
2010-01-26,12.0,12.04,11.89,7.767521,11.9,34300
2010-01-27,11.8,11.84,11.69,7.721830000000001,11.83,34400
2010-01-28,11.9,11.9,11.67,7.636974,11.7,19000
2010-01-29,11.79,11.86,11.58,7.604338,11.65,41800
2010-02-01,11.78,11.87,11.75,7.747939,11.87,11700
2010-02-02,11.89,12.12,11.88,7.852377000000001,12.03,29000
2010-02-03,12.02,12.04,11.93,7.826266,11.99,31300
2010-02-04,11.65,11.77,11.5,7.512955000000001,11.51,61400
2010-02-05,11.4,11.4,10.91,7.317135,11.21,90100
2010-02-08,11.1,11.16,11.06,7.219225999999999,11.06,63800
2010-02-09,11.27,11.42,11.21,7.415042999999999,11.36,22300
2010-02-10,11.28,11.38,11.25,7.408517999999999,11.35,24700
2010-02-11,11.27,11.48,11.2,7.447680999999999,11.41,46800
2010-02-12,11.19,11.31,11.15,7.362825999999999,11.28,45900
2010-02-16,11.25,11.51,11.25,7.493372999999999,11.48,66800
2010-02-17,11.54,11.57,11.49,7.52601,11.53,43700
2010-02-18,11.59,11.71,11.59,7.630447,11.69,12000
2010-02-19,11.57,11.76,11.57,7.663084,11.74,12900
2010-02-22,11.7,11.71,11.6,7.617392999999999,11.67,27500
2010-02-23,11.6,11.61,11.44,7.506428,11.5,35100
2010-02-24,11.47,11.65,11.44,7.571702,11.6,23700
2010-02-25,11.25,11.4,11.18,7.343245,11.25,85000
2010-02-26,11.29,11.35,11.24,7.40199,11.34,47400
2010-03-01,11.41,11.58,11.41,7.539064,11.55,40100
2010-03-02,11.69,11.8,11.69,7.656557,11.73,35000
2010-03-03,11.85,11.98,11.85,7.774049000000001,11.91,27000
2010-03-04,11.92,11.95,11.87,7.780577,11.92,37900
2010-03-05,12.03,12.21,12.03,7.969867,12.21,40800
2010-03-08,12.19,12.24,12.17,7.969867,12.21,24400
2010-03-09,12.09,12.19,12.05,7.956811999999999,12.19,21200
2010-03-10,12.24,12.3,12.23,8.015559,12.28,23500
2010-03-11,12.28,12.4,12.28,8.093886999999999,12.4,27100
2010-03-12,12.5,12.5,12.4,8.119997,12.44,16600
2010-03-15,12.36,12.37,12.31,8.074306,12.37,15800
2010-03-16,12.4,12.5,12.4,8.152633,12.49,25400
2010-03-17,12.5,12.62,12.45,8.18527,12.54,45800
2010-03-18,12.54,12.64,12.39,8.126524,12.45,22800
2010-03-19,12.27,12.42,12.16,8.009032000000001,12.27,35900
2010-03-22,12.11,12.39,12.05,8.015559,12.28,20700
