Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,1.47,1.49,1.42,1.235709,1.45,175100
2010-01-05,1.47,1.48,1.43,1.2442309999999999,1.46,115900
2010-01-06,1.48,1.48,1.45,1.252753,1.47,108100
2010-01-07,1.48,1.58,1.46,1.329452,1.56,223200
2010-01-08,1.56,1.6,1.5,1.355018,1.59,142000
2010-01-11,1.62,1.64,1.59,1.363541,1.6,225200
2010-01-12,1.59,1.59,1.52,1.32093,1.55,137900
2010-01-13,1.58,1.58,1.56,1.346496,1.58,107900
2010-01-14,1.59,1.62,1.55,1.346496,1.58,75100
2010-01-15,1.58,1.59,1.55,1.329452,1.56,270500
2010-01-19,1.56,1.61,1.52,1.363541,1.6,145800
2010-01-20,1.56,1.63,1.54,1.312408,1.54,111500
2010-01-21,1.57,1.58,1.46,1.278319,1.5,117100
2010-01-22,1.46,1.49,1.45,1.2442309999999999,1.46,102800
2010-01-25,1.48,1.65,1.4,1.406151,1.65,276700
2010-01-26,1.65,1.65,1.53,1.346496,1.58,268900
2010-01-27,1.54,1.57,1.5,1.303886,1.53,147500
2010-01-28,1.56,1.58,1.52,1.346496,1.58,106600
2010-01-29,1.59,1.59,1.52,1.355018,1.59,205600
2010-02-01,1.6,1.63,1.55,1.355018,1.59,157800
2010-02-02,1.56,1.65,1.54,1.363541,1.6,145200
2010-02-03,1.56,1.65,1.56,1.406151,1.65,308600
2010-02-04,1.64,1.65,1.56,1.3720629999999998,1.61,200700
2010-02-05,1.62,1.64,1.56,1.355018,1.59,220900
2010-02-08,1.6,1.62,1.58,1.363541,1.6,66500
2010-02-09,1.59,1.61,1.56,1.3720629999999998,1.61,136300
2010-02-10,1.6,1.62,1.56,1.363541,1.6,110400
2010-02-11,1.58,1.61,1.56,1.355018,1.59,98200
2010-02-12,1.57,1.62,1.56,1.3720629999999998,1.61,90500
2010-02-16,1.62,1.64,1.6,1.397629,1.64,86400
2010-02-17,1.64,1.64,1.58,1.355018,1.59,102400
2010-02-18,1.57,1.67,1.57,1.3891069999999999,1.63,181700
2010-02-19,1.61,1.64,1.59,1.3891069999999999,1.63,92000
2010-02-22,1.62,1.62,1.58,1.355018,1.59,87600
2010-02-23,1.6,1.62,1.58,1.355018,1.59,55300
2010-02-24,1.58,1.67,1.58,1.380585,1.62,65200
2010-02-25,1.63,1.67,1.62,1.423195,1.67,90200
2010-02-26,1.67,1.85,1.67,1.576594,1.85,576300
2010-03-01,1.85,2.02,1.81,1.60216,1.88,346500
2010-03-02,1.87,2.0,1.87,1.670337,1.96,428600
2010-03-03,1.98,1.98,1.87,1.610682,1.89,176400
2010-03-04,1.87,1.88,1.8,1.551027,1.82,169000
2010-03-05,1.81,1.89,1.81,1.585116,1.86,120200
