Date,Open,High,Low,Close,Adj Close,Volume
2016-11-23,10.0,10.1,10.0,9.657222,10.0,756400.0
2016-11-25,10.01,10.01,10.0,9.657222,10.0,99000.0
2016-11-28,10.0,10.03,10.0,9.657222,10.0,119400.0
2016-11-29,10.03,10.03,10.0,9.66688,10.01,62000.0
2016-11-30,10.0,10.03,10.0,9.66688,10.01,40200.0
2016-12-01,10.01,10.03,10.0,9.686193,10.03,14600.0
2016-12-02,10.02,10.12,10.0,9.657222,10.0,66400.0
2016-12-05,,,,,,
2016-12-06,10.05,10.23,10.05,9.850368,10.2,19300.0
2016-12-07,10.17,10.19,10.13,9.792423,10.14,4600.0
2016-12-08,10.208,10.285,10.104,9.932453,10.285,9200.0
2016-12-09,10.218,10.255,10.182,9.832985,10.182,8200.0
2016-12-12,10.25,10.42,10.21,9.946939,10.3,22400.0
2016-12-13,10.41,10.42,10.05,9.773109,10.12,20200.0
2016-12-14,10.131,10.131,10.07,9.753795,10.1,16200.0
2016-12-15,10.42,10.42,10.11,10.033854,10.39,34900.0
2016-12-16,10.37,10.5,10.33,10.120769000000001,10.48,17000.0
2016-12-19,10.43,10.435,10.28,10.033854,10.39,11600.0
2016-12-20,10.37,10.4,10.37,10.024197000000001,10.38,4700.0
2016-12-21,10.38,10.4,10.38,10.043510000000001,10.4,17200.0
2016-12-22,10.35,10.4,10.24,10.043510000000001,10.4,30000.0
2016-12-23,10.15,10.19,10.01,9.705508,10.05,69800.0
2016-12-27,10.03,10.35,10.02,9.985567999999999,10.34,182500.0
2016-12-28,10.23,10.23,10.12,9.802078999999999,10.15,31600.0
2016-12-29,10.15,10.26,10.12,9.888995,10.24,64700.0
2016-12-30,10.26,10.26,10.23,9.879337,10.23,13000.0
2017-01-03,10.23,10.29,10.22,9.86968,10.22,53700.0
2017-01-04,10.23,10.235,10.1,9.763452000000001,10.11,68700.0
2017-01-05,10.1,10.11,10.05,9.715164999999999,10.06,30700.0
2017-01-06,10.078,10.078,10.04,9.705508,10.05,32900.0
2017-01-09,10.05,10.05,10.01,9.671709,10.015,39400.0
2017-01-10,10.01,10.08,9.99,9.647564,9.99,45400.0
2017-01-11,10.02,10.09,10.015,9.715164999999999,10.06,51700.0
2017-01-12,10.06,10.172,10.04,9.753795,10.1,47400.0
2017-01-13,10.12,10.12,10.01,9.686193,10.03,66700.0
2017-01-17,10.0,10.07,10.0,9.76384,10.06,34700.0
2017-01-18,10.06,10.07,10.01,9.725017999999999,10.02,28200.0
2017-01-19,10.02,10.03,10.0,9.705606,10.0,55700.0
2017-01-20,10.0,10.02,9.96,9.666782000000001,9.96,41700.0
2017-01-23,10.0,10.0,9.96,9.705606,10.0,40100.0
2017-01-24,10.0,10.0,9.94,9.647371000000001,9.94,102500.0
2017-01-25,9.94,10.02,9.94,9.725017999999999,10.02,75200.0
2017-01-26,10.0,10.06,9.98,9.734721,10.03,57400.0
2017-01-27,10.03,10.03,10.0,9.734721,10.03,21800.0
2017-01-30,10.0,10.03,9.99,9.705606,10.0,28300.0
2017-01-31,10.01,10.03,9.96,9.734721,10.03,52800.0
2017-02-01,10.03,10.04,10.0,9.734721,10.03,24300.0
2017-02-02,10.04,10.07,10.04,9.754133,10.05,20200.0
2017-02-03,10.02,10.07,10.02,9.754133,10.05,12800.0
