Date,Open,High,Low,Close,Adj Close,Volume
2013-08-13,8.0,8.5,7.9,6.08779,8.45,879100
2013-08-14,8.25,8.35,8.25,6.015744000000001,8.35,30000
2013-08-15,8.25,8.35,8.15,5.907677,8.2,78900
2013-08-16,8.2,8.35,8.2,5.979723,8.3,27600
2013-08-19,8.35,8.5,8.3,5.979723,8.3,20900
2013-08-20,8.3,8.4,8.28,5.979723,8.3,27400
2013-08-21,8.5,8.5,8.3,5.979723,8.3,13400
2013-08-22,8.45,8.45,8.13,5.979723,8.3,5100
2013-08-23,8.0,8.45,8.0,6.022949,8.36,3800
2013-08-26,8.35,8.35,8.35,6.015744000000001,8.35,5700
2013-08-27,8.3,8.3,8.3,5.979723,8.3,300
2013-08-28,8.4,8.4,8.4,6.051766000000001,8.4,900
2013-08-29,8.3,8.3,8.13,5.857246,8.13,1100
2013-08-30,8.11,8.4,8.11,6.091729,8.4,1800
2013-09-03,8.17,8.17,8.17,5.924929,8.17,100
2013-09-04,8.34,8.4,8.29,6.026457,8.31,3600
2013-09-05,8.42,8.42,8.35,6.055467,8.35,200
2013-09-06,8.15,8.22,8.15,5.932183,8.18,3800
2013-09-09,8.07,8.45,8.07,6.127987999999999,8.45,2400
2013-09-10,8.45,8.45,8.44,6.127987999999999,8.45,4900
2013-09-11,8.44,8.45,8.43,6.127987999999999,8.45,1700
2013-09-12,8.45,8.45,8.45,6.127987999999999,8.45,200
2013-09-13,8.4,8.4,8.4,6.091729,8.4,100
2013-09-16,8.29,8.32,8.29,6.03371,8.32,400
2013-09-17,8.4,8.4,8.2,5.953938,8.21,7500
2013-09-18,8.21,8.3,8.11,5.982946,8.25,13700
2013-09-19,8.32,8.38,8.3,6.019207,8.3,2800
2013-09-20,8.29,8.29,8.14,5.903174,8.14,11800
2013-09-23,8.25,8.35,8.25,5.990198,8.26,6700
2013-09-24,8.25,8.33,8.25,6.040963,8.33,4500
2013-09-25,8.4,8.4,8.32,6.03371,8.32,6900
2013-09-26,8.31,8.33,8.28,6.043439,8.28,500
2013-09-27,8.28,8.28,8.28,6.043439,8.28,100
2013-09-30,8.25,8.28,8.24,6.043439,8.28,400
2013-10-01,8.28,8.28,8.28,6.043439,8.28,0
2013-10-02,8.3,8.3,8.3,6.058037000000001,8.3,800
2013-10-03,8.3,8.37,8.3,6.109129,8.37,1200
2013-10-04,8.34,8.34,8.34,6.087234,8.34,1000
2013-10-07,8.37,8.37,8.28,6.050739,8.29,2300
2013-10-08,8.27,8.27,8.25,6.0215440000000005,8.25,7100
2013-10-09,8.25,8.25,8.25,6.0215440000000005,8.25,200
2013-10-10,8.29,8.33,8.29,6.0799330000000005,8.33,1200
2013-10-11,8.36,8.36,8.36,6.1018300000000005,8.36,100
2013-10-14,8.3,8.38,8.3,6.072635,8.32,1300
2013-10-15,8.35,8.35,8.31,6.065337,8.31,900
2013-10-16,8.36,8.5,8.36,6.1894160000000005,8.48,3200
2013-10-17,8.42,8.43,8.42,6.152921,8.43,200
2013-10-18,8.5,8.5,8.5,6.204013,8.5,200
2013-10-21,8.45,8.48,8.45,6.182117,8.47,10300
2013-10-22,8.5,8.5,8.5,6.204013,8.5,100
2013-10-23,8.51,8.55,8.5,6.204013,8.5,1400
2013-10-24,8.55,8.69,8.55,6.277004,8.6,8700
2013-10-25,8.6,8.6,8.6,6.277004,8.6,0
2013-10-28,8.72,8.72,8.62,6.2916,8.62,5200
2013-10-29,8.59,8.65,8.59,6.316082,8.6,6800
2013-10-30,8.6,8.64,8.53,6.345457,8.64,1200
2013-10-31,8.68,8.68,8.56,6.316082,8.6,6800
2013-11-01,8.61,8.66,8.58,6.316082,8.6,7500
2013-11-04,8.65,8.65,8.65,6.352801,8.65,1100
2013-11-05,8.75,8.75,8.65,6.352801,8.65,1400
2013-11-06,8.65,8.65,8.65,6.352801,8.65,0
2013-11-07,8.75,8.85,8.75,6.499686,8.85,2300
2013-11-08,8.81,8.84,8.75,6.426243,8.75,7000
2013-11-11,8.71,8.71,8.71,6.396866,8.71,600
2013-11-12,8.74,8.74,8.73,6.411553,8.73,1900
2013-11-13,8.67,8.69,8.67,6.367489,8.67,1400
