Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,1.3,1.3,1.3,1.169945,1.3,600
2010-01-05,1.7,1.7,1.4,1.259941,1.4,600
2010-01-06,1.4,1.4,1.4,1.259941,1.4,0
2010-01-07,1.3,1.3,1.3,1.169945,1.3,0
2010-01-08,1.6,1.6,1.3,1.439932,1.6,5800
2010-01-11,1.6,1.6,1.6,1.439932,1.6,0
2010-01-12,1.7,1.7,1.7,1.529928,1.7,200
2010-01-13,1.3,1.7,1.3,1.529928,1.7,600
2010-01-14,1.5,1.5,1.5,1.349936,1.5,500
2010-01-15,1.5,1.5,1.3,1.349936,1.5,1000
2010-01-19,1.5,1.5,1.5,1.349936,1.5,200
2010-01-20,1.3,1.4,1.3,1.169945,1.3,9700
2010-01-21,1.3,1.3,1.3,1.169945,1.3,0
2010-01-22,1.4,1.4,1.4,1.259941,1.4,500
2010-01-25,1.5,1.5,1.3,1.169945,1.3,500
2010-01-26,1.3,1.3,1.3,1.169945,1.3,0
2010-01-27,1.3,1.3,1.3,1.169945,1.3,0
2010-01-28,1.3,1.3,1.3,1.169945,1.3,0
2010-01-29,1.3,1.3,1.3,1.169945,1.3,0
2010-02-01,1.3,1.3,1.3,1.169945,1.3,0
2010-02-02,1.3,1.3,1.3,1.169945,1.3,2000
2010-02-03,1.3,1.3,1.3,1.169945,1.3,1100
2010-02-04,1.3,1.3,1.3,1.169945,1.3,0
2010-02-05,1.3,1.3,1.3,1.169945,1.3,2000
2010-02-08,1.3,1.3,1.3,1.169945,1.3,0
2010-02-09,1.3,1.3,1.3,1.169945,1.3,0
2010-02-10,1.3,1.3,1.3,1.169945,1.3,0
2010-02-11,1.3,1.3,1.3,1.169945,1.3,0
2010-02-12,1.3,1.3,1.3,1.169945,1.3,0
2010-02-16,1.3,1.3,1.3,1.169945,1.3,200
2010-02-17,1.3,1.3,1.3,1.169945,1.3,0
2010-02-18,1.3,1.3,1.3,1.169945,1.3,1400
2010-02-19,1.3,1.3,1.3,1.169945,1.3,0
2010-02-22,1.3,1.3,1.3,1.169945,1.3,0
2010-02-23,1.3,1.3,1.3,1.169945,1.3,0
2010-02-24,1.1,1.1,1.1,0.9899540000000001,1.1,2000
2010-02-25,1.1,1.1,1.1,0.9899540000000001,1.1,0
2010-02-26,1.3,1.3,1.3,1.169945,1.3,1200
2010-03-01,1.3,1.3,1.3,1.169945,1.3,300
2010-03-02,1.3,1.3,1.3,1.169945,1.3,0
2010-03-03,1.5,1.5,1.5,1.349936,1.5,500
2010-03-04,1.5,1.5,1.5,1.349936,1.5,0
