Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,7.756,7.848,7.756,6.031551,7.842,4000
2010-01-05,7.806,7.806,7.676,5.994634,7.794,6500
2010-01-06,7.614,7.614,7.472,5.79312,7.532,8000
2010-01-07,7.592,7.592,7.592,5.839269,7.592,1500
2010-01-08,7.61,7.61,7.61,5.853112,7.61,500
2010-01-11,7.802,8.0,7.802,6.134616,7.976,13500
2010-01-12,7.976,8.096,7.976,6.163843,8.014,10500
2010-01-13,8.244,8.244,8.074,6.2099910000000005,8.074,1500
2010-01-14,8.144,8.144,8.098,6.229989,8.1,2000
2010-01-15,8.024,8.024,7.84,6.06847,7.89,50500
2010-01-19,7.812,7.884,7.744,6.063855,7.884,29000
2010-01-20,7.428,7.428,7.16,5.568532,7.24,40500
2010-01-21,7.154,7.21,6.752,5.29626,6.886,32000
2010-01-22,6.938,7.2,6.938,5.465469000000001,7.106,54000
2010-01-25,7.396,7.396,7.066,5.434704,7.066,23000
2010-01-26,7.034,7.196,7.034,5.5346910000000005,7.196,5000
2010-01-27,7.148,7.148,6.976,5.490081,7.138,10500
2010-01-28,7.094,7.094,6.884,5.305489,6.898,7000
2010-01-29,6.806,6.806,6.638,5.105514,6.638,9500
2010-02-01,6.7,6.774,6.654,5.176273999999999,6.73,2500
2010-02-02,6.718,6.962,6.718,5.280876,6.866,32000
2010-02-03,6.95,7.01,6.882,5.330101,6.93,21500
2010-02-04,6.768,6.768,6.444,4.956302,6.444,11000
2010-02-05,6.5,6.522,6.434,5.016294,6.522,8500
2010-02-08,6.396,6.396,6.38,4.907076999999999,6.38,1000
2010-02-09,6.534,6.716,6.534,5.145509,6.69,10500
2010-02-10,6.524,6.524,6.476,5.005526000000001,6.508,5000
2010-02-11,6.748,6.978,6.73,5.331639,6.932,25500
2010-02-12,6.704,6.73,6.704,5.176273999999999,6.73,2500
2010-02-16,6.826,6.826,6.766,5.240881,6.814,4500
2010-02-17,6.882,6.966,6.778,5.213191999999999,6.778,6000
2010-02-18,6.846,7.116,6.846,5.47316,7.116,75000
2010-02-19,6.81,6.926,6.81,5.317794999999999,6.914,5500
2010-02-22,6.804,7.014,6.804,5.314718,6.91,49000
2010-02-23,6.78,6.81,6.626,5.1947339999999995,6.754,48500
2010-02-24,6.784,6.984,6.784,5.3377930000000005,6.94,74500
