Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,5.22,5.55,5.21,5.47,5.47,46400
2010-01-05,5.49,5.57,5.42,5.56,5.56,46800
2010-01-06,5.56,5.88,5.52,5.59,5.59,46500
2010-01-07,5.59,5.88,5.54,5.83,5.83,50700
2010-01-08,5.83,6.19,5.74,6.08,6.08,53200
2010-01-11,6.17,6.85,6.15,6.73,6.73,93000
2010-01-12,6.76,6.79,6.38,6.51,6.51,41200
2010-01-13,6.5,6.55,6.3,6.36,6.36,54800
2010-01-14,6.38,6.42,6.3,6.3,6.3,30600
2010-01-15,6.3,6.4,6.2,6.4,6.4,37000
2010-01-19,6.44,6.51,6.26,6.39,6.39,26700
2010-01-20,6.39,6.41,6.04,6.19,6.19,32400
2010-01-21,6.22,6.63,6.16,6.54,6.54,54200
2010-01-22,6.55,7.16,6.49,7.12,7.12,72200
2010-01-25,7.24,7.48,7.0,7.02,7.02,86300
2010-01-26,7.1,7.1,6.7,6.75,6.75,32200
2010-01-27,6.78,6.87,6.45,6.62,6.62,31500
2010-01-28,6.61,7.08,6.42,6.95,6.95,52100
2010-01-29,7.0,7.19,6.32,6.33,6.33,81900
2010-02-01,6.47,6.62,6.15,6.62,6.62,48600
2010-02-02,6.61,6.96,6.49,6.62,6.62,40000
2010-02-03,6.68,6.8,6.35,6.53,6.53,33500
2010-02-04,6.54,6.57,6.3,6.42,6.42,29200
2010-02-05,6.35,6.82,6.29,6.71,6.71,45600
2010-02-08,6.68,7.0,6.53,6.59,6.59,51100
2010-02-09,6.71,6.71,6.41,6.43,6.43,34100
2010-02-10,6.43,6.45,6.31,6.4,6.4,22300
2010-02-11,6.46,6.82,6.31,6.82,6.82,49300
2010-02-12,6.82,7.0,6.73,6.91,6.91,30100
2010-02-16,7.0,7.18,6.93,7.09,7.09,20000
2010-02-17,7.14,7.5,7.04,7.42,7.42,51100
2010-02-18,7.31,7.41,6.91,6.94,6.94,48200
2010-02-19,6.96,7.65,6.84,7.65,7.65,87600
2010-02-22,7.76,7.76,7.37,7.75,7.75,54500
2010-02-23,7.75,8.48,7.69,8.42,8.42,289800
2010-02-24,8.3,8.4,7.99,8.04,8.04,97800
