Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,7.06,7.3,7.06,7.28,7.28,1013300
2010-01-05,7.29,7.58,7.24,7.56,7.56,1963600
2010-01-06,7.1,7.29,6.93,7.05,7.05,5065000
2010-01-07,7.05,7.26,6.96,7.21,7.21,2085000
2010-01-08,7.23,7.29,7.08,7.18,7.18,1295100
2010-01-11,7.24,7.52,7.09,7.51,7.51,2604700
2010-01-12,7.43,7.49,7.25,7.26,7.26,1520100
2010-01-13,7.33,7.46,7.27,7.4,7.4,1154900
2010-01-14,7.43,7.53,7.32,7.36,7.36,1054000
2010-01-15,7.39,7.42,7.3,7.39,7.39,2221500
2010-01-19,7.85,7.96,7.64,7.76,7.76,2800000
2010-01-20,7.75,8.02,7.63,7.82,7.82,3711900
2010-01-21,7.82,7.96,7.52,7.56,7.56,4250800
2010-01-22,7.53,7.7,7.35,7.46,7.46,2035900
2010-01-25,7.32,7.4,7.14,7.25,7.25,2625700
2010-01-26,7.25,7.47,7.16,7.39,7.39,2325000
2010-01-27,7.33,7.45,7.1,7.24,7.24,3095300
2010-01-28,7.26,7.32,6.89,6.95,6.95,3118700
2010-01-29,7.05,7.36,6.96,7.11,7.11,2836400
2010-02-01,7.12,7.45,7.1,7.42,7.42,1922600
2010-02-02,7.43,7.69,7.3,7.66,7.66,2285300
2010-02-03,7.58,7.58,7.35,7.42,7.42,1566500
2010-02-04,7.39,7.39,6.93,7.0,7.0,2626500
2010-02-05,7.0,7.13,6.8,7.11,7.11,1990800
2010-02-08,7.12,7.39,7.01,7.04,7.04,2034600
2010-02-09,7.13,7.3,6.98,7.2,7.2,3717100
2010-02-10,7.14,7.17,6.82,7.04,7.04,2932300
2010-02-11,6.97,7.06,6.82,7.03,7.03,2479000
2010-02-12,6.91,7.05,6.87,7.03,7.03,2434500
2010-02-16,7.08,7.37,7.06,7.32,7.32,3717100
2010-02-17,7.31,7.31,7.09,7.14,7.14,3100500
2010-02-18,7.15,7.32,7.11,7.26,7.26,4714900
2010-02-19,7.28,7.8,7.28,7.72,7.72,5038300
2010-02-22,7.9,8.31,7.7,8.21,8.21,5530000
2010-02-23,7.97,7.99,7.56,7.68,7.68,3675800
2010-02-24,7.68,7.98,7.64,7.87,7.87,2405400
2010-02-25,7.8,7.9,7.69,7.85,7.85,1790100
2010-02-26,7.88,7.99,7.58,7.61,7.61,3166800
2010-03-01,7.67,8.04,7.63,7.97,7.97,2262100
2010-03-02,8.03,8.25,8.01,8.16,8.16,2888400
2010-03-03,8.18,8.53,8.18,8.32,8.32,2367600
