Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,7.51,7.55,7.29,4.625665000000001,7.34,55400
2010-01-05,7.33,7.33,7.19,4.5500419999999995,7.22,48300
2010-01-06,7.21,7.33,7.15,4.531135,7.19,47300
2010-01-07,7.2,7.34,7.17,4.556344,7.23,20800
2010-01-08,7.18,7.32,7.14,4.499626,7.14,36200
2010-01-11,7.2,7.26,7.14,4.524833999999999,7.18,19200
2010-01-12,7.14,7.25,7.14,4.556344,7.23,35600
2010-01-13,7.24,7.25,7.16,4.531135,7.19,32500
2010-01-14,7.14,7.26,7.14,4.543740000000001,7.21,61900
2010-01-15,7.24,7.26,7.2,4.556344,7.23,87700
2010-01-19,7.26,7.5,7.22,4.707592,7.47,122200
2010-01-20,7.47,7.71,7.41,4.833632,7.67,92400
2010-01-21,7.67,7.88,7.44,4.770612,7.57,74000
2010-01-22,7.58,7.61,7.46,4.7391,7.52,52800
2010-01-25,7.57,7.7,7.51,4.783216,7.59,54600
2010-01-26,7.58,7.85,7.51,4.76431,7.56,64600
2010-01-27,7.52,7.73,7.51,4.85884,7.71,38400
2010-01-28,7.7,7.78,7.49,4.852537,7.7,78700
2010-01-29,7.75,7.77,7.47,4.7138919999999995,7.48,68100
2010-02-01,7.5,7.77,7.48,4.852537,7.7,76800
2010-02-02,7.68,7.84,7.67,4.890349,7.76,73000
2010-02-03,7.71,7.72,7.51,4.76431,7.56,46200
2010-02-04,7.54,7.7,7.44,4.6886849999999995,7.44,56600
2010-02-05,7.48,7.75,7.46,4.814725,7.64,59300
2010-02-08,7.62,7.68,7.41,4.682384,7.43,50900
2010-02-09,7.54,7.54,7.35,4.676083,7.42,70000
2010-02-10,7.37,7.43,7.28,4.625665000000001,7.34,61300
2010-02-11,7.28,7.34,7.14,4.696434,7.3,97900
2010-02-12,7.22,7.27,7.14,4.599932,7.15,91900
2010-02-16,7.18,7.21,7.07,4.619232,7.18,48000
2010-02-17,7.18,7.23,7.12,4.6321,7.2,108600
2010-02-18,7.18,7.23,7.11,4.6514,7.23,52400
2010-02-19,7.23,7.23,7.14,4.606365,7.16,56200
2010-02-22,7.15,7.45,7.15,4.773636,7.42,100600
2010-02-23,7.43,7.47,7.21,4.786502,7.44,57700
2010-02-24,7.44,7.5,7.43,4.792936,7.45,66800
