Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,2.46,2.58,2.44,0.7476,2.51,20800.0
2010-01-05,2.53,2.53,2.22,0.723772,2.43,34300.0
2010-01-06,2.43,2.45,2.33,0.705901,2.37,29100.0
2010-01-07,2.33,2.46,2.22,0.673138,2.26,74500.0
2010-01-08,2.22,2.4,2.22,0.7148359999999999,2.4,29900.0
2010-01-11,2.47,2.5,2.37,0.732707,2.46,40600.0
2010-01-12,2.5,2.55,2.46,0.7476,2.51,24300.0
2010-01-13,2.51,2.55,2.48,0.744621,2.5,21100.0
2010-01-14,2.52,2.6,2.47,0.750578,2.52,17400.0
2010-01-15,2.47,2.51,2.4,0.735686,2.47,22800.0
2010-01-19,2.42,2.5,2.4,0.744621,2.5,28400.0
2010-01-20,2.49,2.5,2.44,0.735686,2.47,5500.0
2010-01-21,2.5,2.5,2.2,0.691009,2.32,66500.0
2010-01-22,2.26,2.3,2.15,0.658245,2.21,104000.0
2010-01-25,2.17,2.3,2.17,0.685052,2.3,25600.0
2010-01-26,2.3,2.45,2.28,0.699944,2.35,36500.0
2010-01-27,2.33,2.45,2.3,0.7148359999999999,2.4,31500.0
2010-01-28,2.43,2.45,2.39,0.720793,2.42,26600.0
2010-01-29,2.46,2.47,2.35,0.699944,2.35,18800.0
2010-02-01,2.39,2.45,2.37,0.72675,2.44,17000.0
2010-02-02,2.44,2.54,2.44,0.738664,2.48,36200.0
2010-02-03,2.47,2.58,2.45,0.7684489999999999,2.58,9200.0
2010-02-04,2.6,2.6,2.42,0.72675,2.44,72200.0
2010-02-05,2.49,2.49,2.33,0.7148359999999999,2.4,49200.0
2010-02-08,2.41,2.49,2.36,0.738664,2.48,10300.0
2010-02-09,2.53,2.53,2.37,0.7148359999999999,2.4,32900.0
2010-02-10,2.39,2.5,2.39,0.717815,2.41,6900.0
2010-02-11,2.36,2.36,2.25,0.699944,2.35,10900.0
2010-02-12,2.55,2.55,2.31,0.7148359999999999,2.4,122900.0
2010-02-16,2.55,2.55,2.35,0.699944,2.35,62500.0
2010-02-17,2.4,2.42,2.32,0.699944,2.35,42500.0
2010-02-18,2.41,2.41,2.25,0.685052,2.3,114500.0
2010-02-19,2.26,2.34,2.25,0.685052,2.3,31500.0
2010-02-22,2.34,2.39,2.07,0.6314390000000001,2.12,134000.0
2010-02-23,2.08,2.19,2.06,0.64931,2.18,37700.0
2010-02-24,2.18,2.3,2.18,0.6701590000000001,2.25,48700.0
2010-02-25,2.26,2.28,2.25,0.679095,2.28,12300.0
2010-02-26,2.23,2.32,2.23,0.6820729999999999,2.29,12000.0
2010-03-01,2.29,2.3,2.19,0.6761159999999999,2.27,17200.0
2010-03-02,2.27,3.5,2.18,0.833976,2.8,2451100.0
2010-03-03,2.94,3.33,2.94,0.9531149999999999,3.2,1858600.0
2010-03-04,3.25,3.61,3.25,1.060341,3.56,1843000.0
2010-03-05,3.65,3.84,3.6,1.105018,3.71,1266700.0
2010-03-08,3.9,4.33,3.83,1.289684,4.33,2536900.0
2010-03-09,4.4,4.78,4.02,1.382017,4.64,3328100.0
2010-03-10,4.66,4.77,4.31,1.319469,4.43,1839900.0
2010-03-11,4.49,4.49,3.82,1.1616090000000001,3.9,1252300.0
2010-03-12,3.92,4.1,3.63,1.143738,3.84,1127000.0
2010-03-15,3.93,3.93,3.65,1.122889,3.77,521800.0
2010-03-16,3.47,3.47,3.01,0.9650290000000001,3.24,1846700.0
2010-03-17,3.3,3.56,3.21,1.036513,3.48,885700.0
2010-03-18,3.59,3.63,3.28,1.072255,3.6,493500.0
2010-03-19,3.59,3.65,3.32,1.0692760000000001,3.59,414900.0
2010-03-22,3.5,3.54,3.34,1.003749,3.37,262400.0
2010-03-23,3.34,3.39,3.17,0.9441799999999999,3.17,390800.0
2010-03-24,3.17,3.3,2.97,0.956094,3.21,695100.0
2010-03-25,2.4,2.5,2.3,1.069375,2.36,1330500.0
2010-03-26,2.37,2.49,2.35,1.105625,2.44,437200.0
2010-03-29,2.4,2.48,2.37,1.073906,2.37,483500.0
2010-03-30,2.38,2.38,2.18,1.005937,2.22,466000.0
2010-03-31,2.15,2.24,2.14,0.983281,2.17,261000.0
2010-04-01,2.12,2.2,2.09,0.9742190000000001,2.15,218300.0
2010-04-05,2.12,2.3,2.04,1.015,2.24,319100.0
2010-04-06,2.29,2.29,1.9,1.001406,2.21,176600.0
2010-04-07,2.29,2.41,2.29,1.046719,2.31,438500.0
2010-04-08,2.36,2.4,2.28,1.0603129999999998,2.34,177400.0
2010-04-09,2.39,2.39,2.3,1.0603129999999998,2.34,89700.0
2010-04-12,2.4,2.4,2.2,1.015,2.24,310800.0
2010-04-13,2.2,2.24,2.16,0.9878129999999999,2.18,132300.0
2010-04-14,2.22,2.25,2.15,1.019531,2.25,149800.0
2010-04-15,2.2,2.23,2.15,0.9742190000000001,2.15,235100.0
2010-04-16,2.15,2.2,2.11,0.9742190000000001,2.15,141800.0
2010-04-19,2.1,2.18,2.1,0.9651559999999999,2.13,170100.0
2010-04-20,2.17,2.22,2.1,1.005937,2.22,141800.0
2010-04-21,2.24,2.29,2.15,0.9742190000000001,2.15,122100.0
2010-04-22,2.2,2.2,2.11,0.9878129999999999,2.18,49900.0
2010-04-23,2.2,2.2,2.15,0.983281,2.17,87200.0
2010-04-26,2.14,2.2,2.12,0.97875,2.16,151600.0
2010-04-27,2.16,2.19,2.09,0.956094,2.11,151600.0
2010-04-28,2.08,2.12,2.04,0.956094,2.11,97000.0
2010-04-29,2.09,2.12,2.03,0.960625,2.12,117900.0
2010-04-30,2.15,2.19,2.08,0.947031,2.09,107100.0
2010-05-03,2.13,2.13,2.02,0.947031,2.09,126900.0
2010-05-04,2.08,2.1,1.88,0.8790629999999999,1.94,145200.0
2010-05-05,1.95,1.95,1.59,0.811094,1.79,225600.0
2010-05-06,1.7,1.8,1.58,0.770313,1.7,141700.0
2010-05-07,1.68,1.68,1.55,0.743125,1.64,138000.0
2010-05-10,1.7,1.78,1.67,0.7975,1.76,90200.0
2010-05-11,1.79,1.89,1.77,0.856406,1.89,86500.0
2010-05-12,1.85,1.99,1.85,0.8926559999999999,1.97,66100.0
2010-05-13,2.0,2.04,1.94,0.90625,2.0,73400.0
2010-05-14,2.02,2.02,1.8,0.865469,1.91,95200.0
2010-05-17,1.88,1.93,1.8,0.851875,1.88,50200.0
2010-05-18,1.88,1.93,1.76,0.802031,1.77,40300.0
2010-05-19,1.8,1.84,1.57,0.7521869999999999,1.66,88900.0
2010-05-20,1.59,1.66,1.57,0.734062,1.62,71800.0
2010-05-21,1.6,1.75,1.55,0.765781,1.69,60600.0
2010-05-24,1.71,1.77,1.52,0.76125,1.68,62200.0
2010-05-25,1.71,1.75,1.58,0.76125,1.68,58600.0
2010-05-26,1.66,1.78,1.66,0.770313,1.7,39400.0
2010-05-27,1.75,1.79,1.68,0.7975,1.76,65000.0
2010-05-28,1.78,1.83,1.72,0.7884369999999999,1.74,28900.0
2010-06-01,1.78,1.8,1.7,0.7929689999999999,1.75,46300.0
2010-06-02,1.74,1.81,1.73,0.815625,1.8,60600.0
2010-06-03,1.82,1.86,1.72,0.815625,1.8,38400.0
2010-06-04,1.82,1.83,1.71,0.7929689999999999,1.75,23100.0
2010-06-07,1.71,1.76,1.65,0.76125,1.68,83700.0
2010-06-08,1.65,1.73,1.6,0.729531,1.61,44400.0
2010-06-09,1.66,1.7,1.64,0.7567189999999999,1.67,32400.0
2010-06-10,1.7,1.75,1.7,0.783906,1.73,25800.0
2010-06-11,1.77,1.8,1.71,0.7884369999999999,1.74,22400.0
2010-06-14,1.74,1.8,1.72,0.802031,1.77,38800.0
2010-06-15,1.76,1.8,1.74,0.806562,1.78,40700.0
2010-06-16,1.8,1.8,1.75,0.815625,1.8,7600.0
2010-06-17,1.8,1.8,1.75,0.806562,1.78,12800.0
2010-06-18,1.79,1.8,1.75,0.7975,1.76,21900.0
2010-06-21,1.76,1.8,1.75,0.802031,1.77,23800.0
2010-06-22,1.77,1.79,1.75,0.806562,1.78,21200.0
2010-06-23,1.75,1.8,1.73,0.815625,1.8,21900.0
2010-06-24,1.8,1.81,1.66,0.7929689999999999,1.75,71400.0
2010-06-25,1.77,1.81,1.74,0.806562,1.78,40700.0
2010-06-28,1.8,1.8,1.73,0.7929689999999999,1.75,20500.0
2010-06-29,1.7,1.74,1.58,0.7567189999999999,1.67,40400.0
2010-06-30,1.64,1.75,1.61,0.770313,1.7,72600.0
2010-07-01,1.7,1.73,1.57,0.7567189999999999,1.67,71100.0
2010-07-02,1.69,1.69,1.65,0.765781,1.69,6600.0
2010-07-06,1.7,1.7,1.62,0.743125,1.64,36000.0
2010-07-07,1.62,1.66,1.61,0.738594,1.63,17300.0
2010-07-08,1.64,1.65,1.61,0.743125,1.64,27600.0
2010-07-09,1.65,1.66,1.59,0.747656,1.65,29500.0
2010-07-12,1.66,1.74,1.66,0.7884369999999999,1.74,45700.0
2010-07-13,1.74,1.8,1.74,0.811094,1.79,53200.0
2010-07-14,1.78,1.83,1.75,0.802031,1.77,130400.0
2010-07-15,2.25,2.38,2.08,0.960625,2.12,700400.0
2010-07-16,2.16,2.22,2.02,0.9515620000000001,2.1,142000.0
2010-07-19,2.25,2.25,2.11,0.956094,2.11,120200.0
2010-07-20,2.19,2.19,2.1,0.97875,2.16,53000.0
2010-07-21,2.24,2.24,2.12,0.960625,2.12,65500.0
2010-07-22,2.13,2.22,2.13,0.992344,2.19,178900.0
2010-07-23,2.2,2.23,2.15,0.9742190000000001,2.15,71500.0
2010-07-26,2.13,2.26,2.13,1.019531,2.25,148800.0
2010-07-27,2.28,2.32,2.24,1.037656,2.29,91100.0
2010-07-28,2.24,2.3,2.21,1.042187,2.3,77700.0
2010-07-29,2.29,2.31,2.17,0.996875,2.2,84300.0
2010-07-30,2.2,2.29,2.2,1.019531,2.25,72100.0
2010-08-02,2.35,2.44,2.3,1.073906,2.37,127600.0
2010-08-03,2.38,2.42,2.3,1.096563,2.42,106000.0
2010-08-04,2.44,2.53,2.42,1.12375,2.48,126800.0
2010-08-05,2.62,2.62,2.49,1.1328129999999998,2.5,58800.0
2010-08-06,2.5,2.55,2.34,1.1328129999999998,2.5,58500.0
2010-08-09,2.53,2.55,2.49,1.1282809999999999,2.49,44200.0
2010-08-10,2.45,2.49,2.31,1.110156,2.45,95600.0
2010-08-11,2.45,2.47,2.3,1.101094,2.43,140000.0
2010-08-12,2.44,2.5,2.4,1.110156,2.45,42100.0
2010-08-13,2.5,2.55,2.46,1.1328129999999998,2.5,62000.0
2010-08-16,2.84,2.84,2.44,1.12375,2.48,323000.0
2010-08-17,2.43,2.53,2.43,1.1328129999999998,2.5,97200.0
2010-08-18,2.49,2.59,2.47,1.141875,2.52,85700.0
2010-08-19,2.56,2.6,2.31,1.046719,2.31,98000.0
2010-08-20,2.32,2.56,2.29,1.1328129999999998,2.5,146800.0
2010-08-23,2.51,2.59,2.46,1.119219,2.47,41700.0
2010-08-24,2.41,2.49,2.41,1.105625,2.44,183000.0
2010-08-25,2.46,2.49,2.46,1.12375,2.48,21000.0
2010-08-26,2.5,2.5,2.47,1.1282809999999999,2.49,56400.0
2010-08-27,2.49,2.5,2.47,1.12375,2.48,24500.0
2010-08-30,2.48,2.5,2.47,1.119219,2.47,40600.0
2010-08-31,2.48,2.49,2.45,1.119219,2.47,127700.0
2010-09-01,2.48,2.5,2.47,1.12375,2.48,62600.0
2010-09-02,2.48,2.5,2.46,1.119219,2.47,31300.0
2010-09-03,2.47,2.5,2.46,1.1328129999999998,2.5,107300.0
2010-09-07,2.5,2.5,2.47,1.1282809999999999,2.49,26600.0
2010-09-08,2.49,2.49,2.44,1.12375,2.48,133300.0
2010-09-09,2.5,2.5,2.45,1.12375,2.48,41600.0
2010-09-10,2.48,2.49,2.28,1.096563,2.42,65600.0
2010-09-13,2.4,2.47,2.37,1.105625,2.44,34600.0
2010-09-14,2.44,2.47,2.43,1.119219,2.47,58400.0
2010-09-15,2.47,2.48,2.42,1.101094,2.43,116600.0
2010-09-16,2.43,2.47,2.38,1.092031,2.41,8700.0
2010-09-17,2.41,2.44,2.33,1.073906,2.37,48300.0
2010-09-20,2.39,2.4,2.36,1.082969,2.39,41200.0
2010-09-21,2.39,2.45,2.36,1.101094,2.43,53300.0
2010-09-22,2.4,2.4,2.36,1.073906,2.37,18100.0
2010-09-23,2.37,2.37,2.3,1.0648440000000001,2.35,24400.0
2010-09-24,2.35,2.35,2.18,1.046719,2.31,53500.0
2010-09-27,2.27,2.32,2.2,1.015,2.24,34000.0
2010-09-28,2.22,2.26,2.18,1.024063,2.26,122100.0
2010-09-29,2.24,2.26,2.21,1.019531,2.25,24500.0
2010-09-30,2.25,2.26,2.23,1.019531,2.25,76100.0
2010-10-01,2.25,2.26,2.22,1.005937,2.22,7900.0
2010-10-04,2.2,2.22,1.91,0.8926559999999999,1.97,178200.0
2010-10-05,2.0,2.06,1.98,0.924375,2.04,81700.0
2010-10-06,2.04,2.05,2.02,0.9198440000000001,2.03,35400.0
2010-10-07,2.02,2.05,1.97,0.8971879999999999,1.98,32100.0
2010-10-08,2.0,2.06,1.97,0.9334370000000001,2.06,41100.0
2010-10-11,2.07,2.07,1.98,0.90625,2.0,106400.0
2010-10-12,1.99,2.05,1.9,0.8609370000000001,1.9,102900.0
2010-10-13,1.9,1.99,1.9,0.8609370000000001,1.9,144000.0
2010-10-14,1.9,1.96,1.9,0.8835940000000001,1.95,55500.0
2010-10-15,1.95,1.95,1.88,0.87,1.92,169000.0
2010-10-18,1.95,2.02,1.95,0.901719,1.99,75900.0
2010-10-19,1.98,1.99,1.88,0.865469,1.91,112700.0
2010-10-20,1.93,1.93,1.85,0.8609370000000001,1.9,176300.0
2010-10-21,1.91,1.96,1.89,0.87,1.92,99300.0
2010-10-22,1.92,1.96,1.9,0.87,1.92,33000.0
2010-10-25,2.0,2.0,1.94,0.888125,1.96,69500.0
2010-10-26,1.97,2.02,1.91,0.910781,2.01,93200.0
2010-10-27,2.01,2.08,2.0,0.9334370000000001,2.06,92200.0
2010-10-28,2.06,2.1,2.04,0.9425,2.08,47000.0
2010-10-29,2.08,2.12,2.05,0.9289059999999999,2.05,65400.0
2010-11-01,2.05,2.09,1.93,0.8835940000000001,1.95,102300.0
2010-11-02,2.0,2.01,1.96,0.90625,2.0,81900.0
2010-11-03,2.01,2.05,1.95,0.8835940000000001,1.95,56300.0
2010-11-04,1.99,2.0,1.96,0.8926559999999999,1.97,78100.0
2010-11-05,1.95,2.02,1.95,0.90625,2.0,84200.0
2010-11-08,2.03,2.04,1.97,0.901719,1.99,95400.0
2010-11-09,1.99,2.09,1.99,0.9425,2.08,57100.0
2010-11-10,2.09,2.12,2.05,0.947031,2.09,34800.0
2010-11-11,2.01,2.14,2.0,0.9425,2.08,55000.0
2010-11-12,2.08,2.14,2.07,0.9651559999999999,2.13,78600.0
2010-11-15,2.16,2.24,2.13,0.9742190000000001,2.15,72000.0
2010-11-16,2.13,2.15,2.08,0.9742190000000001,2.15,132000.0
2010-11-17,2.14,2.23,2.14,0.97875,2.16,129100.0
2010-11-18,2.16,2.21,2.08,0.9742190000000001,2.15,101400.0
2010-11-19,2.14,2.18,2.08,0.947031,2.09,111600.0
2010-11-22,2.07,2.1,2.05,0.9289059999999999,2.05,31900.0
2010-11-23,2.05,2.12,2.05,0.9515620000000001,2.1,58100.0
2010-11-24,2.11,2.16,2.1,0.960625,2.12,101800.0
2010-11-26,2.1,2.17,2.1,0.9742190000000001,2.15,52500.0
2010-11-29,2.15,2.15,2.09,0.9515620000000001,2.1,69000.0
2010-11-30,2.1,2.12,2.05,0.947031,2.09,56000.0
2010-12-01,2.08,2.16,2.03,0.924375,2.04,89400.0
2010-12-02,2.04,2.07,2.01,0.9153120000000001,2.02,130400.0
2010-12-03,2.06,2.06,2.0,0.9198440000000001,2.03,43800.0
2010-12-06,2.0,2.05,1.97,0.924375,2.04,88300.0
2010-12-07,2.04,2.09,2.0,0.9198440000000001,2.03,97700.0
2010-12-08,2.02,2.05,1.98,0.90625,2.0,104700.0
2010-12-09,2.04,2.06,2.0,0.9198440000000001,2.03,33700.0
2010-12-10,2.04,2.04,1.99,0.90625,2.0,69100.0
2010-12-13,2.02,2.02,1.99,0.910781,2.01,59200.0
2010-12-14,2.01,2.02,1.94,0.8790629999999999,1.94,110100.0
2010-12-15,1.96,2.0,1.96,0.8926559999999999,1.97,30300.0
2010-12-16,1.95,2.0,1.89,0.8790629999999999,1.94,88200.0
2010-12-17,2.0,2.0,1.9,0.87,1.92,82100.0
2010-12-20,1.94,2.03,1.92,0.8971879999999999,1.98,156400.0
