Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,12.85,12.9,12.78,7.812078,12.86,94800
2010-01-05,12.87,12.9,12.81,7.7999350000000005,12.84,51900
2010-01-06,12.84,13.07,12.84,7.939649,13.07,59200
2010-01-07,13.13,13.2,13.01,7.933580999999999,13.06,78300
2010-01-08,13.06,13.13,13.02,7.976102,13.13,27900
2010-01-11,13.19,13.25,13.09,8.000397999999999,13.17,49000
2010-01-12,13.12,13.19,13.05,7.9821729999999995,13.14,59800
2010-01-13,13.09,13.16,13.0,8.036522999999999,13.16,57200
2010-01-14,13.15,13.17,13.02,7.96935,13.05,67000
2010-01-15,13.01,13.08,12.98,7.987669,13.08,50600
2010-01-19,13.09,13.16,13.09,8.030416,13.15,56100
2010-01-20,13.15,13.21,13.12,8.036522999999999,13.16,55000
2010-01-21,13.16,13.17,12.88,7.932709,12.99,99800
2010-01-22,13.02,13.02,12.88,7.926597999999999,12.98,58600
2010-01-25,13.0,13.14,12.95,8.018203999999999,13.13,56900
2010-01-26,13.13,13.17,13.01,8.042627,13.17,67800
2010-01-27,13.11,13.23,13.11,8.07927,13.23,42000
2010-01-28,13.15,13.21,13.07,8.012095,13.12,45400
2010-01-29,13.11,13.13,13.05,7.999886,13.1,93600
2010-02-01,13.07,13.13,13.0,7.96935,13.05,69100
2010-02-02,13.06,13.11,13.05,7.999886,13.1,65500
2010-02-03,13.11,13.15,13.08,7.999886,13.1,52900
2010-02-04,13.05,13.1,12.94,7.938813000000001,13.0,77900
2010-02-05,12.95,13.0,12.89,7.920497,12.97,84300
2010-02-08,12.91,13.08,12.91,7.963246000000001,13.04,42700
2010-02-09,13.0,13.07,12.96,7.963246000000001,13.04,72100
2010-02-10,13.02,13.03,12.9,7.98105,13.0,62100
2010-02-11,12.95,13.02,12.92,7.962627,12.97,57900
2010-02-12,12.99,13.01,12.9,7.98105,13.0,82700
2010-02-16,12.96,13.06,12.92,7.931928,12.92,127400
2010-02-17,12.9,13.0,12.78,7.870541,12.82,143900
2010-02-18,12.88,12.94,12.84,7.919653,12.9,83400
2010-02-19,12.82,13.0,12.82,7.919653,12.9,122900
2010-02-22,12.75,12.86,12.7,7.858262,12.8,169600
2010-02-23,12.84,12.88,12.8,7.901238,12.87,120300
2010-02-24,12.89,12.98,12.88,7.968764999999999,12.98,81200
2010-02-25,12.99,13.0,12.91,7.974911,12.99,70800
2010-02-26,13.03,13.07,12.99,8.024027,13.07,40900
2010-03-01,13.0,13.1,13.0,8.030164,13.08,56500
2010-03-02,13.14,13.3,13.14,8.128386,13.24,93100
2010-03-03,13.3,13.34,13.19,8.134525,13.25,114500
2010-03-04,13.25,13.43,13.25,8.245036,13.43,106000
2010-03-05,13.48,13.63,13.4,8.33099,13.57,122200
2010-03-08,13.59,13.6,13.51,8.337129,13.58,90600
2010-03-09,13.6,13.65,13.49,8.33099,13.57,130800
2010-03-10,13.62,13.65,13.51,8.361680999999999,13.62,117400
2010-03-11,13.55,13.55,13.32,8.310433,13.46,125000
2010-03-12,13.46,13.51,13.41,8.291913000000001,13.43,42300
2010-03-15,13.45,13.5,13.42,8.316613,13.47,51100
2010-03-16,13.52,13.6,13.41,8.396875,13.6,181600
2010-03-17,13.61,13.61,13.53,8.372174000000001,13.56,88500
2010-03-18,13.59,13.65,13.51,8.409218,13.62,75000
2010-03-19,13.66,13.7,13.55,8.433923,13.66,130400
2010-03-22,13.6,13.7,13.51,8.378352,13.57,135500
2010-03-23,13.64,13.65,13.45,8.341308,13.51,158200
2010-03-24,13.5,13.63,13.5,8.372174000000001,13.56,63200
2010-03-25,13.63,13.66,13.49,8.328956,13.49,78400
2010-03-26,13.46,13.55,13.4,8.304262,13.45,72400
2010-03-29,13.5,13.61,13.46,8.384526,13.58,50100
2010-03-30,13.62,13.64,13.49,8.372174000000001,13.56,87300
2010-03-31,13.57,13.61,13.44,8.378352,13.57,96800
2010-04-01,13.64,13.78,13.62,8.446269000000001,13.68,47600
2010-04-05,13.7,13.74,13.58,8.415398,13.63,63300
2010-04-06,13.58,13.74,13.58,8.440097,13.67,67500
2010-04-07,13.73,13.73,13.63,8.415398,13.63,95000
2010-04-08,13.64,13.7,13.58,8.458616000000001,13.7,99000
2010-04-09,13.69,13.69,13.64,8.446269000000001,13.68,41500
2010-04-12,13.68,13.79,13.68,8.483312,13.74,85500
2010-04-13,13.62,13.7,13.61,8.487661,13.67,67800
2010-04-14,13.7,13.73,13.65,8.512487,13.71,59600
2010-04-15,13.66,13.78,13.66,8.524915,13.73,50700
2010-04-16,13.71,13.8,13.68,8.531121,13.74,57700
2010-04-19,13.78,13.85,13.73,8.593211,13.84,82600
2010-04-20,13.85,13.86,13.74,8.574583,13.81,66500
2010-04-21,13.81,13.81,13.67,8.531121,13.74,114900
2010-04-22,13.78,13.82,13.69,8.568375,13.8,77400
2010-04-23,13.87,13.95,13.77,8.636675,13.91,71500
2010-04-26,13.96,13.96,13.85,8.599423,13.85,60100
2010-04-27,13.89,13.9,13.74,8.555959,13.78,64000
2010-04-28,13.79,13.79,13.73,8.555959,13.78,65800
2010-04-29,13.79,13.79,13.75,8.537333,13.75,56400
2010-04-30,13.75,13.76,13.67,8.506285,13.7,97100
2010-05-03,13.76,14.06,13.68,8.500074,13.69,81300
2010-05-04,13.74,13.8,13.7,8.562167,13.79,143700
2010-05-05,13.81,13.86,13.78,8.574583,13.81,61700
2010-05-06,13.83,13.86,13.61,8.524915,13.73,128400
2010-05-07,13.83,13.93,13.51,8.450405,13.61,103700
2010-05-10,13.66,13.78,13.66,8.549747,13.77,98300
2010-05-11,13.76,13.87,13.74,8.587002,13.83,73100
2010-05-12,13.8,13.94,13.74,8.660053,13.87,110600
2010-05-13,13.92,13.98,13.87,8.728738,13.98,80100
2010-05-14,13.93,13.94,13.81,8.678782,13.9,62100
2010-05-17,13.9,13.9,13.77,8.641322,13.84,65400
2010-05-18,13.89,13.94,13.86,8.685029,13.91,52800
2010-05-19,13.82,13.91,13.81,8.678782,13.9,68600
2010-05-20,13.9,14.05,13.75,8.672543,13.89,74000
2010-05-21,13.85,14.05,13.8,8.728738,13.98,73100
2010-05-24,14.06,14.09,13.98,8.766196,14.04,34400
2010-05-25,14.05,14.13,13.88,8.728738,13.98,94000
2010-05-26,14.03,14.06,13.95,8.728738,13.98,99000
2010-05-27,13.94,14.01,13.93,8.74122,14.0,91500
2010-05-28,13.98,13.99,13.89,8.691272,13.92,50900
2010-06-01,13.94,14.0,13.89,8.74122,14.0,56700
2010-06-02,13.97,14.04,13.96,8.74122,14.0,71800
2010-06-03,14.04,14.1,13.96,8.759953,14.03,72900
2010-06-04,14.05,14.07,13.93,8.74122,14.0,70700
2010-06-07,14.0,14.05,13.99,8.766196,14.04,48200
2010-06-08,14.05,14.07,13.98,8.759953,14.03,47000
2010-06-09,14.1,14.13,13.95,8.71,13.95,105800
2010-06-10,14.0,14.1,14.0,8.803662,14.1,66600
2010-06-11,14.01,14.14,13.98,8.860175,14.11,46900
2010-06-14,14.07,14.12,14.04,8.828774000000001,14.06,73000
2010-06-15,14.14,14.14,14.07,8.847612,14.09,74600
2010-06-16,14.13,14.13,13.85,8.81622,14.04,161600
2010-06-17,14.09,14.15,14.03,8.885296,14.15,65200
2010-06-18,14.16,14.2,14.09,8.916685000000001,14.2,69700
2010-06-21,14.22,14.26,14.18,8.922968,14.21,85400
2010-06-22,14.22,14.24,14.18,8.922968,14.21,60100
2010-06-23,14.26,14.37,14.25,8.985762,14.31,67300
2010-06-24,14.35,14.36,14.19,8.973202,14.29,180800
2010-06-25,14.3,14.48,14.3,9.092511,14.48,71400
2010-06-28,14.47,14.7,14.44,9.230656,14.7,86400
2010-06-29,14.62,14.63,14.45,9.073673,14.45,138700
2010-06-30,14.38,14.39,14.18,8.941806,14.24,154300
2010-07-01,14.19,14.23,14.08,8.866449000000001,14.12,98000
2010-07-02,14.15,14.21,14.11,8.866449000000001,14.12,74500
2010-07-06,14.11,14.17,14.08,8.853894,14.1,58500
2010-07-07,14.1,14.16,14.07,8.879013,14.14,57100
2010-07-08,14.16,14.28,14.13,8.966924,14.28,107100
2010-07-09,14.3,14.37,14.28,9.010878,14.35,52900
2010-07-12,14.38,14.38,14.28,9.010878,14.35,58300
2010-07-13,14.32,14.34,14.23,8.991937,14.24,60800
2010-07-14,14.2,14.45,14.2,9.105597,14.42,165400
2010-07-15,14.45,14.45,14.36,9.080337,14.38,60600
2010-07-16,14.43,14.43,14.34,9.067708999999999,14.36,60000
2010-07-19,14.32,14.42,14.32,9.080337,14.38,39100
2010-07-20,14.4,14.48,14.37,9.143483,14.48,45500
2010-07-21,14.44,14.48,14.43,9.143483,14.48,55500
2010-07-22,14.43,14.59,14.43,9.156114,14.5,115000
2010-07-23,14.45,14.54,14.44,9.181374,14.54,48700
2010-07-26,14.54,14.58,14.5,9.181374,14.54,52800
2010-07-27,14.57,14.58,14.46,9.175056,14.53,90300
2010-07-28,14.54,14.6,14.53,9.219254,14.6,70400
2010-07-29,14.6,14.64,14.55,9.212946,14.59,64200
2010-07-30,14.58,14.6,14.57,9.206631,14.58,41900
2010-08-02,14.55,14.6,14.54,9.206631,14.58,98400
2010-08-03,14.53,14.6,14.53,9.219254,14.6,104600
2010-08-04,14.6,14.7,14.59,9.282407000000001,14.7,92600
2010-08-05,14.7,14.86,14.65,9.345550999999999,14.8,74700
2010-08-06,14.8,14.89,14.75,9.402381,14.89,56500
2010-08-09,14.9,14.94,14.81,9.383433,14.86,58800
2010-08-10,14.89,14.95,14.76,9.396065,14.88,83800
2010-08-11,14.88,14.94,14.78,9.415014,14.91,78100
2010-08-12,14.85,14.93,14.74,9.364224,14.75,113700
2010-08-13,14.78,14.85,14.75,9.395969000000001,14.8,59200
2010-08-16,14.82,14.92,14.8,9.472152000000001,14.92,72000
2010-08-17,14.94,15.08,14.92,9.529288000000001,15.01,82100
2010-08-18,15.0,15.13,14.96,9.529288000000001,15.01,92000
2010-08-19,14.99,15.0,14.87,9.465797,14.91,74400
2010-08-20,14.87,14.95,14.87,9.491192999999999,14.95,57000
2010-08-23,14.96,15.02,14.9,9.503889,14.97,73200
2010-08-24,14.96,14.99,14.92,9.497542,14.96,57300
2010-08-25,15.0,15.09,14.92,9.529288000000001,15.01,77300
2010-08-26,14.93,14.99,14.81,9.427708,14.85,133000
2010-08-27,14.85,14.92,14.83,9.472152000000001,14.92,75500
2010-08-30,14.89,14.96,14.88,9.478497,14.93,81200
2010-08-31,14.98,15.03,14.9,9.541986,15.03,98000
2010-09-01,15.09,15.13,15.02,9.54833,15.04,65400
2010-09-02,15.04,15.1,15.0,9.541986,15.03,60100
2010-09-03,15.04,15.05,14.93,9.541986,15.03,65000
2010-09-07,15.04,15.09,14.98,9.529288000000001,15.01,55400
2010-09-08,14.98,15.04,14.93,9.478497,14.93,75000
2010-09-09,14.97,14.99,14.9,9.459453,14.9,59000
2010-09-10,14.96,14.98,14.91,9.478497,14.93,93800
2010-09-13,14.95,14.95,14.85,9.505947,14.89,102800
2010-09-14,14.91,14.92,14.87,9.505947,14.89,69000
2010-09-15,14.87,14.9,14.55,9.308043,14.58,162200
2010-09-16,14.52,14.73,14.5,9.295274000000001,14.56,104200
2010-09-17,14.65,14.65,14.56,9.301653,14.57,76800
2010-09-20,14.63,14.79,14.59,9.410185,14.74,107600
2010-09-21,14.75,14.9,14.75,9.480414,14.85,79900
2010-09-22,14.76,14.98,14.76,9.550636,14.96,112600
2010-09-23,14.94,15.08,14.93,9.627246000000001,15.08,136400
2010-09-24,15.16,15.17,15.0,9.620861,15.07,64500
2010-09-27,15.07,15.15,15.01,9.659167,15.13,99400
2010-09-28,15.15,15.19,15.07,9.671937,15.15,77100
2010-09-29,15.18,15.19,15.08,9.659167,15.13,98100
2010-09-30,15.1,15.18,15.08,9.6464,15.11,59900
2010-10-01,15.11,15.17,15.1,9.665552,15.14,71600
2010-10-04,15.15,15.15,15.03,9.627246000000001,15.08,65400
2010-10-05,15.09,15.1,14.87,9.499566,14.88,89000
2010-10-06,14.8,14.93,14.8,9.518716,14.91,85500
2010-10-07,14.87,14.91,14.83,9.512333,14.9,89400
