Date,Open,High,Low,Close,Adj Close,Volume
2014-11-21,14.75,15.78,14.5,14.85,14.85,6484000
2014-11-24,14.87,15.25,14.86,15.04,15.04,596300
2014-11-25,15.15,15.18,15.0,15.0,15.0,197500
2014-11-26,15.01,15.05,14.9,15.0,15.0,240300
2014-11-28,15.0,15.05,14.75,14.75,14.75,286800
2014-12-01,14.65,14.65,12.7,12.81,12.81,1179300
2014-12-02,12.81,13.2,12.35,12.52,12.52,319700
2014-12-03,12.4,13.05,12.4,12.6,12.6,292400
2014-12-04,12.45,12.8,12.32,12.36,12.36,330400
2014-12-05,12.3,13.04,12.3,12.65,12.65,199400
2014-12-08,12.43,12.87,12.05,12.15,12.15,328400
2014-12-09,11.88,12.99,11.52,12.58,12.58,199500
2014-12-10,12.68,12.94,12.45,12.52,12.52,148100
2014-12-11,12.43,12.84,12.43,12.62,12.62,108900
2014-12-12,12.69,13.204,12.44,12.44,12.44,163100
2014-12-15,12.39,12.725,12.16,12.5,12.5,211500
2014-12-16,12.37,12.86,11.731,12.36,12.36,210900
2014-12-17,12.28,12.71,12.03,12.31,12.31,240400
2014-12-18,12.5,12.74,11.83,11.98,11.98,204800
2014-12-19,12.09,12.09,11.125,11.44,11.44,1138100
2014-12-22,11.36,11.55,11.03,11.1,11.1,166100
2014-12-23,11.09,11.45,10.671,10.8,10.8,235600
2014-12-24,11.2,11.3,10.6,10.7,10.7,65600
2014-12-26,10.71,10.8,10.4,10.52,10.52,201800
2014-12-29,10.6,11.655,10.56,11.53,11.53,367200
2014-12-30,11.44,12.0,11.19,11.29,11.29,123800
2014-12-31,11.26,11.73,11.17,11.27,11.27,166400
2015-01-02,11.36,11.58,11.1,11.16,11.16,43300
2015-01-05,11.06,11.34,10.25,10.5,10.5,239600
2015-01-06,10.5,10.68,9.39,9.54,9.54,414100
2015-01-07,9.64,9.85,9.11,9.16,9.16,134100
2015-01-08,8.8,9.14,7.68,7.97,7.97,1026000
2015-01-09,7.96,8.2,7.34,7.39,7.39,781900
2015-01-12,7.41,7.53,6.91,6.99,6.99,478900
2015-01-13,7.1,7.65,7.0,7.6,7.6,358900
2015-01-14,7.5,7.72,7.25,7.59,7.59,157700
2015-01-15,7.67,8.16,7.67,8.04,8.04,196200
2015-01-16,8.0,8.77,7.98,8.49,8.49,293000
2015-01-20,8.59,8.65,8.22,8.51,8.51,241700
2015-01-21,8.53,9.54,8.49,9.13,9.13,334900
2015-01-22,9.25,9.66,9.0,9.26,9.26,213900
2015-01-23,9.34,9.34,8.9,8.92,8.92,88900
2015-01-26,8.92,8.99,8.79,8.9,8.9,47700
2015-01-27,8.76,9.21,8.76,9.13,9.13,44600
2015-01-28,8.99,9.08,8.78,8.87,8.87,81600
2015-01-29,8.82,9.35,8.8,9.33,9.33,22800
2015-01-30,9.22,9.4,9.11,9.26,9.26,43000
2015-02-02,9.31,9.83,9.18,9.79,9.79,69600
2015-02-03,10.08,10.88,9.97,10.62,10.62,201300
2015-02-04,10.54,10.54,9.97,10.08,10.08,91300
2015-02-05,10.075,10.55,10.075,10.52,10.52,60700
2015-02-06,10.55,10.82,10.38,10.58,10.58,124000
2015-02-09,10.58,10.635,10.33,10.54,10.54,63300
2015-02-10,10.59,10.67,10.32,10.38,10.38,56500
2015-02-11,10.43,10.48,10.14,10.42,10.42,32500
2015-02-12,10.36,10.69,10.35,10.47,10.47,38400
2015-02-13,10.53,10.68,10.33,10.43,10.43,40500
2015-02-17,10.49,10.66,10.1,10.12,10.12,64200
2015-02-18,10.12,10.24,9.79,10.05,10.05,51900
2015-02-19,9.98,10.49,9.9,10.09,10.09,82600
2015-02-20,10.1,10.11,9.85,9.97,9.97,24200
2015-02-23,9.89,10.1,9.6,9.66,9.66,62100
2015-02-24,9.64,9.95,9.55,9.75,9.75,32500
2015-02-25,9.71,9.84,9.5,9.61,9.61,89500
2015-02-26,9.55,10.26,9.55,10.24,10.24,86300
2015-02-27,10.25,10.5,10.0,10.45,10.45,41600
2015-03-02,10.41,10.99,10.41,10.83,10.83,102400
2015-03-03,10.83,11.01,10.44,10.92,10.92,68200
2015-03-04,10.88,11.02,10.0,10.33,10.33,179400
2015-03-05,10.3,10.59,10.06,10.1,10.1,33000
2015-03-06,10.0,10.12,9.87,9.99,9.99,38700
2015-03-09,10.26,10.49,10.025,10.21,10.21,52600
2015-03-10,10.06,10.65,10.0,10.59,10.59,108700
2015-03-11,10.58,10.76,10.41,10.57,10.57,51400
2015-03-12,10.64,10.685,9.93,9.95,9.95,579500
2015-03-13,9.9,9.98,9.83,9.84,9.84,61000
2015-03-16,9.98,10.0,9.69,9.72,9.72,224500
2015-03-17,9.75,9.75,9.52,9.58,9.58,200600
2015-03-18,9.5,9.81,9.5,9.61,9.61,186000
2015-03-19,9.55,9.7,9.52,9.57,9.57,103500
2015-03-20,9.64,10.23,9.39,9.39,9.39,638900
2015-03-23,9.4,10.53,9.4,10.46,10.46,100700
2015-03-24,10.38,11.08,10.38,10.54,10.54,71000
2015-03-25,10.44,10.64,10.15,10.34,10.34,84900
2015-03-26,10.36,10.605,10.3,10.45,10.45,54200
2015-03-27,10.42,10.61,10.4,10.46,10.46,31300
